k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0215400678, 0.02, 0.0128719128, 0.02, 0.4292206739, 0.02, 0.8009548574, 0.02, 0.2202801749, 0.02, 2.6915110182, 0.02, 0.8064571417, 0.02, 2.2686398843, 0.02, 14.352901162, 0.02, 12.161699758, 0.02, 0.276676662, 0.02, 0.2434602195, 0.02, 1.1650863975, 0.02, 0.1774572413, 0.02, 0.1153950601, 0.02, 3.7470242328, 0.02, 0.833501062, 0.02, 0.1588345259, 0.02, 0.3867741611, 0.02, 0.9231772721, 0.02, 0.2596415821, 0.02, 2.0709635713, 0.02, 1.944950803, 0.02, 1.4841998492, 0.02, 0.4816362663, 0.02, 0.4934043524, 0.02, 0.3289805969, 0.02, 0.8399929759, 0.02, 0.4600450055, 0.02, 0.4909424311, 0.02, 0.9861479337, 0.02, -0.017883084, 0.02, 0.2654081509, 0.02]|3557546.8214740874245763|      0.50000000|[86, 28, 2, 9]                                                             |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 74 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       2|[0.9694450790875231, -0.0586713726853544, 0.0188378609128831, -0.0832696432691705, 0.4953913575898498, 0.1233456457969457, 0.8616549495273965, -0.0222855585001387, 0.324738681501208, 0.1041738749753774, 2.7058919328590525, -0.0422840319869268, 0.7174033943112884, 0.105762258074197, 2.240592625269194, 0.0898727520819717, 14.29716237263796, 0.0339842308154281, 12.161514270390361, 0.1556294753639405, 0.2498076818481665, -0.0481535832461609, 0.2136314009237319, -0.0614962428637335, 1.1966404421596277, 0.0958149659935814, 0.2351242875636509, -0.0066487957956344, 0.134614894741951, 0.097684066889985, 3.760037906673407, -0.03956508172289, 0.8002553188224842, 0.0121219414422582, 0.0801908789335542, 0.1190803692733706, 0.4447425742665354, 0.0478785631855294, 0.9555278695841602, 0.0172489712771867, 0.2122410911844155, 0.0346541548687243, 1.9897957877195795, 0.0099581150997068, 1.8441669566718528, -0.0384778204628487, 1.5071107240564419, 0.0640257256443779, 0.4776294057155229, 0.1050273463575843, 0.5999859708655878, 0.0191752402053025, 0.3703987443035751, 0.0097659708352717, 0.9585640094862024, 0.099468621027669, 0.4227037204411693, -0.0241120771909594, 0.5206967373774045, -0.0536477517041996, 0.9632825903534784, -0.0699398668643418, -0.0305131020030203, 0.0103439046467649, 0.3091359227792866, 0.0705209161501922]|1606553.7500000000000000|      1.00000000|[111, 36, 2, 11]                                                           |  | trying linear partial model with 13 points | iterate success | actual_k=4
       3|[0.9694450790875231, -0.0586713726853544, 0.0188378609128831, -0.0832696432691705, 0.4953913575898498, 0.1233456457969457, 0.8616549495273965, -0.0222855585001387, 0.324738681501208, 0.1041738749753774, 2.7058919328590525, -0.0422840319869268, 0.7174033943112884, 0.105762258074197, 2.240592625269194, 0.0898727520819717, 14.29716237263796, 0.0339842308154281, 12.161514270390361, 0.1556294753639405, 0.2498076818481665, -0.0481535832461609, 0.2136314009237319, -0.0614962428637335, 1.1966404421596277, 0.0958149659935814, 0.2351242875636509, -0.0066487957956344, 0.134614894741951, 0.097684066889985, 3.760037906673407, -0.03956508172289, 0.8002553188224842, 0.0121219414422582, 0.0801908789335542, 0.1190803692733706, 0.4447425742665354, 0.0478785631855294, 0.9555278695841602, 0.0172489712771867, 0.2122410911844155, 0.0346541548687243, 1.9897957877195795, 0.0099581150997068, 1.8441669566718528, -0.0384778204628487, 1.5071107240564419, 0.0640257256443779, 0.4776294057155229, 0.1050273463575843, 0.5999859708655878, 0.0191752402053025, 0.3703987443035751, 0.0097659708352717, 0.9585640094862024, 0.099468621027669, 0.4227037204411693, -0.0241120771909594, 0.5206967373774045, -0.0536477517041996, 0.9632825903534784, -0.0699398668643418, -0.0305131020030203, 0.0103439046467649, 0.3091359227792866, 0.0705209161501922]|1606553.7500000000000000|      0.50000000|[197, 64, 5, 21]                                                           |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 50 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 63 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 75 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       4|[0.9694450790875231, -0.0586713726853544, 0.0188378609128831, -0.0832696432691705, 0.4953913575898498, 0.1233456457969457, 0.8616549495273965, -0.0222855585001387, 0.324738681501208, 0.1041738749753774, 2.7058919328590525, -0.0422840319869268, 0.7174033943112884, 0.105762258074197, 2.240592625269194, 0.0898727520819717, 14.29716237263796, 0.0339842308154281, 12.161514270390361, 0.1556294753639405, 0.2498076818481665, -0.0481535832461609, 0.2136314009237319, -0.0614962428637335, 1.1966404421596277, 0.0958149659935814, 0.2351242875636509, -0.0066487957956344, 0.134614894741951, 0.097684066889985, 3.760037906673407, -0.03956508172289, 0.8002553188224842, 0.0121219414422582, 0.0801908789335542, 0.1190803692733706, 0.4447425742665354, 0.0478785631855294, 0.9555278695841602, 0.0172489712771867, 0.2122410911844155, 0.0346541548687243, 1.9897957877195795, 0.0099581150997068, 1.8441669566718528, -0.0384778204628487, 1.5071107240564419, 0.0640257256443779, 0.4776294057155229, 0.1050273463575843, 0.5999859708655878, 0.0191752402053025, 0.3703987443035751, 0.0097659708352717, 0.9585640094862024, 0.099468621027669, 0.4227037204411693, -0.0241120771909594, 0.5206967373774045, -0.0536477517041996, 0.9632825903534784, -0.0699398668643418, -0.0305131020030203, 0.0103439046467649, 0.3091359227792866, 0.0705209161501922]|1606553.7500000000000000|      0.25000000|[284, 92, 7, 30]                                                           |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 26 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 38 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 50 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 75 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       5|[0.9694450790875231, -0.0586713726853544, 0.0188378609128831, -0.0832696432691705, 0.4953913575898498, 0.1233456457969457, 0.8616549495273965, -0.0222855585001387, 0.324738681501208, 0.1041738749753774, 2.7058919328590525, -0.0422840319869268, 0.7174033943112884, 0.105762258074197, 2.240592625269194, 0.0898727520819717, 14.29716237263796, 0.0339842308154281, 12.161514270390361, 0.1556294753639405, 0.2498076818481665, -0.0481535832461609, 0.2136314009237319, -0.0614962428637335, 1.1966404421596277, 0.0958149659935814, 0.2351242875636509, -0.0066487957956344, 0.134614894741951, 0.097684066889985, 3.760037906673407, -0.03956508172289, 0.8002553188224842, 0.0121219414422582, 0.0801908789335542, 0.1190803692733706, 0.4447425742665354, 0.0478785631855294, 0.9555278695841602, 0.0172489712771867, 0.2122410911844155, 0.0346541548687243, 1.9897957877195795, 0.0099581150997068, 1.8441669566718528, -0.0384778204628487, 1.5071107240564419, 0.0640257256443779, 0.4776294057155229, 0.1050273463575843, 0.5999859708655878, 0.0191752402053025, 0.3703987443035751, 0.0097659708352717, 0.9585640094862024, 0.099468621027669, 0.4227037204411693, -0.0241120771909594, 0.5206967373774045, -0.0536477517041996, 0.9632825903534784, -0.0699398668643418, -0.0305131020030203, 0.0103439046467649, 0.3091359227792866, 0.0705209161501922]|1606553.7500000000000000|      0.12500000|[370, 120, 10, 40]                                                         |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 50 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 62 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 75 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       6|[0.9694450790875231, -0.0586713726853544, 0.0188378609128831, -0.0832696432691705, 0.4953913575898498, 0.1233456457969457, 0.8616549495273965, -0.0222855585001387, 0.324738681501208, 0.1041738749753774, 2.7058919328590525, -0.0422840319869268, 0.7174033943112884, 0.105762258074197, 2.240592625269194, 0.0898727520819717, 14.29716237263796, 0.0339842308154281, 12.161514270390361, 0.1556294753639405, 0.2498076818481665, -0.0481535832461609, 0.2136314009237319, -0.0614962428637335, 1.1966404421596277, 0.0958149659935814, 0.2351242875636509, -0.0066487957956344, 0.134614894741951, 0.097684066889985, 3.760037906673407, -0.03956508172289, 0.8002553188224842, 0.0121219414422582, 0.0801908789335542, 0.1190803692733706, 0.4447425742665354, 0.0478785631855294, 0.9555278695841602, 0.0172489712771867, 0.2122410911844155, 0.0346541548687243, 1.9897957877195795, 0.0099581150997068, 1.8441669566718528, -0.0384778204628487, 1.5071107240564419, 0.0640257256443779, 0.4776294057155229, 0.1050273463575843, 0.5999859708655878, 0.0191752402053025, 0.3703987443035751, 0.0097659708352717, 0.9585640094862024, 0.099468621027669, 0.4227037204411693, -0.0241120771909594, 0.5206967373774045, -0.0536477517041996, 0.9632825903534784, -0.0699398668643418, -0.0305131020030203, 0.0103439046467649, 0.3091359227792866, 0.0705209161501922]|1606553.7500000000000000|      0.06250000|[455, 148, 11, 48]                                                         |  | trying linear partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 25 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 37 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 49 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 61 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 73 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
       7|[0.9641303484553227, -0.0546207437991561, 0.0260815829876121, -0.0737692785869983, 0.4843332569017764, 0.114187678188825, 0.8629739664866968, -0.0326274958511585, 0.3296780206116368, 0.1078007866119656, 2.7051246732608893, -0.0604124175790051, 0.7241670699977366, 0.1073030592187337, 2.241680549924858, 0.0811929163356283, 14.292655965305421, 0.0501621614485903, 12.174028424188846, 0.1577064282236645, 0.2491027496674213, -0.0461042139640458, 0.2087742321892502, -0.0648924685190298, 1.206665358342122, 0.0937503942002742, 0.2206705419723711, -0.018858587854958, 0.132820080857348, 0.0873847252233461, 3.754620809374183, -0.0466907925572082, 0.7979520427595792, 0.0227085657814913, 0.0743339279337066, 0.1075511661496493, 0.4385346812232236, 0.0518219091922765, 0.9631340130075826, 0.0129649414950463, 0.2082455663656668, 0.0335689318259519, 1.9899336705309234, 0.0107751941531428, 1.8501256195183122, -0.0429591598282452, 1.5083824048131698, 0.0537064442002085, 0.4708363430633174, 0.0969961635001392, 0.5943149375686134, 0.0258133583734425, 0.3674199380911434, 0.0141279866804241, 0.9592352459438637, 0.0902707908600699, 0.4186224393190211, -0.0322498162273961, 0.5278745086822275, -0.0556059973146175, 0.965718425365116, -0.0764354690140376, -0.0426471867632373, 0.019916058439896, 0.2995426696612493, 0.0896037871508205]|1249777.5188753318507224|      0.12500000|[480, 156, 12, 51]                                                         |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | iterate success | actual_k=4
       8|[0.9495302434755706, -0.0904712037618738, 0.0268222636596495, -0.0819446367462362, 0.5158676889559797, 0.1188637341258898, 0.8576377698459312, -0.0397272007361439, 0.3105616020559276, 0.1141488870931563, 2.709425575725799, -0.0700497579336398, 0.7142143550631956, 0.1028939275930366, 2.264752786188979, 0.0808702305631362, 14.278470611999003, 0.0609417619077383, 12.147128100617559, 0.163899067770381, 0.2758253036632625, -0.0392081184653895, 0.2143579614524493, -0.0681120191599875, 1.2059785447070037, 0.1238343868200731, 0.2329995485360614, -0.0211923695342875, 0.1437367989257892, 0.0923407474352269, 3.763825320079042, -0.0524602160010256, 0.7874508934492718, 0.0249532543998562, 0.1035564134951997, 0.1095556748525739, 0.4333299566768102, 0.0398520145078071, 1.0014802892280432, 0.0307198464369391, 0.2216831769425004, 0.0382092031556928, 1.9899280361339544, 0.0059265840585006, 1.857833220433793, -0.074953876795366, 1.5331170583399962, 0.0700759007559018, 0.4914415205395971, 0.0958986965454897, 0.5993339092618456, 0.030242619783866, 0.3699461708381487, 0.013768716772251, 0.959590384720719, 0.0811030361000162, 0.4218899839480953, -0.046420101424173, 0.5151702833744866, -0.0487347210123351, 0.990579247374855, -0.0929203141083822, -0.0169233075011456, 0.0049031102444715, 0.325447352540291, 0.0960524026940445]|1146157.6250000000000000|      0.25000000|[505, 164, 12, 53]                                                         |  | trying linear partial model with 13 points | iterate success | actual_k=4
       9|[0.9495302434755706, -0.0904712037618738, 0.0268222636596495, -0.0819446367462362, 0.5158676889559797, 0.1188637341258898, 0.8576377698459312, -0.0397272007361439, 0.3105616020559276, 0.1141488870931563, 2.709425575725799, -0.0700497579336398, 0.7142143550631956, 0.1028939275930366, 2.264752786188979, 0.0808702305631362, 14.278470611999003, 0.0609417619077383, 12.147128100617559, 0.163899067770381, 0.2758253036632625, -0.0392081184653895, 0.2143579614524493, -0.0681120191599875, 1.2059785447070037, 0.1238343868200731, 0.2329995485360614, -0.0211923695342875, 0.1437367989257892, 0.0923407474352269, 3.763825320079042, -0.0524602160010256, 0.7874508934492718, 0.0249532543998562, 0.1035564134951997, 0.1095556748525739, 0.4333299566768102, 0.0398520145078071, 1.0014802892280432, 0.0307198464369391, 0.2216831769425004, 0.0382092031556928, 1.9899280361339544, 0.0059265840585006, 1.857833220433793, -0.074953876795366, 1.5331170583399962, 0.0700759007559018, 0.4914415205395971, 0.0958986965454897, 0.5993339092618456, 0.030242619783866, 0.3699461708381487, 0.013768716772251, 0.959590384720719, 0.0811030361000162, 0.4218899839480953, -0.046420101424173, 0.5151702833744866, -0.0487347210123351, 0.990579247374855, -0.0929203141083822, -0.0169233075011456, 0.0049031102444715, 0.325447352540291, 0.0960524026940445]|1146157.6250000000000000|      0.12500000|[592, 192, 15, 63]                                                         |  | trying linear partial model with 13 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 26 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      10|[0.965438378446372, -0.0778754942754886, 0.037375947131788, -0.0956335998600624, 0.5100726123326377, 0.1372867905073687, 0.8489983378755651, -0.0303793580583056, 0.3121635052842809, 0.122402208297067, 2.712425636603191, -0.0815041850069444, 0.714052606131662, 0.0759550806532977, 2.268152724509066, 0.0763034852126022, 14.268989796878731, 0.0877468373429227, 12.155466574014117, 0.1535627095949441, 0.2751946636426784, -0.0369407045837848, 0.1902590626187056, -0.0740896784975457, 1.2220295581771499, 0.1238092681647637, 0.2329281948566736, -0.0402293129788135, 0.1496806057355262, 0.0692490974701276, 3.753091489596281, -0.0621350531914028, 0.7973892829145581, 0.0312182844376217, 0.1095341821728843, 0.0917018238455689, 0.4293621483159578, 0.0820533912388107, 0.9931789144328325, 0.0515598337649161, 0.2274205627165034, 0.0579852795804167, 1.9910839877227837, 0.0124847900832482, 1.8566121242682219, -0.0947957746132611, 1.5409635855625377, 0.0445688224674373, 0.5189650361948683, 0.0730740427090593, 0.6020117333383685, 0.0691090798766628, 0.3263886437172001, 0.0075566870200746, 0.9659037638867114, 0.0713570048059391, 0.4092431383808822, -0.0322782971919253, 0.4999633793931053, -0.0476019988642581, 0.9856706676584612, -0.1023016204142141, -0.0358201378903788, 0.006581105436387, 0.3291768434165059, 0.086422465201559]|911313.5625000000000000|      0.25000000|[616, 200, 15, 65]                                                         |  | trying linear partial model with 13 points | iterate success | actual_k=4
