k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0, 2.0]                                                            |105126.8339513395767426|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.3198649147385346, 2.199298751752726, 2.7384655481850695, 2.559137798769534]  |89472.8442021781957010|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[2.3198649147385346, 2.199298751752726, 2.7384655481850695, 2.559137798769534]  |89472.8442021781957010|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[2.3198649147385346, 2.199298751752726, 2.7384655481850695, 2.559137798769534]  |89472.8442021781957010|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[2.3198649147385346, 2.199298751752726, 2.7384655481850695, 2.559137798769534]  |89472.8442021781957010|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[2.382585924049503, 2.405864278465176, 2.613049398580479, 2.57208181605091]     |85775.3458793952158885|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[2.382585924049503, 2.405864278465176, 2.613049398580479, 2.57208181605091]     |85775.3458793952158885|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[2.5038434749954517, 2.614166480787353, 2.5583750428516234, 2.534431933289391]  |81874.1573704121983610|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[2.715706221773532, 2.998261841388597, 2.79162549082701, 2.590815964818975]     |76456.6006073399767047|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[2.715706221773532, 2.998261841388597, 2.79162549082701, 2.590815964818975]     |76456.6006073399767047|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[2.715706221773532, 2.998261841388597, 2.79162549082701, 2.590815964818975]     |76456.6006073399767047|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[2.793107559366031, 3.101085969056724, 2.6058364340431526, 2.4839578435200056]  |71398.6062839277728926|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[2.793107559366031, 3.101085969056724, 2.6058364340431526, 2.4839578435200056]  |71398.6062839277728926|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[2.966286268678091, 3.0955793896230386, 2.777783620578157, 2.429985839048745]   |70388.1972794565081131|      0.50000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[2.966286268678091, 3.0955793896230386, 2.777783620578157, 2.429985839048745]   |70388.1972794565081131|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[2.966286268678091, 3.0955793896230386, 2.777783620578157, 2.429985839048745]   |70388.1972794565081131|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      16|[3.0168773057045493, 3.1828767890007024, 2.716827233571019, 2.3884042335299562] |67574.5732361205300549|      0.25000000|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      17|[3.072934714928829, 3.3973081628022723, 2.8268649608584018, 2.4240195585187956] |64829.4517350429450744|      0.50000000|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      18|[3.072934714928829, 3.3973081628022723, 2.8268649608584018, 2.4240195585187956] |64829.4517350429450744|      0.25000000|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      19|[3.2735007017501982, 3.3986362989392145, 2.8471885672154, 2.276173449305811]    |61458.0240910412976518|      0.50000000|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      20|[3.2735007017501982, 3.3986362989392145, 2.8471885672154, 2.276173449305811]    |61458.0240910412976518|      0.25000000|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=0
