k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.037883885306359, -0.0097306162923077, 1.0878324622580793, 0.2572646923930501, 0.8251696316843169, 0.3608332063827459]|478.3136733219603229|      2.00000000|[15, 2, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       2|[-0.037883885306359, -0.0097306162923077, 1.0878324622580793, 0.2572646923930501, 0.8251696316843169, 0.3608332063827459]|478.3136733219603229|      1.00000000|[30, 4, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       3|[-0.037883885306359, -0.0097306162923077, 1.0878324622580793, 0.2572646923930501, 0.8251696316843169, 0.3608332063827459]|478.3136733219603229|      0.50000000|[45, 6, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=2
       4|[0.3449481908574036, 0.2962784095057917, 0.9984802494101808, 0.2341240632529419, 0.8245201028626785, 0.3250791989886798]|441.1331956659096249|      1.00000000|[60, 8, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=2
       5|[0.9526256044219218, 0.7077518945472844, 1.5066321039057462, -0.1319544816089286, 1.073579581602191, 0.4096682051649059]|264.7832670948293980|      2.00000000|[75, 10, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=2
       6|[0.9526256044219218, 0.7077518945472844, 1.5066321039057462, -0.1319544816089286, 1.073579581602191, 0.4096682051649059]|264.7832670948293980|      1.00000000|[90, 12, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=2
       7|[0.9526256044219218, 0.7077518945472844, 1.5066321039057462, -0.1319544816089286, 1.073579581602191, 0.4096682051649059]|264.7832670948293980|      0.50000000|[105, 14, 7, 14]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
       8|[1.0732870017142615, 0.8001070716009545, 1.9536895335435935, -0.0743542506849855, 1.2259194910401001, 0.4325978469066489]|163.4873638678194823|      1.00000000|[120, 16, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=2
       9|[1.0732870017142615, 0.8001070716009545, 1.9536895335435935, -0.0743542506849855, 1.2259194910401001, 0.4325978469066489]|163.4873638678194823|      0.50000000|[135, 18, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=2
      10|[1.0732870017142615, 0.8001070716009545, 1.9536895335435935, -0.0743542506849855, 1.2259194910401001, 0.4325978469066489]|163.4873638678194823|      0.25000000|[150, 20, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
      11|[1.0732870017142615, 0.8001070716009545, 1.9536895335435935, -0.0743542506849855, 1.2259194910401001, 0.4325978469066489]|163.4873638678194823|      0.12500000|[165, 22, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=2
