k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.598394227753007, -0.3081653330331833, 0.1960500912012383, 0.4593165283973717, 0.0023330804376089, -0.043055598679024, 0.3508358016161953]|47114.4062500000000000|      2.00000000|[27, 4, 0, 2]                                                              |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
       2|[9.598394227753007, -0.3081653330331833, 0.1960500912012383, 0.4593165283973717, 0.0023330804376089, -0.043055598679024, 0.3508358016161953]|47114.4062500000000000|      1.00000000|[67, 10, 0, 5]                                                             |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[9.598394227753007, -0.3081653330331833, 0.1960500912012383, 0.4593165283973717, 0.0023330804376089, -0.043055598679024, 0.3508358016161953]|47114.4062500000000000|      0.50000000|[106, 16, 0, 8]                                                            |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[9.598394227753007, -0.3081653330331833, 0.1960500912012383, 0.4593165283973717, 0.0023330804376089, -0.043055598679024, 0.3508358016161953]|47114.4062500000000000|      0.25000000|[146, 22, 0, 11]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[9.614044783064541, -0.2979433981514921, 0.2171648600710415, 0.6011122489383985, -0.0479697135620067, 0.0147717497271011, 0.1618269684107344]|33830.1523437500000000|      0.50000000|[173, 26, 0, 13]                                                           |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
       6|[9.614044783064541, -0.2979433981514921, 0.2171648600710415, 0.6011122489383985, -0.0479697135620067, 0.0147717497271011, 0.1618269684107344]|33830.1523437500000000|      0.25000000|[211, 32, 0, 16]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       7|[9.614044783064541, -0.2979433981514921, 0.2171648600710415, 0.6011122489383985, -0.0479697135620067, 0.0147717497271011, 0.1618269684107344]|33830.1523437500000000|      0.12500000|[250, 38, 0, 19]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 28 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       8|[9.615324200514696, -0.2776969024168986, 0.1974297415403218, 0.6166222453859137, -0.0707692085915042, -0.0046503134339483, 0.044838190755773]|8024.2539062500000000|      0.25000000|[276, 42, 0, 21]                                                           |  | trying quadratic partial model with 15 points | iterate success | actual_k=2
       9|[9.615324200514696, -0.2776969024168986, 0.1974297415403218, 0.6166222453859137, -0.0707692085915042, -0.0046503134339483, 0.044838190755773]|8024.2539062500000000|      0.12500000|[314, 48, 0, 24]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[9.615324200514696, -0.2776969024168986, 0.1974297415403218, 0.6166222453859137, -0.0707692085915042, -0.0046503134339483, 0.044838190755773]|8024.2539062500000000|      0.06250000|[352, 54, 0, 27]                                                           |  | trying quadratic partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 27 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
