k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.50000000|[13, 0, 1, 4]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       2|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.25000000|[26, 0, 2, 8]                                                              |  | used linear model with 13 points | iterate failure | actual_k=0
       3|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.12500000|[39, 0, 3, 12]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       4|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.06250000|[52, 0, 4, 16]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       5|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.03125000|[65, 0, 5, 20]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       6|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.01562500|[78, 0, 6, 24]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       7|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00781250|[91, 0, 7, 28]                                                             |  | used linear model with 13 points | iterate failure | actual_k=0
       8|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00390625|[104, 0, 8, 32]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
       9|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00195312|[117, 0, 9, 36]                                                            |  | used linear model with 13 points | iterate failure | actual_k=0
      10|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00097656|[130, 0, 10, 40]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      11|[-3.5, 1.0, 0.0, 0.0, 1.7, 0.0, 0.0, 0.0]                                       |8231.2750672685615427|      0.00048828|[143, 0, 11, 44]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      12|[-3.5000835445361993, 0.9999839412547094, -0.0001028608705057, -0.0004066538932687, 1.7001595485040668, 0.0001287239891953, 0.0001143864046226, 1.11093912479e-05]|1884.1132745714312478|      0.00097656|[156, 0, 12, 48]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      13|[-3.5000835445361993, 0.9999839412547094, -0.0001028608705057, -0.0004066538932687, 1.7001595485040668, 0.0001287239891953, 0.0001143864046226, 1.11093912479e-05]|1884.1132745714312478|      0.00048828|[169, 0, 13, 52]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      14|[-3.5000835445361993, 0.9999839412547094, -0.0001028608705057, -0.0004066538932687, 1.7001595485040668, 0.0001287239891953, 0.0001143864046226, 1.11093912479e-05]|1884.1132745714312478|      0.00024414|[182, 0, 14, 56]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      15|[-3.5000835445361993, 0.9999839412547094, -0.0001028608705057, -0.0004066538932687, 1.7001595485040668, 0.0001287239891953, 0.0001143864046226, 1.11093912479e-05]|1884.1132745714312478|      0.00012207|[195, 0, 15, 60]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      16|[-3.5000596066929806, 0.9999980069072661, -0.0001761366517666, -0.000490209507134, 1.7001867891667506, 0.0001217998486961, 9.92042045303e-05, -1.64391281589e-05]|1610.1700601244476729|      0.00024414|[208, 0, 16, 64]                                                           |  | used linear model with 13 points | iterate success | actual_k=0
      17|[-3.5000596066929806, 0.9999980069072661, -0.0001761366517666, -0.000490209507134, 1.7001867891667506, 0.0001217998486961, 9.92042045303e-05, -1.64391281589e-05]|1610.1700601244476729|      0.00012207|[221, 0, 17, 68]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      18|[-3.5000596066929806, 0.9999980069072661, -0.0001761366517666, -0.000490209507134, 1.7001867891667506, 0.0001217998486961, 9.92042045303e-05, -1.64391281589e-05]|1610.1700601244476729|      0.00006104|[234, 0, 18, 72]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      19|[-3.5000596066929806, 0.9999980069072661, -0.0001761366517666, -0.000490209507134, 1.7001867891667506, 0.0001217998486961, 9.92042045303e-05, -1.64391281589e-05]|1610.1700601244476729|      0.00003052|[247, 0, 19, 76]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
      20|[-3.5000596066929806, 0.9999980069072661, -0.0001761366517666, -0.000490209507134, 1.7001867891667506, 0.0001217998486961, 9.92042045303e-05, -1.64391281589e-05]|1610.1700601244476729|      0.00001526|[260, 0, 20, 80]                                                           |  | used linear model with 13 points | iterate failure | actual_k=0
