k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1383359555412594, 1.2574927715450266, -0.2850054558409937, 0.9846154027175942, 1.1932229480394856, 1.8887185285904335, 1.0367004669056121, 0.9322269571749313]|140.0352325439453125|      2.00000000|[31, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       2|[0.1383359555412594, 1.2574927715450266, -0.2850054558409937, 0.9846154027175942, 1.1932229480394856, 1.8887185285904335, 1.0367004669056121, 0.9322269571749313]|140.0352325439453125|      1.00000000|[61, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.1383359555412594, 1.2574927715450266, -0.2850054558409937, 0.9846154027175942, 1.1932229480394856, 1.8887185285904335, 1.0367004669056121, 0.9322269571749313]|140.0352325439453125|      0.50000000|[91, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[-0.0641942426775952, 1.0305191574299783, -0.2396080291699834, 0.9826983239779791, 1.0307967278103496, 1.6988870002893348, 1.2593311025483116, 1.1405949242044486]| 51.4866065979003906|      1.00000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | iterate success | actual_k=1
       5|[-0.0641942426775952, 1.0305191574299783, -0.2396080291699834, 0.9826983239779791, 1.0307967278103496, 1.6988870002893348, 1.2593311025483116, 1.1405949242044486]| 51.4866065979003906|      0.50000000|[151, 10, 0, 10]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[-0.0641942426775952, 1.0305191574299783, -0.2396080291699834, 0.9826983239779791, 1.0307967278103496, 1.6988870002893348, 1.2593311025483116, 1.1405949242044486]| 51.4866065979003906|      0.25000000|[181, 12, 0, 12]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.046897228373733, 0.9301455188270356, -0.0705580719046516, 1.0519969142953711, 1.012732084229231, 1.7858334302706906, 1.3111275933690536, 1.2310209923641928]| 46.1925964355468750|      0.50000000|[211, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       8|[-0.046897228373733, 0.9301455188270356, -0.0705580719046516, 1.0519969142953711, 1.012732084229231, 1.7858334302706906, 1.3111275933690536, 1.2310209923641928]| 46.1925964355468750|      0.25000000|[241, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[-0.046897228373733, 0.9301455188270356, -0.0705580719046516, 1.0519969142953711, 1.012732084229231, 1.7858334302706906, 1.3111275933690536, 1.2310209923641928]| 46.1925964355468750|      0.12500000|[271, 18, 0, 18]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[-0.1121385004049028, 0.9322559765467993, -0.1406571263172188, 1.0088871307220346, 1.031465606445896, 1.7977110977776944, 1.3532056975544509, 1.1827591976316547]| 42.5472221374511719|      0.25000000|[301, 20, 0, 20]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
