k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.982086176252563, -0.5155750492906055, -0.4870947611761976, 0.5681246791651039, -0.2659171705270357, 0.3244888950301957, 0.0499837592745657]|8968.4762361175380647|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[9.982086176252563, -0.5155750492906055, -0.4870947611761976, 0.5681246791651039, -0.2659171705270357, 0.3244888950301957, 0.0499837592745657]|8968.4762361175380647|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[9.982086176252563, -0.5155750492906055, -0.4870947611761976, 0.5681246791651039, -0.2659171705270357, 0.3244888950301957, 0.0499837592745657]|8968.4762361175380647|      0.50000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[9.982086176252563, -0.5155750492906055, -0.4870947611761976, 0.5681246791651039, -0.2659171705270357, 0.3244888950301957, 0.0499837592745657]|8968.4762361175380647|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[9.982086176252563, -0.5155750492906055, -0.4870947611761976, 0.5681246791651039, -0.2659171705270357, 0.3244888950301957, 0.0499837592745657]|8968.4762361175380647|      0.12500000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[9.982086176252563, -0.5155750492906055, -0.4870947611761976, 0.5681246791651039, -0.2659171705270357, 0.3244888950301957, 0.0499837592745657]|8968.4762361175380647|      0.06250000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[9.982086176252563, -0.5155750492906055, -0.4870947611761976, 0.5681246791651039, -0.2659171705270357, 0.3244888950301957, 0.0499837592745657]|8968.4762361175380647|      0.03125000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[9.982086176252563, -0.5155750492906055, -0.4870947611761976, 0.5681246791651039, -0.2659171705270357, 0.3244888950301957, 0.0499837592745657]|8968.4762361175380647|      0.01562500|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[9.979874787527418, -0.5158056481146863, -0.4889127326204378, 0.5697465452438613, -0.2666057436466978, 0.3245130264688858, 0.0347263996054853]|5262.5008323401943926|      0.03125000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[9.979874787527418, -0.5158056481146863, -0.4889127326204378, 0.5697465452438613, -0.2666057436466978, 0.3245130264688858, 0.0347263996054853]|5262.5008323401943926|      0.01562500|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[9.979874787527418, -0.5158056481146863, -0.4889127326204378, 0.5697465452438613, -0.2666057436466978, 0.3245130264688858, 0.0347263996054853]|5262.5008323401943926|      0.00781250|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[9.979874787527418, -0.5158056481146863, -0.4889127326204378, 0.5697465452438613, -0.2666057436466978, 0.3245130264688858, 0.0347263996054853]|5262.5008323401943926|      0.00390625|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[9.979874787527418, -0.5158056481146863, -0.4889127326204378, 0.5697465452438613, -0.2666057436466978, 0.3245130264688858, 0.0347263996054853]|5262.5008323401943926|      0.00195312|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[9.979742434201615, -0.515689829229731, -0.4892992739458533, 0.5694908100180514, -0.2668918902204703, 0.3250953921035015, 0.0365006379075813]|5215.0951580435958022|      0.00390625|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      15|[9.979742434201615, -0.515689829229731, -0.4892992739458533, 0.5694908100180514, -0.2668918902204703, 0.3250953921035015, 0.0365006379075813]|5215.0951580435958022|      0.00195312|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[9.979742434201615, -0.515689829229731, -0.4892992739458533, 0.5694908100180514, -0.2668918902204703, 0.3250953921035015, 0.0365006379075813]|5215.0951580435958022|      0.00097656|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[9.97961383106418, -0.5155171221578628, -0.4894103545958725, 0.5693111731835359, -0.2669361918578835, 0.3250705680648807, 0.0355732110125213]|5206.2451484068878926|      0.00195312|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      18|[9.97961383106418, -0.5155171221578628, -0.4894103545958725, 0.5693111731835359, -0.2669361918578835, 0.3250705680648807, 0.0355732110125213]|5206.2451484068878926|      0.00097656|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      19|[9.97961383106418, -0.5155171221578628, -0.4894103545958725, 0.5693111731835359, -0.2669361918578835, 0.3250705680648807, 0.0355732110125213]|5206.2451484068878926|      0.00048828|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      20|[9.979626376111797, -0.5156758699189343, -0.4894530817153182, 0.5692344126205913, -0.2665997386759438, 0.3250760303061959, 0.0358767105656666]|5202.0790322716129594|      0.00097656|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      21|[9.979626376111797, -0.5156758699189343, -0.4894530817153182, 0.5692344126205913, -0.2665997386759438, 0.3250760303061959, 0.0358767105656666]|5202.0790322716129594|      0.00048828|[189, 0, 21, 63]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      22|[9.979626376111797, -0.5156758699189343, -0.4894530817153182, 0.5692344126205913, -0.2665997386759438, 0.3250760303061959, 0.0358767105656666]|5202.0790322716129594|      0.00024414|[198, 0, 22, 66]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      23|[9.979626376111797, -0.5156758699189343, -0.4894530817153182, 0.5692344126205913, -0.2665997386759438, 0.3250760303061959, 0.0358767105656666]|5202.0790322716129594|      0.00012207|[207, 0, 23, 69]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      24|[9.979626376111797, -0.5156758699189343, -0.4894530817153182, 0.5692344126205913, -0.2665997386759438, 0.3250760303061959, 0.0358767105656666]|5202.0790322716129594|      0.00006104|[216, 0, 24, 72]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
