k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      0.25000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       3|[0.0294747062439435, -0.0958872921599342, 0.9475365652011397, 0.8616284252817121, 1.0170989970163204, 0.8260879862856176]|522.1153046236356658|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[-0.0855355824792737, -0.1393027240608972, 1.0755295285150734, 0.5777181566913805, 0.9493518512976409, 0.4609704452954444]|493.9199386669899923|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[0.444699485999279, -0.7247569410484175, 1.3221145777849577, 0.402296930737564, 1.3218835099858506, 0.0792146304038908]|415.5579234323161018|      2.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[0.444699485999279, -0.7247569410484175, 1.3221145777849577, 0.402296930737564, 1.3218835099858506, 0.0792146304038908]|415.5579234323161018|      1.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[0.444699485999279, -0.7247569410484175, 1.3221145777849577, 0.402296930737564, 1.3218835099858506, 0.0792146304038908]|415.5579234323161018|      0.50000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[0.444699485999279, -0.7247569410484175, 1.3221145777849577, 0.402296930737564, 1.3218835099858506, 0.0792146304038908]|415.5579234323161018|      0.25000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[0.6198921938318234, -0.6463041893125775, 1.2068015424177723, 0.4695676583906526, 1.4103684125563376, 0.0784047168918032]|339.7057139586395351|      0.50000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[0.6198921938318234, -0.6463041893125775, 1.2068015424177723, 0.4695676583906526, 1.4103684125563376, 0.0784047168918032]|339.7057139586395351|      0.25000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[0.6831014727779311, -0.7079281822794193, 1.0930025793001183, 0.4986175359506998, 1.5765913562711242, -0.0368467652497284]|288.2434558107394196|      0.50000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[0.6831014727779311, -0.7079281822794193, 1.0930025793001183, 0.4986175359506998, 1.5765913562711242, -0.0368467652497284]|288.2434558107394196|      0.25000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[0.7724523363173763, -0.7881231780667723, 0.9118455855021576, 0.5906946942543144, 1.6545805305914032, -0.0634327585747811]|267.9515767541548144|      0.50000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[0.7724523363173763, -0.7881231780667723, 0.9118455855021576, 0.5906946942543144, 1.6545805305914032, -0.0634327585747811]|267.9515767541548144|      0.25000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[0.865069972225495, -0.8009996542396846, 0.9951014680647098, 0.5634560753909301, 1.8692163710610272, -0.0671932807730262]|216.3575961446011888|      0.50000000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      16|[0.865069972225495, -0.8009996542396846, 0.9951014680647098, 0.5634560753909301, 1.8692163710610272, -0.0671932807730262]|216.3575961446011888|      0.25000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      17|[0.8245690176042486, -0.8226670382718729, 1.0887510644075415, 0.4196956151652916, 1.9559931936264718, 0.0858513643144515]|192.5131767061285473|      0.50000000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      18|[0.8245690176042486, -0.8226670382718729, 1.0887510644075415, 0.4196956151652916, 1.9559931936264718, 0.0858513643144515]|192.5131767061285473|      0.25000000|[126, 36, 18, 54]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      19|[0.9436380270100447, -0.8491787883953713, 1.1898460306376515, 0.4611993061721226, 2.144596804865862, 0.0961288818997003]|182.5790618075485554|      0.50000000|[133, 38, 19, 57]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      20|[0.9436380270100447, -0.8491787883953713, 1.1898460306376515, 0.4611993061721226, 2.144596804865862, 0.0961288818997003]|182.5790618075485554|      0.25000000|[140, 40, 20, 60]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
