k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2917983990803726, -0.2184274012404262, 0.7011503773565894, 0.5187704309966338, 0.7183456413046247, 0.3166838273009281]|466.0185842442642752|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[0.2917983990803726, -0.2184274012404262, 0.7011503773565894, 0.5187704309966338, 0.7183456413046247, 0.3166838273009281]|466.0185842442642752|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.4743756586515431, -0.2750493370738375, 0.8696526604116541, -0.0549363837912282, 1.448194850993477, 0.0460418071752408]|391.9599428710639586|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[0.4743756586515431, -0.2750493370738375, 0.8696526604116541, -0.0549363837912282, 1.448194850993477, 0.0460418071752408]|391.9599428710639586|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[0.8891699405824912, -0.9494629088559606, 1.4354314484494761, 0.0216948119115004, 1.5807926883631986, -0.125864778649632]|327.0089153819468493|      2.00000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[0.8891699405824912, -0.9494629088559606, 1.4354314484494761, 0.0216948119115004, 1.5807926883631986, -0.125864778649632]|327.0089153819468493|      1.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.8891699405824912, -0.9494629088559606, 1.4354314484494761, 0.0216948119115004, 1.5807926883631986, -0.125864778649632]|327.0089153819468493|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.9070981951963311, -0.7338364258027028, 1.0419464370971028, 0.0550611460610399, 1.796978450211513, -0.1483090975988085]|234.3264742138616725|      1.00000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[0.9070981951963311, -0.7338364258027028, 1.0419464370971028, 0.0550611460610399, 1.796978450211513, -0.1483090975988085]|234.3264742138616725|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[1.0428168523789765, -0.8928178845357905, 1.4009010887172408, -0.023429008750263, 2.0562668436806457, -0.0845460631525225]|220.2326227185161542|      1.00000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[1.0428168523789765, -0.8928178845357905, 1.4009010887172408, -0.023429008750263, 2.0562668436806457, -0.0845460631525225]|220.2326227185161542|      0.50000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[1.0428168523789765, -0.8928178845357905, 1.4009010887172408, -0.023429008750263, 2.0562668436806457, -0.0845460631525225]|220.2326227185161542|      0.25000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[0.9606651348699213, -0.7659494406905211, 1.263800642522698, -0.0879918718632008, 1.9352692527551454, -0.0392671429276024]|191.8512895559956064|      0.50000000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[0.9606651348699213, -0.7659494406905211, 1.263800642522698, -0.0879918718632008, 1.9352692527551454, -0.0392671429276024]|191.8512895559956064|      0.25000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[0.9606651348699213, -0.7659494406905211, 1.263800642522698, -0.0879918718632008, 1.9352692527551454, -0.0392671429276024]|191.8512895559956064|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      16|[0.9871849542463363, -0.7291603642004242, 1.263314999908955, -0.0757666415515766, 2.050918786072694, -0.0458820026964008]|186.1917104637487341|      0.25000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[0.9871849542463363, -0.7291603642004242, 1.263314999908955, -0.0757666415515766, 2.050918786072694, -0.0458820026964008]|186.1917104637487341|      0.12500000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[0.9100374817481263, -0.6868299819977173, 1.32773139728479, -0.0530204393631788, 2.1018502846903613, -0.0707923763064504]|179.7842816398368200|      0.25000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[0.9100374817481263, -0.6868299819977173, 1.32773139728479, -0.0530204393631788, 2.1018502846903613, -0.0707923763064504]|179.7842816398368200|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[0.8124563721602861, -0.6313222970476636, 1.3245424158354024, -0.0605137545300301, 2.0823103572474237, -0.0200607705390203]|177.6765252674005069|      0.25000000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[0.8124563721602861, -0.6313222970476636, 1.3245424158354024, -0.0605137545300301, 2.0823103572474237, -0.0200607705390203]|177.6765252674005069|      0.12500000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[0.8348400033032328, -0.6356259552244632, 1.384552632401111, -0.0078675463226785, 2.172965439669182, 0.00261649303891]|172.8449190009042411|      0.25000000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[0.8348400033032328, -0.6356259552244632, 1.384552632401111, -0.0078675463226785, 2.172965439669182, 0.00261649303891]|172.8449190009042411|      0.12500000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[0.7189869418586144, -0.6151244355140432, 1.412951115517751, -0.0241548783136593, 2.189551979485851, -0.0182615220408883]|170.2429121223668460|      0.25000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[0.7189869418586144, -0.6151244355140432, 1.412951115517751, -0.0241548783136593, 2.189551979485851, -0.0182615220408883]|170.2429121223668460|      0.12500000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[0.7189869418586144, -0.6151244355140432, 1.412951115517751, -0.0241548783136593, 2.189551979485851, -0.0182615220408883]|170.2429121223668460|      0.06250000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[0.7200691050469605, -0.5633672894438579, 1.3969454779170258, -0.0176470069543338, 2.2197701679547803, -0.0144398712818209]|166.4174690167833717|      0.12500000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[0.7200691050469605, -0.5633672894438579, 1.3969454779170258, -0.0176470069543338, 2.2197701679547803, -0.0144398712818209]|166.4174690167833717|      0.06250000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[0.7233455579481631, -0.5446196872168341, 1.4299732624093666, -0.0065125524190564, 2.26797516075453, -0.0120924663255084]|163.6751678830564174|      0.12500000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      30|[0.7233455579481631, -0.5446196872168341, 1.4299732624093666, -0.0065125524190564, 2.26797516075453, -0.0120924663255084]|163.6751678830564174|      0.06250000|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
