k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.50000000|[43, 6, 1, 4]                                                              |  | used linear model with 49 points | iterate failure | actual_k=2
       2|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.25000000|[86, 12, 2, 8]                                                             |  | used linear model with 49 points | iterate failure | actual_k=2
       3|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.12500000|[129, 18, 3, 12]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       4|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.06250000|[172, 24, 4, 16]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       5|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.03125000|[215, 30, 5, 20]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       6|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.01562500|[258, 36, 6, 24]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       7|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00781250|[301, 42, 7, 28]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       8|[107.47, 0.09203, 0.908, 102.4, 0.1819, 0.8181, 97.44, 0.284, 0.716, 96.3, 0.3051, 0.6949, 93.99, 0.3566, 0.6434, 89.72, 0.468, 0.532, 83.71, 0.6579, 0.3421, 78.31, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|  1.0431047774793929|      0.00390625|[344, 48, 8, 32]                                                           |  | used linear model with 49 points | iterate failure | actual_k=2
       9|[107.46902550340477, 0.094050942736141, 0.9098216294505294, 102.40150858578677, 0.1825223665618439, 0.8177779765288539, 97.43986210548078, 0.2838712117588428, 0.7156220578503252, 96.29881615005709, 0.3049393673033139, 0.6947704706289343, 93.9903221233273, 0.3568887278977345, 0.6439205802918802, 89.72026650943107, 0.4678842016453808, 0.5323207129161944, 83.70962279525733, 0.6585357192397678, 0.3417725612216559, 78.30937521152681, 0.8765678745487033, 0.1239829432380677, 886.3704879649663, 910.0103856657846, 922.5203409729938, 926.4596541622004, 935.5601303038566, 952.8298102489506, 975.7299834860642]|  0.3903356163825404|      0.00781250|[387, 54, 9, 36]                                                           |  | used linear model with 49 points | iterate success | actual_k=2
      10|[107.46902550340477, 0.094050942736141, 0.9098216294505294, 102.40150858578677, 0.1825223665618439, 0.8177779765288539, 97.43986210548078, 0.2838712117588428, 0.7156220578503252, 96.29881615005709, 0.3049393673033139, 0.6947704706289343, 93.9903221233273, 0.3568887278977345, 0.6439205802918802, 89.72026650943107, 0.4678842016453808, 0.5323207129161944, 83.70962279525733, 0.6585357192397678, 0.3417725612216559, 78.30937521152681, 0.8765678745487033, 0.1239829432380677, 886.3704879649663, 910.0103856657846, 922.5203409729938, 926.4596541622004, 935.5601303038566, 952.8298102489506, 975.7299834860642]|  0.3903356163825404|      0.00390625|[430, 60, 10, 40]                                                          |  | used linear model with 49 points | iterate failure | actual_k=2
      11|[107.46902550340477, 0.094050942736141, 0.9098216294505294, 102.40150858578677, 0.1825223665618439, 0.8177779765288539, 97.43986210548078, 0.2838712117588428, 0.7156220578503252, 96.29881615005709, 0.3049393673033139, 0.6947704706289343, 93.9903221233273, 0.3568887278977345, 0.6439205802918802, 89.72026650943107, 0.4678842016453808, 0.5323207129161944, 83.70962279525733, 0.6585357192397678, 0.3417725612216559, 78.30937521152681, 0.8765678745487033, 0.1239829432380677, 886.3704879649663, 910.0103856657846, 922.5203409729938, 926.4596541622004, 935.5601303038566, 952.8298102489506, 975.7299834860642]|  0.3903356163825404|      0.00195312|[473, 66, 11, 44]                                                          |  | used linear model with 49 points | iterate failure | actual_k=2
