k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.1436977039519062, -0.0046438831035189, 0.982918370530522, 0.5676309023780282, 0.6874607169729359, 0.1666850642465184]|477.7052627384906600|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[-0.287703780229431, -0.9405834364537533, 2.030002069755829, 1.0845017788432258, -0.6300944162147089, 0.2282325853935877]|351.4811883652535016|      4.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[-0.287703780229431, -0.9405834364537533, 2.030002069755829, 1.0845017788432258, -0.6300944162147089, 0.2282325853935877]|351.4811883652535016|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[-0.287703780229431, -0.9405834364537533, 2.030002069755829, 1.0845017788432258, -0.6300944162147089, 0.2282325853935877]|351.4811883652535016|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[-0.3439564048499719, -1.3956873830953471, 1.9251681491767745, 1.0687070209425775, -1.4650481485532074, -0.0569492505417344]| 50.1843167706208035|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[-0.3439564048499719, -1.3956873830953471, 1.9251681491767745, 1.0687070209425775, -1.4650481485532074, -0.0569492505417344]| 50.1843167706208035|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[-0.3439564048499719, -1.3956873830953471, 1.9251681491767745, 1.0687070209425775, -1.4650481485532074, -0.0569492505417344]| 50.1843167706208035|      0.50000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[-0.3439564048499719, -1.3956873830953471, 1.9251681491767745, 1.0687070209425775, -1.4650481485532074, -0.0569492505417344]| 50.1843167706208035|      0.25000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[-0.5054653644516595, -1.2435389137798818, 1.9093637552082279, 1.0201006909350732, -1.3862790538270542, 0.0097498857634099]| 43.9283275401072970|      0.50000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[-0.5054653644516595, -1.2435389137798818, 1.9093637552082279, 1.0201006909350732, -1.3862790538270542, 0.0097498857634099]| 43.9283275401072970|      0.25000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[-0.5054653644516595, -1.2435389137798818, 1.9093637552082279, 1.0201006909350732, -1.3862790538270542, 0.0097498857634099]| 43.9283275401072970|      0.12500000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[-0.5054653644516595, -1.2435389137798818, 1.9093637552082279, 1.0201006909350732, -1.3862790538270542, 0.0097498857634099]| 43.9283275401072970|      0.06250000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[-0.5183255224318399, -1.2536635580157742, 1.9229599041819119, 1.0071261441574668, -1.440404217890319, -0.0091082795754343]| 42.6857095851078867|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[-0.5183255224318399, -1.2536635580157742, 1.9229599041819119, 1.0071261441574668, -1.440404217890319, -0.0091082795754343]| 42.6857095851078867|      0.06250000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[-0.4771892081359663, -1.2344133828962343, 1.924250423412699, 0.9870764219620787, -1.40826855261103, -0.0292856585201429]| 42.0602895790966542|      0.12500000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      16|[-0.4771892081359663, -1.2344133828962343, 1.924250423412699, 0.9870764219620787, -1.40826855261103, -0.0292856585201429]| 42.0602895790966542|      0.06250000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[-0.488479113815517, -1.235683595740313, 1.9331242837075864, 0.9813989224962656, -1.465178354655358, -0.0499609970575277]| 40.7993301767602148|      0.12500000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      18|[-0.488479113815517, -1.235683595740313, 1.9331242837075864, 0.9813989224962656, -1.465178354655358, -0.0499609970575277]| 40.7993301767602148|      0.06250000|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      19|[-0.4452801202734589, -1.1982956798290938, 1.9242621703969736, 0.9634779394864703, -1.4512666438271784, -0.0569614483454389]| 40.1070858728768584|      0.12500000|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      20|[-0.4452801202734589, -1.1982956798290938, 1.9242621703969736, 0.9634779394864703, -1.4512666438271784, -0.0569614483454389]| 40.1070858728768584|      0.06250000|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
