k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.25000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[-4.0, -0.1, 4.0, 0.1, -2.0, -0.1]                                              | 10.2348225388852789|      0.12500000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       4|[-3.9586805308647177, -0.007067577235555, 4.014907616423456, 0.0394088628266282, -2.022597638143191, -0.0703842932134475]|  4.8530944338197832|      0.25000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       5|[-3.9586805308647177, -0.007067577235555, 4.014907616423456, 0.0394088628266282, -2.022597638143191, -0.0703842932134475]|  4.8530944338197832|      0.12500000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[-3.9586805308647177, -0.007067577235555, 4.014907616423456, 0.0394088628266282, -2.022597638143191, -0.0703842932134475]|  4.8530944338197832|      0.06250000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[-3.963468097386875, -0.0600241949901003, 4.014691008064405, 0.0651482809538507, -2.0258787016113198, -0.0905237048385125]|  1.2889192744516360|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       8|[-3.963468097386875, -0.0600241949901003, 4.014691008064405, 0.0651482809538507, -2.0258787016113198, -0.0905237048385125]|  1.2889192744516360|      0.06250000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[-3.963468097386875, -0.0600241949901003, 4.014691008064405, 0.0651482809538507, -2.0258787016113198, -0.0905237048385125]|  1.2889192744516360|      0.03125000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[-3.9736812400419925, -0.0463411115732502, 4.01246374843513, 0.0452799419121188, -2.0222512515384032, -0.1070209006471595]|  0.6494584550034556|      0.06250000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[-3.9736812400419925, -0.0463411115732502, 4.01246374843513, 0.0452799419121188, -2.0222512515384032, -0.1070209006471595]|  0.6494584550034556|      0.03125000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[-3.9736812400419925, -0.0463411115732502, 4.01246374843513, 0.0452799419121188, -2.0222512515384032, -0.1070209006471595]|  0.6494584550034556|      0.01562500|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[-3.9736812400419925, -0.0463411115732502, 4.01246374843513, 0.0452799419121188, -2.0222512515384032, -0.1070209006471595]|  0.6494584550034556|      0.00781250|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      14|[-3.9741352056306476, -0.0516048559811894, 4.01309608861968, 0.0400090021078277, -2.022998325043971, -0.109114053042478]|  0.5546833936095179|      0.01562500|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      15|[-3.9687953650026135, -0.052574147763169, 4.011020072804853, 0.0287111374092998, -2.0284804473656304, -0.1163722860884261]|  0.4798029048133959|      0.03125000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      16|[-3.9687953650026135, -0.052574147763169, 4.011020072804853, 0.0287111374092998, -2.0284804473656304, -0.1163722860884261]|  0.4798029048133959|      0.01562500|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[-3.9687953650026135, -0.052574147763169, 4.011020072804853, 0.0287111374092998, -2.0284804473656304, -0.1163722860884261]|  0.4798029048133959|      0.00781250|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      18|[-3.9687953650026135, -0.052574147763169, 4.011020072804853, 0.0287111374092998, -2.0284804473656304, -0.1163722860884261]|  0.4798029048133959|      0.00390625|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      19|[-3.968741343820956, -0.0563442723275644, 4.010964546066901, 0.0294415218607805, -2.0287937939153333, -0.1170104873243786]|  0.4517624292564232|      0.00781250|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      20|[-3.968741343820956, -0.0563442723275644, 4.010964546066901, 0.0294415218607805, -2.0287937939153333, -0.1170104873243786]|  0.4517624292564232|      0.00390625|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
