k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0]                                                            | 13.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.9903612749292866, 0.0537531205969904, -0.1276384652953875, 0.0018892653497024]|  7.9645690443891040|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[0.9903612749292866, 0.0537531205969904, -0.1276384652953875, 0.0018892653497024]|  7.9645690443891040|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[0.9903612749292866, 0.0537531205969904, -0.1276384652953875, 0.0018892653497024]|  7.9645690443891040|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.9903612749292866, 0.0537531205969904, -0.1276384652953875, 0.0018892653497024]|  7.9645690443891040|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[1.1027956644567805, 0.0082100324763624, -0.1916780328029576, -0.2071161627364118]|  7.3624821596848937|      0.50000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[1.5109089124940973, -0.0090580706788521, -0.1192802689671387, -0.4862289592567889]|  6.6178350924775620|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[1.5109089124940973, -0.0090580706788521, -0.1192802689671387, -0.4862289592567889]|  6.6178350924775620|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[1.5109089124940973, -0.0090580706788521, -0.1192802689671387, -0.4862289592567889]|  6.6178350924775620|      0.25000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[1.5109089124940973, -0.0090580706788521, -0.1192802689671387, -0.4862289592567889]|  6.6178350924775620|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[1.4635863311559816, -0.0297918261181207, -0.0583951618544441, -0.5823990607060321]|  6.1154815476214264|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      11|[1.3990316478970415, 0.0308838936658824, -0.0872080957306769, -0.8143925191040544]|  5.8736038311471921|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[1.3990316478970415, 0.0308838936658824, -0.0872080957306769, -0.8143925191040544]|  5.8736038311471921|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[1.3990316478970415, 0.0308838936658824, -0.0872080957306769, -0.8143925191040544]|  5.8736038311471921|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[1.3990316478970415, 0.0308838936658824, -0.0872080957306769, -0.8143925191040544]|  5.8736038311471921|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[1.4083367233125823, 0.0450057658376413, -0.0286074777461161, -0.8280382462632487]|  5.8170688301238291|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      16|[1.4083367233125823, 0.0450057658376413, -0.0286074777461161, -0.8280382462632487]|  5.8170688301238291|      0.06250000|[80, 0, 16, 32]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      17|[1.4083367233125823, 0.0450057658376413, -0.0286074777461161, -0.8280382462632487]|  5.8170688301238291|      0.03125000|[85, 0, 17, 34]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      18|[1.3980621085012144, 0.0589174706656649, -0.0026097953051981, -0.8267813584571404]|  5.8061293621652590|      0.06250000|[90, 0, 18, 36]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      19|[1.4139249557785631, 0.037825192469406, 0.0342649607999042, -0.7837698688417323]|  5.7654029716300990|      0.12500000|[95, 0, 19, 38]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      20|[1.4139249557785631, 0.037825192469406, 0.0342649607999042, -0.7837698688417323]|  5.7654029716300990|      0.06250000|[100, 0, 20, 40]                                                           |  | used linear model with 5 points | iterate failure | actual_k=0
