k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[-0.9937288129865789, -0.2045915797177418, -0.1435373042872187]                 |2055.1276777780508382|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[-1.0084093603339315, -0.6938202659108639, -0.2457125172076421]                 |1445.3884942949928245|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[-0.3931513129978401, -1.1183106702584227, -0.9099906455582796]                 |457.1261935668229626|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[0.9389905713369704, -0.4500276776556192, -2.243705698258346]                   |240.0304710198572593|      4.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[0.9389905713369704, -0.4500276776556192, -2.243705698258346]                   |240.0304710198572593|      2.00000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.9389905713369704, -0.4500276776556192, -2.243705698258346]                   |240.0304710198572593|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.4845042970968264, -0.5487904319675002, -1.3584440731508056]                  |  9.0335537474188783|      2.00000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[0.4845042970968264, -0.5487904319675002, -1.3584440731508056]                  |  9.0335537474188783|      1.00000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.4845042970968264, -0.5487904319675002, -1.3584440731508056]                  |  9.0335537474188783|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.4845042970968264, -0.5487904319675002, -1.3584440731508056]                  |  9.0335537474188783|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.537008046927105, -0.793165686820054, -1.363352338578521]                     |  5.6248191706832236|      0.50000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[0.537008046927105, -0.793165686820054, -1.363352338578521]                     |  5.6248191706832236|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.537008046927105, -0.793165686820054, -1.363352338578521]                     |  5.6248191706832236|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
