k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.4774896767047458, -1.0739867904055376, 19.898374495292032]                   |479.4645430445039551|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[0.4774896767047458, -1.0739867904055376, 19.898374495292032]                   |479.4645430445039551|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.4774896767047458, -1.0739867904055376, 19.898374495292032]                   |479.4645430445039551|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.4774896767047458, -1.0739867904055376, 19.898374495292032]                   |479.4645430445039551|      0.12500000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.5643023664621739, -1.1626894036299853, 19.913220481424133]                   |400.0280493260577828|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[0.5643023664621739, -1.1626894036299853, 19.913220481424133]                   |400.0280493260577828|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[0.5936837016368439, -1.088105237112604, 20.00913158218031]                     |324.5028954180531287|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       9|[0.7992020149828565, -1.1067328048401375, 20.150252936340358]                   |248.4326307863658485|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.7992020149828565, -1.1067328048401375, 20.150252936340358]                   |248.4326307863658485|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.7992020149828565, -1.1067328048401375, 20.150252936340358]                   |248.4326307863658485|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.7992020149828565, -1.1067328048401375, 20.150252936340358]                   |248.4326307863658485|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[0.7992020149828565, -1.1067328048401375, 20.150252936340358]                   |248.4326307863658485|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.7857051705204565, -1.1348872631486338, 20.151566011704887]                   |232.2653590482789241|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[0.7857051705204565, -1.1348872631486338, 20.151566011704887]                   |232.2653590482789241|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
