k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.50000000|[113, 16, 0, 2]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       2|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.25000000|[225, 32, 0, 4]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       3|[100.0, 0.0, 0.2, 0.9, 100.0, 0.0, 0.2, 0.8, 100.0, 0.05, 0.3, 0.8, 100.0, 0.1, 0.3, 0.6, 100.0, 0.3, 0.5, 0.3, 100.0, 0.6, 0.6, 0.0, 300.0, 300.0, 300.0, 300.0, 300.0]|704.1073340916507277|      0.12500000|[337, 48, 0, 6]                                                            |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       4|[99.99389317110614, 0.0612545138167651, 0.2195928985723849, 0.9019266497238776, 100.0072379096657, 0.0329059079754415, 0.2134594477364913, 0.7955986515013387, 99.98995014043955, 0.0272935302166042, 0.2812171376814622, 0.782931688326165, 99.99361512734949, 0.1502792152925813, 0.3280066143183475, 0.6138128712525625, 99.99967669320735, 0.2416234737159119, 0.4719628134638968, 0.2775758992069601, 99.99375833804562, 0.6121942585910056, 0.6126733920417459, 0.0127238288074352, 299.99644441297136, 300.0054296309388, 299.99283589169846, 299.99974743939885, 300.0026676694945]|399.0748291015625000|      0.25000000|[449, 64, 0, 8]                                                            |  | trying linear partial model with 57 points | iterate success | actual_k=8
       5|[99.99389317110614, 0.0612545138167651, 0.2195928985723849, 0.9019266497238776, 100.0072379096657, 0.0329059079754415, 0.2134594477364913, 0.7955986515013387, 99.98995014043955, 0.0272935302166042, 0.2812171376814622, 0.782931688326165, 99.99361512734949, 0.1502792152925813, 0.3280066143183475, 0.6138128712525625, 99.99967669320735, 0.2416234737159119, 0.4719628134638968, 0.2775758992069601, 99.99375833804562, 0.6121942585910056, 0.6126733920417459, 0.0127238288074352, 299.99644441297136, 300.0054296309388, 299.99283589169846, 299.99974743939885, 300.0026676694945]|399.0748291015625000|      0.12500000|[561, 80, 0, 10]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       6|[99.99389317110614, 0.0612545138167651, 0.2195928985723849, 0.9019266497238776, 100.0072379096657, 0.0329059079754415, 0.2134594477364913, 0.7955986515013387, 99.98995014043955, 0.0272935302166042, 0.2812171376814622, 0.782931688326165, 99.99361512734949, 0.1502792152925813, 0.3280066143183475, 0.6138128712525625, 99.99967669320735, 0.2416234737159119, 0.4719628134638968, 0.2775758992069601, 99.99375833804562, 0.6121942585910056, 0.6126733920417459, 0.0127238288074352, 299.99644441297136, 300.0054296309388, 299.99283589169846, 299.99974743939885, 300.0026676694945]|399.0748291015625000|      0.06250000|[673, 96, 0, 12]                                                           |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
       7|[100.00086038859523, 0.1053458977143092, 0.2449318291323291, 0.9168503090333826, 100.00305864688329, 0.0396960683159944, 0.2059935228935355, 0.7854070797074713, 99.99674990022959, 0.0418816659218481, 0.2795234901785518, 0.7802175980620701, 99.98936341943117, 0.1360075574869476, 0.3185476798232572, 0.6091830955773133, 99.99062442194673, 0.2342335770147007, 0.4694511843390049, 0.2737951463353741, 99.99316181408446, 0.6147564090527727, 0.6154717992905395, 0.0162070086174096, 299.99311050168154, 300.0106236875906, 299.9925141255984, 299.9997181060286, 300.00143756274196]|305.6882934570312500|      0.12500000|[785, 112, 0, 14]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       8|[99.99137724621367, 0.1384558666262443, 0.2531851441526012, 0.953931606253263, 100.00352886139788, 0.0967598498974184, 0.2349775349108176, 0.7892413261564786, 100.01186687259143, 0.033951101148689, 0.2389753380333205, 0.7569083466131338, 99.9864728374607, 0.0759094196457054, 0.2950509036791264, 0.5916629533741906, 99.97680787949103, 0.2207225317233985, 0.4666833573143327, 0.2982309221308603, 99.9938360988066, 0.6318383772609474, 0.6305276436962993, 0.0184542047692066, 300.00768369027986, 300.0149492085535, 299.99352098580715, 299.9884129339966, 300.00945036185124]|228.4494323730468750|      0.25000000|[897, 128, 0, 16]                                                          |  | trying linear partial model with 57 points | iterate success | actual_k=8
       9|[99.99137724621367, 0.1384558666262443, 0.2531851441526012, 0.953931606253263, 100.00352886139788, 0.0967598498974184, 0.2349775349108176, 0.7892413261564786, 100.01186687259143, 0.033951101148689, 0.2389753380333205, 0.7569083466131338, 99.9864728374607, 0.0759094196457054, 0.2950509036791264, 0.5916629533741906, 99.97680787949103, 0.2207225317233985, 0.4666833573143327, 0.2982309221308603, 99.9938360988066, 0.6318383772609474, 0.6305276436962993, 0.0184542047692066, 300.00768369027986, 300.0149492085535, 299.99352098580715, 299.9884129339966, 300.00945036185124]|228.4494323730468750|      0.12500000|[1009, 144, 0, 18]                                                         |  | trying linear partial model with 57 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=8
      10|[100.01599161455243, 0.1864026863380576, 0.2741140272020562, 0.9491383138683512, 100.01829875962864, 0.1008951314207526, 0.2282669889943113, 0.7467726826837177, 99.99736332683067, 0.0423914338696394, 0.2626152182744505, 0.7448909171569879, 99.98152495415852, 0.1044333967764295, 0.3116797894507852, 0.5860066737626136, 99.95843701336761, 0.1724118887422353, 0.4329337207871855, 0.2638768015482167, 99.99797228723261, 0.6589369268581684, 0.6427823322058628, 0.0411507309752447, 299.98552726450185, 300.0392848513072, 300.0067586092673, 299.99582916872663, 299.9914742204468]|169.4852142333984375|      0.25000000|[1121, 160, 0, 20]                                                         |  | trying linear partial model with 57 points | iterate success | actual_k=8
