k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 1.0, 2.0]                                                 |87848.8533334838575684|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.004200890934605, 149.94585043116692, -100.05277285064342, 1.051270218381297, 2.0061926990770886]|84516.0626495834294474|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[49.004200890934605, 149.94585043116692, -100.05277285064342, 1.051270218381297, 2.0061926990770886]|84516.0626495834294474|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[48.03011723880799, 149.8322328669182, -100.1814436800975, 1.1956115473253925, 1.97684161459767]|81292.9875055983575294|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[48.03011723880799, 149.8322328669182, -100.1814436800975, 1.1956115473253925, 1.97684161459767]|81292.9875055983575294|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[47.034407549763046, 149.76110974742585, -100.23406573073676, 1.2129451964386089, 1.9976786347933044]|78088.1767551575903781|      2.00000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       6|[47.034407549763046, 149.76110974742585, -100.23406573073676, 1.2129451964386089, 1.9976786347933044]|78088.1767551575903781|      1.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[46.03767632548142, 149.70620599792713, -100.2931389536859, 1.217627457045046, 1.9967429002973114]|74948.0212950335844653|      2.00000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[46.03767632548142, 149.70620599792713, -100.2931389536859, 1.217627457045046, 1.9967429002973114]|74948.0212950335844653|      1.00000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[45.04265500826453, 149.66067850239864, -100.34501235970521, 1.2891861751133809, 2.003694522499205]|71882.1645712058962090|      2.00000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[45.04265500826453, 149.66067850239864, -100.34501235970521, 1.2891861751133809, 2.003694522499205]|71882.1645712058962090|      1.00000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[44.04667213857964, 149.59803871379228, -100.40897908770947, 1.290796186541836, 2.0039084131849245]|68873.8464591947267763|      2.00000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[42.056625607653295, 149.46980472736377, -100.53861677144367, 1.3611997635139355, 1.965072131459811]|63059.8127594953039079|      4.00000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[42.056625607653295, 149.46980472736377, -100.53861677144367, 1.3611997635139355, 1.965072131459811]|63059.8127594953039079|      2.00000000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[40.066209784116836, 149.33893931292823, -100.68118284289855, 1.3889236511267444, 1.9701113819853435]|57505.6241312187994481|      4.00000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
