k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6, -0.6, 20.0]                                                               |2340.4195868458514269|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[0.458281350676966, -1.079090610539579, 19.9803019968812]                       |496.6435244446591923|      1.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[0.458281350676966, -1.079090610539579, 19.9803019968812]                       |496.6435244446591923|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.458281350676966, -1.079090610539579, 19.9803019968812]                       |496.6435244446591923|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.458281350676966, -1.079090610539579, 19.9803019968812]                       |496.6435244446591923|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.5486831151450998, -1.158597842737493, 20.013934139383203]                    |411.4601380684651986|      0.25000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       7|[0.5486831151450998, -1.158597842737493, 20.013934139383203]                    |411.4601380684651986|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.5486831151450998, -1.158597842737493, 20.013934139383203]                    |411.4601380684651986|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[0.5731212557328401, -1.1019963649573252, 20.024195718097758]                   |332.4004204304923178|      0.12500000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
      10|[0.5731212557328401, -1.1019963649573252, 20.024195718097758]                   |332.4004204304923178|      0.06250000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.63203774939032, -1.1227190462713672, 20.0265763176577]                       |276.0875569748282601|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[0.63203774939032, -1.1227190462713672, 20.0265763176577]                       |276.0875569748282601|      0.06250000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.63203774939032, -1.1227190462713672, 20.0265763176577]                       |276.0875569748282601|      0.03125000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.6616069090420001, -1.1160635007117221, 20.034187560052796]                   |256.1547853185848567|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      15|[0.6616069090420001, -1.1160635007117221, 20.034187560052796]                   |256.1547853185848567|      0.03125000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
