k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3514753372277711, 1.0497226484841422, -0.6050095324033354, 1.1139742834263646, 1.1814136491104616, 1.6074826302219674, 1.2981463722159248, 1.0642554013013787]| 70.1204415122373632|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       2|[0.3514753372277711, 1.0497226484841422, -0.6050095324033354, 1.1139742834263646, 1.1814136491104616, 1.6074826302219674, 1.2981463722159248, 1.0642554013013787]| 70.1204415122373632|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[0.3514753372277711, 1.0497226484841422, -0.6050095324033354, 1.1139742834263646, 1.1814136491104616, 1.6074826302219674, 1.2981463722159248, 1.0642554013013787]| 70.1204415122373632|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[0.3514753372277711, 1.0497226484841422, -0.6050095324033354, 1.1139742834263646, 1.1814136491104616, 1.6074826302219674, 1.2981463722159248, 1.0642554013013787]| 70.1204415122373632|      0.25000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       5|[0.4570748195122228, 1.060039600820062, -0.474867818664958, 1.0924729597974099, 1.1402115171312857, 1.6577068061769793, 1.3238437272819596, 1.234439712199346]| 64.0004016710471433|      0.50000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       6|[0.4570748195122228, 1.060039600820062, -0.474867818664958, 1.0924729597974099, 1.1402115171312857, 1.6577068061769793, 1.3238437272819596, 1.234439712199346]| 64.0004016710471433|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[0.4570748195122228, 1.060039600820062, -0.474867818664958, 1.0924729597974099, 1.1402115171312857, 1.6577068061769793, 1.3238437272819596, 1.234439712199346]| 64.0004016710471433|      0.12500000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       8|[0.3882212074371505, 1.0177014731252798, -0.4650787002697357, 1.0701582390589597, 1.1025946831602815, 1.5785946252956624, 1.3505291990395263, 1.245023269361326]| 58.0706815537354828|      0.25000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
       9|[0.3882212074371505, 1.0177014731252798, -0.4650787002697357, 1.0701582390589597, 1.1025946831602815, 1.5785946252956624, 1.3505291990395263, 1.245023269361326]| 58.0706815537354828|      0.12500000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
      10|[0.3700283150496194, 0.95763280033932, -0.5037622257296287, 0.9837447744447736, 1.1246166924611336, 1.5822987168720655, 1.3609290165283205, 1.199031685176584]| 56.1812548075706388|      0.25000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      11|[0.3700283150496194, 0.95763280033932, -0.5037622257296287, 0.9837447744447736, 1.1246166924611336, 1.5822987168720655, 1.3609290165283205, 1.199031685176584]| 56.1812548075706388|      0.12500000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      12|[0.2978024579080595, 0.949792901235515, -0.5036489098934884, 0.9851291459203704, 1.0984907330750902, 1.6208672228253365, 1.451341977957504, 1.1983734924660019]| 53.4004735559396124|      0.25000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      13|[0.2978024579080595, 0.949792901235515, -0.5036489098934884, 0.9851291459203704, 1.0984907330750902, 1.6208672228253365, 1.451341977957504, 1.1983734924660019]| 53.4004735559396124|      0.12500000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[0.3076543756593004, 0.8818040285096458, -0.4893158760024147, 1.0080496374562196, 1.0900155604045385, 1.7053510201354984, 1.4784584411179877, 1.2455966327178605]| 51.5810320806219309|      0.25000000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      15|[0.3076543756593004, 0.8818040285096458, -0.4893158760024147, 1.0080496374562196, 1.0900155604045385, 1.7053510201354984, 1.4784584411179877, 1.2455966327178605]| 51.5810320806219309|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[0.2410620884257058, 0.8054577287601196, -0.480096214118512, 0.9601879477145125, 1.0846789116689952, 1.6632069875172468, 1.4470188713051764, 1.2317070527998237]| 48.4580621567567462|      0.25000000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      17|[0.2410620884257058, 0.8054577287601196, -0.480096214118512, 0.9601879477145125, 1.0846789116689952, 1.6632069875172468, 1.4470188713051764, 1.2317070527998237]| 48.4580621567567462|      0.12500000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[0.2410620884257058, 0.8054577287601196, -0.480096214118512, 0.9601879477145125, 1.0846789116689952, 1.6632069875172468, 1.4470188713051764, 1.2317070527998237]| 48.4580621567567462|      0.06250000|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      19|[0.2279211576110953, 0.7991274165963917, -0.4947681440498798, 0.9586182482106048, 1.0833334470010927, 1.7182348651574904, 1.4420325806729566, 1.2522258956950916]| 45.9763484403184037|      0.12500000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      20|[0.1840789085746096, 0.7895552777793781, -0.5244920248938303, 0.9386581175715143, 1.0915398897613604, 1.8070166898077675, 1.44574848759937, 1.3183012269090915]| 44.3685219445429340|      0.25000000|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      21|[0.1840789085746096, 0.7895552777793781, -0.5244920248938303, 0.9386581175715143, 1.0915398897613604, 1.8070166898077675, 1.44574848759937, 1.3183012269090915]| 44.3685219445429340|      0.12500000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      22|[0.1840789085746096, 0.7895552777793781, -0.5244920248938303, 0.9386581175715143, 1.0915398897613604, 1.8070166898077675, 1.44574848759937, 1.3183012269090915]| 44.3685219445429340|      0.06250000|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      23|[0.1561563119669211, 0.7719183943459083, -0.5359784245363346, 0.9070720546082307, 1.1004161596092974, 1.7884772338475763, 1.4122149644377946, 1.3065154124769245]| 42.1565414216529888|      0.12500000|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      24|[0.1561563119669211, 0.7719183943459083, -0.5359784245363346, 0.9070720546082307, 1.1004161596092974, 1.7884772338475763, 1.4122149644377946, 1.3065154124769245]| 42.1565414216529888|      0.06250000|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[0.1248137042121832, 0.7332021226978425, -0.5205882214368488, 0.9099846957885839, 1.0925832353689031, 1.8173940114777363, 1.4178417578607878, 1.3223395675514926]| 40.2227549438997443|      0.12500000|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      26|[0.1204467466769428, 0.6770152926514931, -0.572766177124825, 0.9080542501807172, 1.1559272127113576, 1.87039503381027, 1.4416660608599194, 1.2740328507932905]| 39.5082977416907397|      0.25000000|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
