k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-1.0, 0.0, 0.0]                                                                |2499.9997982897020847|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.4313594427900245, 0.8205042679109135, -0.0584864346314993]                  |1108.6409154302527895|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[1.4290853878538, 1.3264464657857609, -0.590245331632989]                       |407.7542109632595952|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[1.4290853878538, 1.3264464657857609, -0.590245331632989]                       |407.7542109632595952|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.8398527312054309, 0.173475679288188, 0.9340457304093865]                     | 40.0939703874491329|      4.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       5|[0.8398527312054309, 0.173475679288188, 0.9340457304093865]                     | 40.0939703874491329|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[0.8398527312054309, 0.173475679288188, 0.9340457304093865]                     | 40.0939703874491329|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.8398527312054309, 0.173475679288188, 0.9340457304093865]                     | 40.0939703874491329|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.6913103529602727, 0.6134655791577766, 0.7487242532999547]                    | 17.6531589033858900|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.6913103529602727, 0.6134655791577766, 0.7487242532999547]                    | 17.6531589033858900|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.6913103529602727, 0.6134655791577766, 0.7487242532999547]                    | 17.6531589033858900|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.862748329076418, 0.4601574484778625, 0.8467326070899783]                     |  1.2139038026598510|      0.50000000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      12|[0.862748329076418, 0.4601574484778625, 0.8467326070899783]                     |  1.2139038026598510|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[0.862748329076418, 0.4601574484778625, 0.8467326070899783]                     |  1.2139038026598510|      0.12500000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[0.862748329076418, 0.4601574484778625, 0.8467326070899783]                     |  1.2139038026598510|      0.06250000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.8750504095117922, 0.520383802582736, 0.8354323819508064]                     |  0.7646973741657832|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
