k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.50000000|[46, 3, 0, 3]                                                              |  | trying linear partial model with 16 points | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=1
       2|[0.8807089808213286, 0.9848139681997466, 0.933916902509562, 0.9445187503601377, 0.8914523776935874, 0.7807130340290873, 0.8922968708094466, 0.8690076711713683, 0.842358763527226, 0.8197971726290876, 1.0292849321506632, 0.7577471419169133, 1.0020655037766153, 1.0347960427672154, 1.049589410721263, 1.0722988897560886, 1.0306964001346592, 0.9870480242865058, 0.9681923119708152, 1.0235625798422257, 0.8999445321571558, 0.9682448128311634]|  1.3945220708847046|      1.00000000|[76, 5, 0, 5]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[0.8807089808213286, 0.9848139681997466, 0.933916902509562, 0.9445187503601377, 0.8914523776935874, 0.7807130340290873, 0.8922968708094466, 0.8690076711713683, 0.842358763527226, 0.8197971726290876, 1.0292849321506632, 0.7577471419169133, 1.0020655037766153, 1.0347960427672154, 1.049589410721263, 1.0722988897560886, 1.0306964001346592, 0.9870480242865058, 0.9681923119708152, 1.0235625798422257, 0.8999445321571558, 0.9682448128311634]|  1.3945220708847046|      0.50000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=1
       4|[0.7677200327420444, 0.8777017243826007, 0.8218107700174684, 0.8279089072732325, 0.7824389087563609, 0.6764965143337609, 0.7737494384926205, 0.7494580146437129, 0.7313920116054798, 0.702679233417174, 1.0498644459257898, 0.4134843687396159, 1.0019440951338658, 1.024576750512163, 1.040028095080089, 1.0627216051090902, 0.9982213252087481, 0.9479835408384394, 0.9479257574668241, 1.0191712360386316, 0.8933670832942322, 0.9543866137794264]|  1.2474219799041748|      1.00000000|[166, 11, 0, 11]                                                           |  | trying linear partial model with 16 points | trying linear partial model with 31 points | iterate success | actual_k=1
       5|[0.7677200327420444, 0.8777017243826007, 0.8218107700174684, 0.8279089072732325, 0.7824389087563609, 0.6764965143337609, 0.7737494384926205, 0.7494580146437129, 0.7313920116054798, 0.702679233417174, 1.0498644459257898, 0.4134843687396159, 1.0019440951338658, 1.024576750512163, 1.040028095080089, 1.0627216051090902, 0.9982213252087481, 0.9479835408384394, 0.9479257574668241, 1.0191712360386316, 0.8933670832942322, 0.9543866137794264]|  1.2474219799041748|      0.50000000|[211, 14, 0, 14]                                                           |  | trying linear partial model with 16 points | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=1
       6|[0.7013356096607075, 0.7337156521395447, 0.6629086556759937, 0.6817514690787703, 0.7121496822776532, 0.6320360360072195, 0.6624784914159525, 0.6270168509710288, 0.5653394269600802, 0.6282510100319715, 1.1054299042146793, 0.1311399471562132, 1.0076957214188091, 1.1223969844869905, 0.9897942512884423, 1.0502395733421677, 0.9826440631605092, 1.0311596312038245, 0.9602565254467318, 0.9683349827683957, 0.8268385391662216, 0.9164985841908795]|  1.1265021562576294|      1.00000000|[241, 16, 0, 16]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[0.7013356096607075, 0.7337156521395447, 0.6629086556759937, 0.6817514690787703, 0.7121496822776532, 0.6320360360072195, 0.6624784914159525, 0.6270168509710288, 0.5653394269600802, 0.6282510100319715, 1.1054299042146793, 0.1311399471562132, 1.0076957214188091, 1.1223969844869905, 0.9897942512884423, 1.0502395733421677, 0.9826440631605092, 1.0311596312038245, 0.9602565254467318, 0.9683349827683957, 0.8268385391662216, 0.9164985841908795]|  1.1265021562576294|      0.50000000|[286, 19, 0, 19]                                                           |  | trying linear partial model with 16 points | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=1
       8|[0.5926003867225008, 0.6123764691216624, 0.548804262780614, 0.578602759813443, 0.5944057691027104, 0.5251011803954378, 0.5558625014235288, 0.5253202703186136, 0.4327286000714737, 0.5259711993652686, 1.1198236250796685, -0.2123232456721547, 0.9954617270058465, 1.0885470074833743, 0.9750025091127641, 1.0446924599509317, 0.9362732805544398, 0.9805436362878042, 0.9472291362516585, 0.9582201218831863, 0.8284579239356643, 0.9222659148514869]|  1.0026938915252686|      1.00000000|[331, 22, 0, 22]                                                           |  | trying linear partial model with 16 points | trying linear partial model with 31 points | iterate success | actual_k=1
       9|[0.5926003867225008, 0.6123764691216624, 0.548804262780614, 0.578602759813443, 0.5944057691027104, 0.5251011803954378, 0.5558625014235288, 0.5253202703186136, 0.4327286000714737, 0.5259711993652686, 1.1198236250796685, -0.2123232456721547, 0.9954617270058465, 1.0885470074833743, 0.9750025091127641, 1.0446924599509317, 0.9362732805544398, 0.9805436362878042, 0.9472291362516585, 0.9582201218831863, 0.8284579239356643, 0.9222659148514869]|  1.0026938915252686|      0.50000000|[376, 25, 0, 25]                                                           |  | trying linear partial model with 16 points | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=1
