k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.7056099635127484, 1.3279130564246016, 1.2362361823330852]                    | 13.8656975030069969|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[-0.2800526287205561, 1.4955745588520866, 1.2551801754623282]                   |  1.7810702713256632|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[-0.2800526287205561, 1.4955745588520866, 1.2551801754623282]                   |  1.7810702713256632|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[-0.2800526287205561, 1.4955745588520866, 1.2551801754623282]                   |  1.7810702713256632|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.2800526287205561, 1.4955745588520866, 1.2551801754623282]                   |  1.7810702713256632|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-0.0316931599332405, 1.5073130247617093, 1.2812528178633398]                   |  1.1926524675828425|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[-0.0316931599332405, 1.5073130247617093, 1.2812528178633398]                   |  1.1926524675828425|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.0969331111208339, 1.611242481987249, 1.468746685271126]                      |  0.4780258923614050|      0.50000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.0969331111208339, 1.611242481987249, 1.468746685271126]                      |  0.4780258923614050|      0.25000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.0969331111208339, 1.611242481987249, 1.468746685271126]                      |  0.4780258923614050|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[-0.0040874083837335, 1.6609785686120364, 1.5230253765438435]                   |  0.1929774395187603|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[-0.0040874083837335, 1.6609785686120364, 1.5230253765438435]                   |  0.1929774395187603|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[-0.0040874083837335, 1.6609785686120364, 1.5230253765438435]                   |  0.1929774395187603|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.0348876856570797, 1.679938761186524, 1.5680554014388857]                     |  0.1138101112436123|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
