k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.50000000|[91, 14, 0, 7]                                                             |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 54 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 66 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 79 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       2|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.25000000|[182, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 28 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 41 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 54 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 66 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 79 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       3|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.12500000|[271, 42, 0, 21]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 53 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 78 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       4|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.06250000|[357, 56, 0, 28]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 63 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 75 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       5|[0.68767445, 0.02, 0.66517383, 0.02, 0.61846733, 0.02, 1.3259634929, 0.02, 0.0031397524, 0.02, 1.2514485797, 0.02, 0.22808479, 0.02, 1.2292780682, 0.02, 4.5930868164, 0.02, 4.4542869847, 0.02, 0.081623463, 0.02, 0.24488622, 0.02, 0.71655957, 0.02, 0.2054035, 0.02, -0.06417439, 0.02, 1.4012533731, 0.02, 0.24229792, 0.02, 0.062398552, 0.02, 0.022390123, 0.02, 0.42469106, 0.02, 0.2663842, 0.02, 0.83631104, 0.02, 1.0284154369, 0.02, 0.79861676, 0.02, 0.24565285, 0.02, 0.50446046, 0.02, 0.27424189, 0.02, 0.38503953, 0.02, 0.16687777, 0.02, 0.29610949, 0.02, 0.18555224, 0.02, 0.0061555539, 0.02, 0.16187381, 0.02]|491558.0020187626359984|      0.03125000|[444, 70, 0, 35]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       6|[0.6870873746377903, 0.0189557851175716, 0.6714780939565178, 0.0218434883482021, 0.6172731997249374, 0.019967191615651, 1.3298227572849843, 0.0134224795786115, 0.0001295218069247, 0.020388810792488, 1.2502851622791094, 0.0211350103854227, 0.2286468193585701, 0.0188719400064915, 1.2331106633257223, 0.0216294828553704, 4.585840033112758, 0.0264137869663061, 4.453571070838315, 0.03602212382018, 0.0745609380031692, 0.0232597189590928, 0.2425216034540086, 0.0227761075654907, 0.7146371810889038, 0.0207342874302368, 0.2023145739593381, 0.0250126993403063, -0.0602913192857589, 0.0246778960052493, 1.40225008324892, 0.0248971994779283, 0.2440564978189072, 0.0173086495338546, 0.0615773696369475, 0.0261423283074346, 0.020115894049199, 0.0175409952972193, 0.4269983808739036, 0.0178465042535856, 0.269447373205617, 0.0246325406237496, 0.8406724799014984, 0.0240308473825608, 1.0300741150191493, 0.0180681720634517, 0.7981963241600835, 0.0123310921517083, 0.2481056303832208, 0.0193877631904699, 0.5051347869413131, 0.0190276821606765, 0.2796894713732569, 0.0242292115054071, 0.3873585625546542, 0.018769954059657, 0.1700232680894315, 0.0197713020345336, 0.294316558883797, 0.0170503931950807, 0.1843969057107298, 0.0176421087083826, 0.0066784222377846, 0.0203141219190224, 0.1611045626504617, 0.0152430326172306]|390983.6875000000000000|      0.06250000|[471, 74, 0, 37]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       7|[0.6833841755229033, 0.0276037056603756, 0.6790170362484367, 0.0343133147712932, 0.5985234053747603, 0.019211492034663, 1.324012394463004, 0.0171509252300199, -0.0018320575800647, 0.0256008547665267, 1.2400960029549914, 0.0219469936518918, 0.2270704711605354, 0.0077358336620015, 1.2366071311904632, 0.0197464490935493, 4.59076887104313, 0.0463886661585651, 4.457845666587252, 0.0409117577226234, 0.0733130522561123, 0.0364722681822092, 0.2386421764797051, 0.0163184880246031, 0.7161531049987595, 0.016792932548934, 0.2120413144820631, 0.0284995743476386, -0.0568142605552973, 0.0186969709973715, 1.3865621600087787, 0.0200593852655977, 0.2462870125651922, 0.0229811206798517, 0.0543360724908326, 0.0231097217856499, 0.0164187447589793, 0.0211601450066632, 0.4291010076417477, 0.0135718739008245, 0.2683440053903152, 0.0151599546954435, 0.8399332043807165, 0.0311025059598964, 1.0326016816080086, 0.0303744806555979, 0.801780038636338, 0.0153104995933652, 0.2518910595493576, 0.0184775871731324, 0.5015033866937892, 0.0147957993148839, 0.27945544642991, 0.0418882862314927, 0.3934780396562638, 0.0235629242221714, 0.1787470390479344, 0.0245448666841571, 0.2936570583375307, 0.0317353911613609, 0.193193474038038, 0.0193466089696593, -0.0128340501020445, 0.0289508399518266, 0.1542745759365489, 0.0136837602874721]|330185.3125000000000000|      0.12500000|[497, 78, 0, 39]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[0.6833841755229033, 0.0276037056603756, 0.6790170362484367, 0.0343133147712932, 0.5985234053747603, 0.019211492034663, 1.324012394463004, 0.0171509252300199, -0.0018320575800647, 0.0256008547665267, 1.2400960029549914, 0.0219469936518918, 0.2270704711605354, 0.0077358336620015, 1.2366071311904632, 0.0197464490935493, 4.59076887104313, 0.0463886661585651, 4.457845666587252, 0.0409117577226234, 0.0733130522561123, 0.0364722681822092, 0.2386421764797051, 0.0163184880246031, 0.7161531049987595, 0.016792932548934, 0.2120413144820631, 0.0284995743476386, -0.0568142605552973, 0.0186969709973715, 1.3865621600087787, 0.0200593852655977, 0.2462870125651922, 0.0229811206798517, 0.0543360724908326, 0.0231097217856499, 0.0164187447589793, 0.0211601450066632, 0.4291010076417477, 0.0135718739008245, 0.2683440053903152, 0.0151599546954435, 0.8399332043807165, 0.0311025059598964, 1.0326016816080086, 0.0303744806555979, 0.801780038636338, 0.0153104995933652, 0.2518910595493576, 0.0184775871731324, 0.5015033866937892, 0.0147957993148839, 0.27945544642991, 0.0418882862314927, 0.3934780396562638, 0.0235629242221714, 0.1787470390479344, 0.0245448666841571, 0.2936570583375307, 0.0317353911613609, 0.193193474038038, 0.0193466089696593, -0.0128340501020445, 0.0289508399518266, 0.1542745759365489, 0.0136837602874721]|330185.3125000000000000|      0.06250000|[585, 92, 0, 46]                                                           |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 40 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 52 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 64 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
       9|[0.6833841755229033, 0.0276037056603756, 0.6790170362484367, 0.0343133147712932, 0.5985234053747603, 0.019211492034663, 1.324012394463004, 0.0171509252300199, -0.0018320575800647, 0.0256008547665267, 1.2400960029549914, 0.0219469936518918, 0.2270704711605354, 0.0077358336620015, 1.2366071311904632, 0.0197464490935493, 4.59076887104313, 0.0463886661585651, 4.457845666587252, 0.0409117577226234, 0.0733130522561123, 0.0364722681822092, 0.2386421764797051, 0.0163184880246031, 0.7161531049987595, 0.016792932548934, 0.2120413144820631, 0.0284995743476386, -0.0568142605552973, 0.0186969709973715, 1.3865621600087787, 0.0200593852655977, 0.2462870125651922, 0.0229811206798517, 0.0543360724908326, 0.0231097217856499, 0.0164187447589793, 0.0211601450066632, 0.4291010076417477, 0.0135718739008245, 0.2683440053903152, 0.0151599546954435, 0.8399332043807165, 0.0311025059598964, 1.0326016816080086, 0.0303744806555979, 0.801780038636338, 0.0153104995933652, 0.2518910595493576, 0.0184775871731324, 0.5015033866937892, 0.0147957993148839, 0.27945544642991, 0.0418882862314927, 0.3934780396562638, 0.0235629242221714, 0.1787470390479344, 0.0245448666841571, 0.2936570583375307, 0.0317353911613609, 0.193193474038038, 0.0193466089696593, -0.0128340501020445, 0.0289508399518266, 0.1542745759365489, 0.0136837602874721]|330185.3125000000000000|      0.03125000|[673, 106, 0, 53]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 27 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 39 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 51 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 63 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 76 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      10|[0.6865200778565274, 0.0240296826339082, 0.6782183913565536, 0.0322110220084117, 0.6027823810785761, 0.0145972067102066, 1.3275506598830524, 0.0231296063239444, 0.00036856320989, 0.0296358296273897, 1.2414983447763355, 0.023434143278319, 0.2228053318172471, 0.0079806784324358, 1.2388424871835357, 0.0189569413974555, 4.590579086315406, 0.0519473516383519, 4.465290890734002, 0.0474903602128701, 0.0687098735304007, 0.0354277358536247, 0.2414678699285611, 0.0170955958125375, 0.716207042388446, 0.0146431969519728, 0.2165494859407496, 0.0231703953668112, -0.0559644999264874, 0.021675405835791, 1.3861124232733055, 0.0265030610922166, 0.2491540379624538, 0.0283304789820857, 0.0545627289945328, 0.0212809845610947, 0.0170322995782913, 0.0180077619746374, 0.434039088778374, 0.020967963102314, 0.2711283685142432, 0.0173193694361572, 0.8414584469159584, 0.0310059693517791, 1.03395144929243, 0.0287453856618982, 0.8016892526136202, 0.0163486595823521, 0.2487622762844066, 0.0168393253176688, 0.5007397350500167, 0.0219379929091151, 0.2790789002404855, 0.0392309025147025, 0.389780999854328, 0.0266523079010963, 0.1736618769873496, 0.0287286168228123, 0.2861423464048217, 0.0230279389053795, 0.1939526078128675, 0.0168689809498735, -0.0221430151656735, 0.0333670882005774, 0.1505640383728401, 0.0140407437217502]|309672.1562500000000000|      0.06250000|[699, 110, 0, 55]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
