k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[-0.0984115491232245, 0.1024084523283826, 0.0239650919124894, 0.0143004101464165, 0.1508160920191666, 0.038251709737218, 0.0972411757854465, -0.0030730731295969, 0.0040406175365704, 0.0882112437898334, -0.0077488619877431, -0.0041565118382307]| 16.1030947689785258|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[-0.0984115491232245, 0.1024084523283826, 0.0239650919124894, 0.0143004101464165, 0.1508160920191666, 0.038251709737218, 0.0972411757854465, -0.0030730731295969, 0.0040406175365704, 0.0882112437898334, -0.0077488619877431, -0.0041565118382307]| 16.1030947689785258|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[-0.0984115491232245, 0.1024084523283826, 0.0239650919124894, 0.0143004101464165, 0.1508160920191666, 0.038251709737218, 0.0972411757854465, -0.0030730731295969, 0.0040406175365704, 0.0882112437898334, -0.0077488619877431, -0.0041565118382307]| 16.1030947689785258|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[-0.0984115491232245, 0.1024084523283826, 0.0239650919124894, 0.0143004101464165, 0.1508160920191666, 0.038251709737218, 0.0972411757854465, -0.0030730731295969, 0.0040406175365704, 0.0882112437898334, -0.0077488619877431, -0.0041565118382307]| 16.1030947689785258|      0.06250000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[-0.0950235470244947, 0.1238156588330866, 0.0325646051247932, 0.0179051899771159, 0.1422500557841155, 0.0294190875990649, 0.0749169385359467, -0.0256679229830941, -0.0139282202490276, 0.074664295711869, -0.0367565954285704, -0.0331637239426647]| 13.7977425095179740|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[-0.0950235470244947, 0.1238156588330866, 0.0325646051247932, 0.0179051899771159, 0.1422500557841155, 0.0294190875990649, 0.0749169385359467, -0.0256679229830941, -0.0139282202490276, 0.074664295711869, -0.0367565954285704, -0.0331637239426647]| 13.7977425095179740|      0.06250000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[-0.0978947502381814, 0.1362053061180669, 0.0796961286689511, 0.0137841721221962, 0.1691269882817613, 0.0258369593815433, 0.0676108331933113, -0.0043081422923553, -0.0017797755782084, 0.080069378762614, -0.0378381356465861, -0.0422933254166021]| 11.8930780156737423|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[-0.0978947502381814, 0.1362053061180669, 0.0796961286689511, 0.0137841721221962, 0.1691269882817613, 0.0258369593815433, 0.0676108331933113, -0.0043081422923553, -0.0017797755782084, 0.080069378762614, -0.0378381356465861, -0.0422933254166021]| 11.8930780156737423|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[-0.1008233446114069, 0.1661311239287452, 0.1029869919623183, 0.0220665501782623, 0.1994523883602289, 0.0297387400552181, 0.0587070227249137, 0.0038614106104997, -0.0004343983620951, 0.0849613867946869, -0.0386971464037182, -0.0781221373476531]| 10.0673501590563212|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[-0.1008233446114069, 0.1661311239287452, 0.1029869919623183, 0.0220665501782623, 0.1994523883602289, 0.0297387400552181, 0.0587070227249137, 0.0038614106104997, -0.0004343983620951, 0.0849613867946869, -0.0386971464037182, -0.0781221373476531]| 10.0673501590563212|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[-0.0836423274235077, 0.1957106521590371, 0.1444617775043638, 0.0259984722212738, 0.2069487198836643, 0.024456032660055, 0.0472651508318918, 0.0191960301781739, -0.0156379998778743, 0.0925457138499588, -0.0503301631802446, -0.0668825313642196]|  8.5592084010524268|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[-0.0836423274235077, 0.1957106521590371, 0.1444617775043638, 0.0259984722212738, 0.2069487198836643, 0.024456032660055, 0.0472651508318918, 0.0191960301781739, -0.0156379998778743, 0.0925457138499588, -0.0503301631802446, -0.0668825313642196]|  8.5592084010524268|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[-0.0952373105967633, 0.2356465976495104, 0.1734147203809492, 0.0148897875107963, 0.2125780338863874, 0.013939411147758, 0.064910050351674, 0.0228634729957896, -0.0018520574021814, 0.0889633577958585, -0.0727669668547118, -0.0604115127615305]|  7.3123305070327405|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[-0.0952373105967633, 0.2356465976495104, 0.1734147203809492, 0.0148897875107963, 0.2125780338863874, 0.013939411147758, 0.064910050351674, 0.0228634729957896, -0.0018520574021814, 0.0889633577958585, -0.0727669668547118, -0.0604115127615305]|  7.3123305070327405|      0.06250000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[-0.0952373105967633, 0.2356465976495104, 0.1734147203809492, 0.0148897875107963, 0.2125780338863874, 0.013939411147758, 0.064910050351674, 0.0228634729957896, -0.0018520574021814, 0.0889633577958585, -0.0727669668547118, -0.0604115127615305]|  7.3123305070327405|      0.03125000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      18|[-0.0966371470155858, 0.2500159258170203, 0.1852552344533246, 0.0280346438286502, 0.2130661161423804, 0.0184857466065464, 0.0633129803962736, 0.0206442632658683, -0.0128209220784394, 0.0870621748772088, -0.0879332605898887, -0.0689444182339728]|  6.6478140868872480|      0.06250000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      19|[-0.0938661005877418, 0.2758725603777387, 0.2243336677267833, 0.0485406939115032, 0.2148088414321137, 0.0088470143110853, 0.0677679279475868, 0.0381833885229868, 0.008521730527979, 0.0812931694839199, -0.0709981211126544, -0.0598128905966478]|  6.2133628270231034|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      20|[-0.0938661005877418, 0.2758725603777387, 0.2243336677267833, 0.0485406939115032, 0.2148088414321137, 0.0088470143110853, 0.0677679279475868, 0.0381833885229868, 0.008521730527979, 0.0812931694839199, -0.0709981211126544, -0.0598128905966478]|  6.2133628270231034|      0.06250000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[-0.0938661005877418, 0.2758725603777387, 0.2243336677267833, 0.0485406939115032, 0.2148088414321137, 0.0088470143110853, 0.0677679279475868, 0.0381833885229868, 0.008521730527979, 0.0812931694839199, -0.0709981211126544, -0.0598128905966478]|  6.2133628270231034|      0.03125000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      22|[-0.0934326359051996, 0.2860518648417605, 0.223021777364439, 0.0492126752425864, 0.2084664077029808, 0.0049671278477083, 0.0592409888454883, 0.0273375585452168, -0.0008124466898569, 0.0662551113765477, -0.0835673235778622, -0.0722107994624532]|  5.4649869277961063|      0.06250000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      23|[-0.0934326359051996, 0.2860518648417605, 0.223021777364439, 0.0492126752425864, 0.2084664077029808, 0.0049671278477083, 0.0592409888454883, 0.0273375585452168, -0.0008124466898569, 0.0662551113765477, -0.0835673235778622, -0.0722107994624532]|  5.4649869277961063|      0.03125000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      24|[-0.0886586080297836, 0.3094532052267021, 0.2362396039957539, 0.0462839784932954, 0.2160558079820942, 0.0062090219418082, 0.063096683923325, 0.0324935934177022, 0.0070898283444121, 0.0650879848713684, -0.0857372972972031, -0.0648792974395397]|  4.9676697065823889|      0.06250000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      25|[-0.0886586080297836, 0.3094532052267021, 0.2362396039957539, 0.0462839784932954, 0.2160558079820942, 0.0062090219418082, 0.063096683923325, 0.0324935934177022, 0.0070898283444121, 0.0650879848713684, -0.0857372972972031, -0.0648792974395397]|  4.9676697065823889|      0.03125000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      26|[-0.0816550287517496, 0.3271268079405373, 0.2501373883073189, 0.0421812637054123, 0.2099507832091378, 0.0086262775462061, 0.0595466927692624, 0.0192340453771236, -0.0020720526809461, 0.0608928812259728, -0.0934798718678188, -0.0683659210123671]|  4.6204939191647467|      0.06250000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      27|[-0.0816550287517496, 0.3271268079405373, 0.2501373883073189, 0.0421812637054123, 0.2099507832091378, 0.0086262775462061, 0.0595466927692624, 0.0192340453771236, -0.0020720526809461, 0.0608928812259728, -0.0934798718678188, -0.0683659210123671]|  4.6204939191647467|      0.03125000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[-0.079724496873227, 0.3466316993771336, 0.2496742614715688, 0.0494907305907659, 0.2036689425533203, 0.0115225049032436, 0.067429533902685, 0.0359459897985535, 0.0014314782138836, 0.0548831112397133, -0.0881897263385435, -0.059816281560883]|  4.2325360367504627|      0.06250000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[-0.079724496873227, 0.3466316993771336, 0.2496742614715688, 0.0494907305907659, 0.2036689425533203, 0.0115225049032436, 0.067429533902685, 0.0359459897985535, 0.0014314782138836, 0.0548831112397133, -0.0881897263385435, -0.059816281560883]|  4.2325360367504627|      0.03125000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[-0.0782368605566665, 0.3690268568134752, 0.2405066276714834, 0.0519835159347799, 0.2054076575296169, 0.0079606874769747, 0.0694630068222148, 0.0293740884118855, -0.0041812285064727, 0.0562941865667148, -0.0920657000108751, -0.0762782230628472]|  4.0385653919280271|      0.06250000|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      31|[-0.0782368605566665, 0.3690268568134752, 0.2405066276714834, 0.0519835159347799, 0.2054076575296169, 0.0079606874769747, 0.0694630068222148, 0.0293740884118855, -0.0041812285064727, 0.0562941865667148, -0.0920657000108751, -0.0762782230628472]|  4.0385653919280271|      0.03125000|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      32|[-0.0639445800093606, 0.378217348496258, 0.2413063820634265, 0.0587521746829961, 0.2092956103628028, 0.0247931787665995, 0.0706096761590646, 0.0193397629327791, 0.0043081553773082, 0.0594727463158092, -0.0955117559219319, -0.0641590617773214]|  3.7908181654813280|      0.06250000|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[-0.0675085970528857, 0.4293513702313205, 0.2666500267791643, 0.0753610849618242, 0.2149632308781023, 0.0172794121730695, 0.0569702213929425, 0.0230122789315015, 0.0083539377329891, 0.0626889152035555, -0.096346065412207, -0.0708817469007555]|  2.9891234659804242|      0.12500000|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      34|[-0.0675085970528857, 0.4293513702313205, 0.2666500267791643, 0.0753610849618242, 0.2149632308781023, 0.0172794121730695, 0.0569702213929425, 0.0230122789315015, 0.0083539377329891, 0.0626889152035555, -0.096346065412207, -0.0708817469007555]|  2.9891234659804242|      0.06250000|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      35|[-0.0675085970528857, 0.4293513702313205, 0.2666500267791643, 0.0753610849618242, 0.2149632308781023, 0.0172794121730695, 0.0569702213929425, 0.0230122789315015, 0.0083539377329891, 0.0626889152035555, -0.096346065412207, -0.0708817469007555]|  2.9891234659804242|      0.03125000|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      36|[-0.0675085970528857, 0.4293513702313205, 0.2666500267791643, 0.0753610849618242, 0.2149632308781023, 0.0172794121730695, 0.0569702213929425, 0.0230122789315015, 0.0083539377329891, 0.0626889152035555, -0.096346065412207, -0.0708817469007555]|  2.9891234659804242|      0.01562500|[576, 36, 36, 72]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      37|[-0.0669987920941183, 0.4395231043712812, 0.2663096876328816, 0.077353435060915, 0.2138685533690674, 0.0146653265441667, 0.0555976373510005, 0.0230990485657129, 0.0082520258354693, 0.0676932126205128, -0.0883405284688808, -0.064777160103165]|  2.8480581503817390|      0.03125000|[592, 37, 37, 74]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      38|[-0.0686890668522947, 0.4537302254938125, 0.2704127733101465, 0.0839514481656704, 0.2177684692149596, 0.0095886585875697, 0.0363393601947053, 0.0165524028843284, 0.0198982785659646, 0.0726681007107775, -0.0917117160460975, -0.073997938917302]|  2.6599614309134711|      0.06250000|[608, 38, 38, 76]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      39|[-0.0686890668522947, 0.4537302254938125, 0.2704127733101465, 0.0839514481656704, 0.2177684692149596, 0.0095886585875697, 0.0363393601947053, 0.0165524028843284, 0.0198982785659646, 0.0726681007107775, -0.0917117160460975, -0.073997938917302]|  2.6599614309134711|      0.03125000|[624, 39, 39, 78]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      40|[-0.0685726772140755, 0.475781317228935, 0.2832117818956518, 0.0752233736443665, 0.2138162503609514, 0.0027506958692759, 0.0332107157625489, 0.0188289520948092, 0.0272439853914, 0.0666091170160993, -0.093002556746891, -0.0829767238534864]|  2.4890160922299307|      0.06250000|[640, 40, 40, 80]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      41|[-0.0685726772140755, 0.475781317228935, 0.2832117818956518, 0.0752233736443665, 0.2138162503609514, 0.0027506958692759, 0.0332107157625489, 0.0188289520948092, 0.0272439853914, 0.0666091170160993, -0.093002556746891, -0.0829767238534864]|  2.4890160922299307|      0.03125000|[656, 41, 41, 82]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      42|[-0.0778399822080575, 0.4932599082486277, 0.2910276126009578, 0.0772721652243426, 0.2181321461499717, 0.0133655880239292, 0.0385535511126442, 0.0286154416176151, 0.036100575113744, 0.0703801820181359, -0.0836771548918968, -0.0737763832961381]|  2.3111965520023281|      0.06250000|[672, 42, 42, 84]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      43|[-0.0778399822080575, 0.4932599082486277, 0.2910276126009578, 0.0772721652243426, 0.2181321461499717, 0.0133655880239292, 0.0385535511126442, 0.0286154416176151, 0.036100575113744, 0.0703801820181359, -0.0836771548918968, -0.0737763832961381]|  2.3111965520023281|      0.03125000|[688, 43, 43, 86]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      44|[-0.0778399822080575, 0.4932599082486277, 0.2910276126009578, 0.0772721652243426, 0.2181321461499717, 0.0133655880239292, 0.0385535511126442, 0.0286154416176151, 0.036100575113744, 0.0703801820181359, -0.0836771548918968, -0.0737763832961381]|  2.3111965520023281|      0.01562500|[704, 44, 44, 88]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      45|[-0.0755214748456009, 0.5006771489907306, 0.295216856285858, 0.0743890344504612, 0.215133874492885, 0.0121184636659454, 0.0337740925111596, 0.0246093412175528, 0.0296915653447887, 0.0633058175386276, -0.0861536201311789, -0.077122357975007]|  2.1416488538935208|      0.03125000|[720, 45, 45, 90]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      46|[-0.065817548006987, 0.5127808858426298, 0.2994244352518719, 0.0718593716855355, 0.19698124386699, 0.0072227218343236, 0.0351782785382254, 0.0281897869274864, 0.0213357432459829, 0.0608898346284885, -0.095370521471188, -0.0635980346873738]|  2.0111569302027341|      0.06250000|[736, 46, 46, 92]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      47|[-0.0967095561101331, 0.5540064315146315, 0.3108437722492521, 0.0799928107433793, 0.1799839239919251, 0.016102417858577, 0.0449607638754322, 0.0219033796058716, 0.0270142204445857, 0.065601359311215, -0.1122282465339061, -0.048961305277839]|  1.6607214681255038|      0.12500000|[752, 47, 47, 94]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      48|[-0.0967095561101331, 0.5540064315146315, 0.3108437722492521, 0.0799928107433793, 0.1799839239919251, 0.016102417858577, 0.0449607638754322, 0.0219033796058716, 0.0270142204445857, 0.065601359311215, -0.1122282465339061, -0.048961305277839]|  1.6607214681255038|      0.06250000|[768, 48, 48, 96]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      49|[-0.0967095561101331, 0.5540064315146315, 0.3108437722492521, 0.0799928107433793, 0.1799839239919251, 0.016102417858577, 0.0449607638754322, 0.0219033796058716, 0.0270142204445857, 0.065601359311215, -0.1122282465339061, -0.048961305277839]|  1.6607214681255038|      0.03125000|[784, 49, 49, 98]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      50|[-0.0906429258260484, 0.5756627579048665, 0.3004893529184044, 0.0703276903581563, 0.174860730141555, 0.0067880152503151, 0.0428625396740272, 0.0160944145005767, 0.0270001784801321, 0.0585435144987761, -0.1167607673789277, -0.0419881764836035]|  1.5389936281132843|      0.06250000|[800, 50, 50, 100]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      51|[-0.0906429258260484, 0.5756627579048665, 0.3004893529184044, 0.0703276903581563, 0.174860730141555, 0.0067880152503151, 0.0428625396740272, 0.0160944145005767, 0.0270001784801321, 0.0585435144987761, -0.1167607673789277, -0.0419881764836035]|  1.5389936281132843|      0.03125000|[816, 51, 51, 102]                                                         |  | used linear model with 17 points | iterate failure | actual_k=1
      52|[-0.0820606423120757, 0.583044725944985, 0.2940338877231469, 0.0733997953184737, 0.1866875216854671, 0.0002181402568982, 0.0495279838043621, 0.0202101847209873, 0.0362974281151476, 0.0694125463125586, -0.1105174364319021, -0.0243999773861103]|  1.4184880232495090|      0.06250000|[832, 52, 52, 104]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      53|[-0.0820606423120757, 0.583044725944985, 0.2940338877231469, 0.0733997953184737, 0.1866875216854671, 0.0002181402568982, 0.0495279838043621, 0.0202101847209873, 0.0362974281151476, 0.0694125463125586, -0.1105174364319021, -0.0243999773861103]|  1.4184880232495090|      0.03125000|[848, 53, 53, 106]                                                         |  | used linear model with 17 points | iterate failure | actual_k=1
      54|[-0.0820606423120757, 0.583044725944985, 0.2940338877231469, 0.0733997953184737, 0.1866875216854671, 0.0002181402568982, 0.0495279838043621, 0.0202101847209873, 0.0362974281151476, 0.0694125463125586, -0.1105174364319021, -0.0243999773861103]|  1.4184880232495090|      0.01562500|[864, 54, 54, 108]                                                         |  | used linear model with 17 points | iterate failure | actual_k=1
      55|[-0.0774391803928529, 0.5879578147412217, 0.2985116163519027, 0.0722412214118794, 0.1864032037073055, -0.0025441874315492, 0.0422877273449514, 0.0139166140465106, 0.0306811384046769, 0.0650803568072494, -0.1155636094893284, -0.0257174944025322]|  1.3149880928907314|      0.03125000|[880, 55, 55, 110]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      56|[-0.0774391803928529, 0.5879578147412217, 0.2985116163519027, 0.0722412214118794, 0.1864032037073055, -0.0025441874315492, 0.0422877273449514, 0.0139166140465106, 0.0306811384046769, 0.0650803568072494, -0.1155636094893284, -0.0257174944025322]|  1.3149880928907314|      0.01562500|[896, 56, 56, 112]                                                         |  | used linear model with 17 points | iterate failure | actual_k=1
      57|[-0.0759321001465099, 0.5949983974112137, 0.2997156026937057, 0.0692521299210814, 0.1844762355346899, -0.0042434217828109, 0.0451815560953421, 0.0129629920165608, 0.0272902906628187, 0.0732744618000385, -0.1144637002247504, -0.0164341744261721]|  1.2316237095415097|      0.03125000|[912, 57, 57, 114]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      58|[-0.0853553922761984, 0.6075168662026416, 0.2969339541526404, 0.0691976776742078, 0.1623724450833128, -0.0084545688647812, 0.04386115412664, 0.0023563903428488, 0.0281808592763906, 0.0779404011735923, -0.1179461787739582, -0.0081840266168036]|  1.1066488838968109|      0.06250000|[928, 58, 58, 116]                                                         |  | used linear model with 17 points | iterate success | actual_k=1
      59|[-0.0853553922761984, 0.6075168662026416, 0.2969339541526404, 0.0691976776742078, 0.1623724450833128, -0.0084545688647812, 0.04386115412664, 0.0023563903428488, 0.0281808592763906, 0.0779404011735923, -0.1179461787739582, -0.0081840266168036]|  1.1066488838968109|      0.03125000|[944, 59, 59, 118]                                                         |  | used linear model with 17 points | iterate failure | actual_k=1
      60|[-0.0853553922761984, 0.6075168662026416, 0.2969339541526404, 0.0691976776742078, 0.1623724450833128, -0.0084545688647812, 0.04386115412664, 0.0023563903428488, 0.0281808592763906, 0.0779404011735923, -0.1179461787739582, -0.0081840266168036]|  1.1066488838968109|      0.01562500|[960, 60, 60, 120]                                                         |  | used linear model with 17 points | iterate failure | actual_k=1
