k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1751161493803102, 10.107726238125226, 1.9786364962771419]                    |  0.9598846435546875|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[1.539705513164304, 9.247506849550431, 0.7963004730724013]                      |  0.0240248478949070|      4.00000000|[11, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[1.539705513164304, 9.247506849550431, 0.7963004730724013]                      |  0.0240248478949070|      2.00000000|[16, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[1.539705513164304, 9.247506849550431, 0.7963004730724013]                      |  0.0240248478949070|      1.00000000|[21, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[1.539705513164304, 9.247506849550431, 0.7963004730724013]                      |  0.0240248478949070|      0.50000000|[25, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[1.539705513164304, 9.247506849550431, 0.7963004730724013]                      |  0.0240248478949070|      0.25000000|[30, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
       7|[1.539705513164304, 9.247506849550431, 0.7963004730724013]                      |  0.0240248478949070|      0.12500000|[34, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[1.539705513164304, 9.247506849550431, 0.7963004730724013]                      |  0.0240248478949070|      0.06250000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[1.539705513164304, 9.247506849550431, 0.7963004730724013]                      |  0.0240248478949070|      0.03125000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[1.5368756017665988, 9.261313004037511, 0.7684088219961381]                     |  0.0205319393426180|      0.06250000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      11|[1.5368756017665988, 9.261313004037511, 0.7684088219961381]                     |  0.0205319393426180|      0.03125000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[1.5076956605201972, 9.253324605081346, 0.7762369131410918]                     |  0.0186008438467979|      0.06250000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[1.4477992310420886, 9.251710793332656, 0.7940150836716542]                     |  0.0149524435400963|      0.12500000|[61, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[1.4477992310420886, 9.251710793332656, 0.7940150836716542]                     |  0.0149524435400963|      0.06250000|[66, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      15|[1.4477992310420886, 9.251710793332656, 0.7940150836716542]                     |  0.0149524435400963|      0.03125000|[71, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
