k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      0.50000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=0
       2|[-2000.0, 50.0, 0.8]                                                            |66022.4466591572272591|      0.25000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       3|[-2000.0713627115663, 50.035882762658574, 1.0368961602514606]                   |4477.7614577509566516|      0.50000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       4|[-2000.0713627115663, 50.035882762658574, 1.0368961602514606]                   |4477.7614577509566516|      0.25000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[-2000.0713627115663, 50.035882762658574, 1.0368961602514606]                   |4477.7614577509566516|      0.12500000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       6|[-2000.0713627115663, 50.035882762658574, 1.0368961602514606]                   |4477.7614577509566516|      0.06250000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[-2000.1029493900417, 50.07490681073127, 0.9996717675108002]                    |  5.8566866199150480|      0.12500000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       8|[-2000.1029493900417, 50.07490681073127, 0.9996717675108002]                    |  5.8566866199150480|      0.06250000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       9|[-2000.1029493900417, 50.07490681073127, 0.9996717675108002]                    |  5.8566866199150480|      0.03125000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[-2000.1029493900417, 50.07490681073127, 0.9996717675108002]                    |  5.8566866199150480|      0.01562500|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[-2000.1029493900417, 50.07490681073127, 0.9996717675108002]                    |  5.8566866199150480|      0.00781250|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[-2000.1029493900417, 50.07490681073127, 0.9996717675108002]                    |  5.8566866199150480|      0.00390625|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      13|[-2000.1029493900417, 50.07490681073127, 0.9996717675108002]                    |  5.8566866199150480|      0.00195312|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      14|[-2000.1029493900417, 50.07490681073127, 0.9996717675108002]                    |  5.8566866199150480|      0.00097656|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[-2000.1032070613217, 50.07506396641476, 0.9987430146270827]                    |  1.2274230320386099|      0.00195312|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
