k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0]                                                                      |  1.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5471095793174408, 0.8370609943242445]                                        |  0.0009062349092436|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[0.5471095793174408, 0.8370609943242445]                                        |  0.0009062349092436|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.5471095793174408, 0.8370609943242445]                                        |  0.0009062349092436|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[0.5471095793174408, 0.8370609943242445]                                        |  0.0009062349092436|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[0.5471095793174408, 0.8370609943242445]                                        |  0.0009062349092436|      0.12500000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[0.5471095793174408, 0.8370609943242445]                                        |  0.0009062349092436|      0.06250000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.5576674966024346, 0.7754592055303854]                                        |  0.0001691799700757|      0.12500000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[0.5576674966024346, 0.7754592055303854]                                        |  0.0001691799700757|      0.06250000|[32, 8, 7, 15]                                                             |  | used linear model with 5 points | actual_k=1
       9|[0.5576674966024346, 0.7754592055303854]                                        |  0.0001691799700757|      0.03125000|[35, 9, 7, 16]                                                             |  | used linear model with 5 points | actual_k=1
      10|[0.5576674966024346, 0.7754592055303854]                                        |  0.0001691799700757|      0.01562500|[38, 10, 7, 17]                                                            |  | used linear model with 5 points | actual_k=1
      11|[0.5576674966024346, 0.7754592055303854]                                        |  0.0001691799700757|      0.00781250|[41, 11, 7, 18]                                                            |  | used linear model with 5 points | actual_k=1
      12|[0.564121889777512, 0.7798610193601055]                                         |  0.0001292567233968|      0.01562500|[44, 12, 8, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
