k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[100.0, 1.0, 0.1]                                                               |19915.8527280256748782|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[99.83242416036227, 1.0188845510052804, -0.8856783003105201]                    |18223.1949092025097343|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[99.83242416036227, 1.0188845510052804, -0.8856783003105201]                    |18223.1949092025097343|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[99.26531923729138, 0.8944645601134192, -0.0714844216211594]                    |17324.3862382152001373|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[99.26531923729138, 0.8944645601134192, -0.0714844216211594]                    |17324.3862382152001373|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[99.26531923729138, 0.8944645601134192, -0.0714844216211594]                    |17324.3862382152001373|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[99.26531923729138, 0.8944645601134192, -0.0714844216211594]                    |17324.3862382152001373|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[99.09799701116484, 1.0298790346383373, 0.0556619221453766]                     |9730.4398196397742140|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[99.09799701116484, 1.0298790346383373, 0.0556619221453766]                     |9730.4398196397742140|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[99.09799701116484, 1.0298790346383373, 0.0556619221453766]                     |9730.4398196397742140|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[99.09799701116484, 1.0298790346383373, 0.0556619221453766]                     |9730.4398196397742140|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[99.10665625322842, 1.089145476722914, 0.0378081726926782]                      |4150.1299299309921480|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[99.10665625322842, 1.089145476722914, 0.0378081726926782]                      |4150.1299299309921480|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[99.1104947083158, 1.1460540735420413, 0.0122557193736665]                      |2488.7318806227717687|      0.12500000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[99.1104947083158, 1.1460540735420413, 0.0122557193736665]                      |2488.7318806227717687|      0.06250000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[99.1104947083158, 1.1460540735420413, 0.0122557193736665]                      |2488.7318806227717687|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
