k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00352224881736, 149.94122939983663, -100.05975584383809, 99.99733268107609, 199.99951782640176]|84511.8156713633070467|      2.00000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=1
       2|[47.01037225410322, 149.82561123743636, -100.1776585679842, 100.00644267940952, 199.99829526209717]|78035.9108576294966042|      4.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[43.021758451041286, 149.60968138893477, -100.38116285027932, 100.04525986350663, 199.96069920038536]|65878.5965926440840121|      8.00000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       4|[35.10100539156462, 148.88616832273425, -100.68695724968055, 99.25571589452042, 200.10667837753238]|44837.5317557755552116|     16.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[19.398424067979434, 147.70314701066076, -100.97482205242619, 101.79777705525163, 201.32506225046228]|15542.2907952240566374|     32.00000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       6|[-12.546388927722006, 147.2477075863248, -99.94067543075299, 103.27563850606448, 201.06436338681226]|6702.1394370351963516|     64.00000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       7|[-12.546388927722006, 147.2477075863248, -99.94067543075299, 103.27563850606448, 201.06436338681226]|6702.1394370351963516|     32.00000000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[-12.546388927722006, 147.2477075863248, -99.94067543075299, 103.27563850606448, 201.06436338681226]|6702.1394370351963516|     16.00000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       9|[2.846478222317124, 144.7702837069369, -100.6720927127283, 100.087049683689, 202.55431033369828]|2284.4419204214987076|     32.00000000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
      10|[2.846478222317124, 144.7702837069369, -100.6720927127283, 100.087049683689, 202.55431033369828]|2284.4419204214987076|     16.00000000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[2.846478222317124, 144.7702837069369, -100.6720927127283, 100.087049683689, 202.55431033369828]|2284.4419204214987076|      8.00000000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      12|[-3.7703221471294652, 141.98485675021985, -103.68201332088383, 100.18082906524145, 200.71286174634056]|1753.9294008792278419|     16.00000000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      13|[2.505175770857816, 131.91586278866285, -109.63566977013356, 99.86085341684371, 191.78621192951647]|687.5381127946008064|     32.00000000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[2.505175770857816, 131.91586278866285, -109.63566977013356, 99.86085341684371, 191.78621192951647]|687.5381127946008064|     16.00000000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[2.505175770857816, 131.91586278866285, -109.63566977013356, 99.86085341684371, 191.78621192951647]|687.5381127946008064|      8.00000000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[0.7492605274464923, 125.8959703834548, -112.23287852888369, 101.283204623301, 195.7748308379402]|185.7054863836298750|     16.00000000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[0.7492605274464923, 125.8959703834548, -112.23287852888369, 101.283204623301, 195.7748308379402]|185.7054863836298750|      8.00000000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
