k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[7, 2, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=1
       2|[19.962738868442198, 2.0449511666900797, 2.0811516710918343, 2.038867079952981, 0.6883592500026636]|4813.7855812941979821|      1.00000000|[14, 4, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=1
       3|[19.962738868442198, 2.0449511666900797, 2.0811516710918343, 2.038867079952981, 0.6883592500026636]|4813.7855812941979821|      0.50000000|[21, 6, 3, 9]                                                              |  | used linear model with 9 points | iterate failure | actual_k=1
       4|[19.673493792029312, 2.050968335493563, 2.304340278416066, 2.375144923845724, 0.6300057006846277]|4117.8074348569653012|      1.00000000|[28, 8, 4, 12]                                                             |  | used linear model with 9 points | iterate success | actual_k=1
       5|[19.673493792029312, 2.050968335493563, 2.304340278416066, 2.375144923845724, 0.6300057006846277]|4117.8074348569653012|      0.50000000|[35, 10, 5, 15]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       6|[19.673493792029312, 2.050968335493563, 2.304340278416066, 2.375144923845724, 0.6300057006846277]|4117.8074348569653012|      0.25000000|[42, 12, 6, 18]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       7|[19.673493792029312, 2.050968335493563, 2.304340278416066, 2.375144923845724, 0.6300057006846277]|4117.8074348569653012|      0.12500000|[49, 14, 7, 21]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
       8|[19.648872838395313, 2.0785051795444907, 2.3148848717794244, 2.365509471535566, 0.5114455873604262]|3971.2290772906171696|      0.25000000|[56, 16, 8, 24]                                                            |  | used linear model with 9 points | iterate success | actual_k=1
       9|[19.648872838395313, 2.0785051795444907, 2.3148848717794244, 2.365509471535566, 0.5114455873604262]|3971.2290772906171696|      0.12500000|[63, 18, 9, 27]                                                            |  | used linear model with 9 points | iterate failure | actual_k=1
      10|[19.648872838395313, 2.0785051795444907, 2.3148848717794244, 2.365509471535566, 0.5114455873604262]|3971.2290772906171696|      0.06250000|[70, 20, 10, 30]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      11|[19.663674069091826, 2.120972700422179, 2.320702974390338, 2.3675894301586156, 0.5544049483252612]|3705.4551181865099352|      0.12500000|[77, 22, 11, 33]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      12|[19.663674069091826, 2.120972700422179, 2.320702974390338, 2.3675894301586156, 0.5544049483252612]|3705.4551181865099352|      0.06250000|[84, 24, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      13|[19.675635275460042, 2.1766700235805376, 2.3457082567152656, 2.363113074313107, 0.5504444143454393]|3558.0242308526835586|      0.12500000|[91, 26, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=1
      14|[19.675635275460042, 2.1766700235805376, 2.3457082567152656, 2.363113074313107, 0.5504444143454393]|3558.0242308526835586|      0.06250000|[98, 28, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=1
      15|[19.675635275460042, 2.1766700235805376, 2.3457082567152656, 2.363113074313107, 0.5504444143454393]|3558.0242308526835586|      0.03125000|[105, 30, 15, 45]                                                          |  | used linear model with 9 points | iterate failure | actual_k=1
      16|[19.68946207116707, 2.200962156232149, 2.3527088525955273, 2.3569440071719847, 0.5608467592561863]|3512.0012759322125930|      0.06250000|[112, 32, 16, 48]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
      17|[19.697364588667156, 2.2359425697729476, 2.3569888449883503, 2.3583852021942344, 0.5098587654958825]|3476.3081828845811287|      0.12500000|[119, 34, 17, 51]                                                          |  | used linear model with 9 points | iterate success | actual_k=1
