k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      0.50000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate failure | actual_k=0
       2|[0.1255860352690545, 0.8276584162978948, -0.1433070774432885, 0.9969569423128118, 0.8772457439619904, 1.225213046104406, 0.656516213814343, 0.9855185379356486]|145.6220377179168963|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       3|[-0.1176309830288686, 0.9800243547903774, -0.040210586784434, 1.7558437410945897, 1.038630612691891, 1.7322793709681426, 0.4879434495456669, 0.8458262599558668]| 59.7646191867493997|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[-0.1176309830288686, 0.9800243547903774, -0.040210586784434, 1.7558437410945897, 1.038630612691891, 1.7322793709681426, 0.4879434495456669, 0.8458262599558668]| 59.7646191867493997|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[-0.1176309830288686, 0.9800243547903774, -0.040210586784434, 1.7558437410945897, 1.038630612691891, 1.7322793709681426, 0.4879434495456669, 0.8458262599558668]| 59.7646191867493997|      0.50000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       6|[-0.1176309830288686, 0.9800243547903774, -0.040210586784434, 1.7558437410945897, 1.038630612691891, 1.7322793709681426, 0.4879434495456669, 0.8458262599558668]| 59.7646191867493997|      0.25000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[-0.1176309830288686, 0.9800243547903774, -0.040210586784434, 1.7558437410945897, 1.038630612691891, 1.7322793709681426, 0.4879434495456669, 0.8458262599558668]| 59.7646191867493997|      0.12500000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[-0.1176309830288686, 0.9800243547903774, -0.040210586784434, 1.7558437410945897, 1.038630612691891, 1.7322793709681426, 0.4879434495456669, 0.8458262599558668]| 59.7646191867493997|      0.06250000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       9|[-0.1333409790314345, 0.9271605511080445, -0.0574436088447773, 1.7584933067309183, 1.0434001600070937, 1.7273169918117315, 0.4655313237305063, 0.8424811341879619]| 56.9919179160840983|      0.12500000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
      10|[-0.1333409790314345, 0.9271605511080445, -0.0574436088447773, 1.7584933067309183, 1.0434001600070937, 1.7273169918117315, 0.4655313237305063, 0.8424811341879619]| 56.9919179160840983|      0.06250000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      11|[-0.1368300375745999, 0.8837066697354217, -0.0859632648923849, 1.736910476458851, 1.0595576973816365, 1.72045486521548, 0.4804867596965413, 0.8564391949466338]| 54.1410067241906461|      0.12500000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      12|[-0.1368300375745999, 0.8837066697354217, -0.0859632648923849, 1.736910476458851, 1.0595576973816365, 1.72045486521548, 0.4804867596965413, 0.8564391949466338]| 54.1410067241906461|      0.06250000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[-0.1527479320342897, 0.8564822661787659, -0.1079077096656996, 1.7346088390574437, 1.0430677516203748, 1.7537346985492395, 0.4970551196050686, 0.8842037429859457]| 52.8523107918540589|      0.12500000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[-0.1527479320342897, 0.8564822661787659, -0.1079077096656996, 1.7346088390574437, 1.0430677516203748, 1.7537346985492395, 0.4970551196050686, 0.8842037429859457]| 52.8523107918540589|      0.06250000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[-0.1527479320342897, 0.8564822661787659, -0.1079077096656996, 1.7346088390574437, 1.0430677516203748, 1.7537346985492395, 0.4970551196050686, 0.8842037429859457]| 52.8523107918540589|      0.03125000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[-0.1527479320342897, 0.8564822661787659, -0.1079077096656996, 1.7346088390574437, 1.0430677516203748, 1.7537346985492395, 0.4970551196050686, 0.8842037429859457]| 52.8523107918540589|      0.01562500|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      17|[-0.1568755674447861, 0.8497214487367398, -0.1125482796426229, 1.7263342604211207, 1.044931692978388, 1.7443823838583592, 0.4974841271457455, 0.8836870785098385]| 52.1811229632629008|      0.03125000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
