k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.50000000|[13, 4, 1, 5]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.25000000|[26, 8, 2, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                    | 30.0000000000000000|      0.12500000|[39, 12, 3, 15]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[-0.0117088822506193, 0.0527965527864077, -0.0005708094537335, 0.0333165324345754, 0.0270742955030138, 0.0540687445540695, 0.0405955231258339, 0.0349022621634087, 0.0033641889606991, 0.06549560634811, -0.0051373126693272, -0.0272050310983675]| 18.4506670653278988|      0.25000000|[52, 16, 4, 20]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       5|[-0.0117088822506193, 0.0527965527864077, -0.0005708094537335, 0.0333165324345754, 0.0270742955030138, 0.0540687445540695, 0.0405955231258339, 0.0349022621634087, 0.0033641889606991, 0.06549560634811, -0.0051373126693272, -0.0272050310983675]| 18.4506670653278988|      0.12500000|[65, 20, 5, 25]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.0267702084628317, 0.1198617523067652, 0.068235796385505, 0.0455425592771239, 0.0552745336806077, 0.0665556832901179, 0.0351210243166481, 0.0033139411016588, 0.0151186800925829, 0.0230153156706136, 0.0072625558340135, -0.000988152603922]| 13.7113502005486723|      0.25000000|[78, 24, 6, 30]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       7|[0.0267702084628317, 0.1198617523067652, 0.068235796385505, 0.0455425592771239, 0.0552745336806077, 0.0665556832901179, 0.0351210243166481, 0.0033139411016588, 0.0151186800925829, 0.0230153156706136, 0.0072625558340135, -0.000988152603922]| 13.7113502005486723|      0.12500000|[91, 28, 7, 35]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[0.0246285752910383, 0.1998197214575626, 0.1195805781858094, 0.0725191171312022, 0.0629913270884993, 0.0539205787277911, 0.0210243283688326, -0.0268257294782048, -0.0143513117471149, 0.065266683250266, -0.03283741578347, -0.0175754288314308]| 10.4139175768155923|      0.25000000|[104, 32, 8, 40]                                                           |  | used linear model with 17 points | iterate success | actual_k=1
       9|[0.0246285752910383, 0.1998197214575626, 0.1195805781858094, 0.0725191171312022, 0.0629913270884993, 0.0539205787277911, 0.0210243283688326, -0.0268257294782048, -0.0143513117471149, 0.065266683250266, -0.03283741578347, -0.0175754288314308]| 10.4139175768155923|      0.12500000|[117, 36, 9, 45]                                                           |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.0246285752910383, 0.1998197214575626, 0.1195805781858094, 0.0725191171312022, 0.0629913270884993, 0.0539205787277911, 0.0210243283688326, -0.0268257294782048, -0.0143513117471149, 0.065266683250266, -0.03283741578347, -0.0175754288314308]| 10.4139175768155923|      0.06250000|[130, 40, 10, 50]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.0186928388229744, 0.2256953134963506, 0.15372892520042, 0.075017206956379, 0.0665268076319527, 0.0772557265829907, 0.030124572162328, -0.0098888275772383, 0.0053938061714275, 0.0710210582629813, -0.0251145056742558, 0.0073202139089907]|  8.7946953818820663|      0.12500000|[143, 44, 11, 55]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
