k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1391670029900507, 1.877834801040295, 1.4582996916443576]                     | 17.3706607818603516|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[-0.2011793491131995, 2.991771525397618, 2.4394299737840877]                    |  6.9977087974548340|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[-0.2011793491131995, 2.991771525397618, 2.4394299737840877]                    |  6.9977087974548340|      2.00000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[-0.2011793491131995, 2.991771525397618, 2.4394299737840877]                    |  6.9977087974548340|      1.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[0.6535095781567798, 2.7956895961797903, 2.920115645128998]                     |  3.7155249118804932|      2.00000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[0.6535095781567798, 2.7956895961797903, 2.920115645128998]                     |  3.7155249118804932|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[0.2315315211878905, 2.275104214578063, 2.1778721676235735]                     |  0.8227291107177734|      2.00000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       8|[0.2315315211878905, 2.275104214578063, 2.1778721676235735]                     |  0.8227291107177734|      1.00000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.2315315211878905, 2.275104214578063, 2.1778721676235735]                     |  0.8227291107177734|      0.50000000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.2315315211878905, 2.275104214578063, 2.1778721676235735]                     |  0.8227291107177734|      0.25000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      11|[0.1692331653377275, 2.1560510494202356, 1.9670517257203521]                    |  0.4368997514247894|      0.50000000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[0.1692331653377275, 2.1560510494202356, 1.9670517257203521]                    |  0.4368997514247894|      0.25000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[0.1692331653377275, 2.1560510494202356, 1.9670517257203521]                    |  0.4368997514247894|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.1692331653377275, 2.1560510494202356, 1.9670517257203521]                    |  0.4368997514247894|      0.06250000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[0.1879404618949293, 2.1067922962785275, 1.933438301401411]                     |  0.3255329728126526|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
