k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.47363227933844, 3.104315453697616, 0.3759722859368451, 40.075920020026345, -0.7408193061220476, -1.2489887883493673, 25.578037057599026, -0.6117333739243637, 0.8946924801405326]|919.0939772551474789|      2.00000000|[13, 4, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=4
       2|[10.47363227933844, 3.104315453697616, 0.3759722859368451, 40.075920020026345, -0.7408193061220476, -1.2489887883493673, 25.578037057599026, -0.6117333739243637, 0.8946924801405326]|919.0939772551474789|      1.00000000|[26, 8, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=4
       3|[10.47363227933844, 3.104315453697616, 0.3759722859368451, 40.075920020026345, -0.7408193061220476, -1.2489887883493673, 25.578037057599026, -0.6117333739243637, 0.8946924801405326]|919.0939772551474789|      0.50000000|[39, 12, 3, 6]                                                             |  | used linear model with 17 points | iterate failure | actual_k=4
       4|[10.666040444203315, 3.174575928438496, 0.5229711062016208, 40.18382113150073, -0.5926201772951234, -1.2882837549660224, 25.914499209255133, -0.8062321451963377, 0.8789561191873975]|866.4189545859229611|      1.00000000|[52, 16, 4, 8]                                                             |  | used linear model with 17 points | iterate success | actual_k=4
       5|[10.666040444203315, 3.174575928438496, 0.5229711062016208, 40.18382113150073, -0.5926201772951234, -1.2882837549660224, 25.914499209255133, -0.8062321451963377, 0.8789561191873975]|866.4189545859229611|      0.50000000|[65, 20, 5, 10]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       6|[10.666040444203315, 3.174575928438496, 0.5229711062016208, 40.18382113150073, -0.5926201772951234, -1.2882837549660224, 25.914499209255133, -0.8062321451963377, 0.8789561191873975]|866.4189545859229611|      0.25000000|[78, 24, 6, 12]                                                            |  | used linear model with 17 points | iterate failure | actual_k=4
       7|[10.625572642650958, 3.0126907045468454, 0.5338464144134041, 40.23347562482059, -0.4888903559309939, -1.3386810019242918, 26.047656370916528, -0.797578350135262, 0.9100401034177162]|858.5788502092743784|      0.50000000|[91, 28, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=4
       8|[10.625572642650958, 3.0126907045468454, 0.5338464144134041, 40.23347562482059, -0.4888903559309939, -1.3386810019242918, 26.047656370916528, -0.797578350135262, 0.9100401034177162]|858.5788502092743784|      0.25000000|[104, 32, 8, 16]                                                           |  | used linear model with 17 points | iterate failure | actual_k=4
       9|[10.567667604917377, 3.146296373286585, 0.5653698811958554, 40.36500599095992, -0.5297345157083512, -1.4723461135824683, 26.038938833169386, -0.7565748472154272, 0.9514004169122797]|857.2311672299642851|      0.50000000|[117, 36, 9, 18]                                                           |  | used linear model with 17 points | iterate success | actual_k=4
      10|[10.567667604917377, 3.146296373286585, 0.5653698811958554, 40.36500599095992, -0.5297345157083512, -1.4723461135824683, 26.038938833169386, -0.7565748472154272, 0.9514004169122797]|857.2311672299642851|      0.25000000|[130, 40, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      11|[10.638165340365891, 3.0948630156323294, 0.403633356419774, 40.389872601504315, -0.5386255138236417, -1.44710366116596, 26.064885517438515, -0.6721971862280471, 1.0913953307508943]|852.5615472802277282|      0.50000000|[143, 44, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      12|[10.638165340365891, 3.0948630156323294, 0.403633356419774, 40.389872601504315, -0.5386255138236417, -1.44710366116596, 26.064885517438515, -0.6721971862280471, 1.0913953307508943]|852.5615472802277282|      0.25000000|[156, 48, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      13|[10.638165340365891, 3.0948630156323294, 0.403633356419774, 40.389872601504315, -0.5386255138236417, -1.44710366116596, 26.064885517438515, -0.6721971862280471, 1.0913953307508943]|852.5615472802277282|      0.12500000|[169, 52, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      14|[10.66186794144425, 3.1142341260494537, 0.43400412501132, 40.44439926452335, -0.5462982252725648, -1.393685457828155, 26.143712833611907, -0.7058351306899909, 1.1145205158734657]|848.8052637369935383|      0.25000000|[182, 56, 14, 28]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      15|[10.66186794144425, 3.1142341260494537, 0.43400412501132, 40.44439926452335, -0.5462982252725648, -1.393685457828155, 26.143712833611907, -0.7058351306899909, 1.1145205158734657]|848.8052637369935383|      0.12500000|[195, 60, 15, 30]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      16|[10.617471899261334, 3.10906962720567, 0.4822092397211462, 40.46126365681594, -0.5907280854270462, -1.4220134248128187, 26.215421033391532, -0.699152654564502, 1.1698013533215927]|846.1516849918531307|      0.25000000|[208, 64, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      17|[10.617471899261334, 3.10906962720567, 0.4822092397211462, 40.46126365681594, -0.5907280854270462, -1.4220134248128187, 26.215421033391532, -0.699152654564502, 1.1698013533215927]|846.1516849918531307|      0.12500000|[221, 68, 17, 34]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      18|[10.622193776120161, 3.0944233081857275, 0.4632637940264263, 40.505304987441484, -0.6236213234444747, -1.3715525613239647, 26.230270606564016, -0.606831463619814, 1.196590241504818]|843.4938250441483660|      0.25000000|[234, 72, 18, 36]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      19|[10.622193776120161, 3.0944233081857275, 0.4632637940264263, 40.505304987441484, -0.6236213234444747, -1.3715525613239647, 26.230270606564016, -0.606831463619814, 1.196590241504818]|843.4938250441483660|      0.12500000|[247, 76, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      20|[10.622193776120161, 3.0944233081857275, 0.4632637940264263, 40.505304987441484, -0.6236213234444747, -1.3715525613239647, 26.230270606564016, -0.606831463619814, 1.196590241504818]|843.4938250441483660|      0.06250000|[260, 80, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      21|[10.62515738628485, 3.082759906033995, 0.4779176108124841, 40.53566606932918, -0.6253046920108313, -1.3575549858561904, 26.25742450924165, -0.5972286603014149, 1.236547572676252]|842.1063033852233275|      0.12500000|[273, 84, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      22|[10.600812831026166, 3.0550844910934316, 0.5434432901579185, 40.60148390282252, -0.6797676916300996, -1.3427018264916968, 26.27708171529384, -0.5963595677110475, 1.282009825538846]|840.4068266642259459|      0.25000000|[286, 88, 22, 44]                                                          |  | used linear model with 17 points | iterate success | actual_k=4
      23|[10.600812831026166, 3.0550844910934316, 0.5434432901579185, 40.60148390282252, -0.6797676916300996, -1.3427018264916968, 26.27708171529384, -0.5963595677110475, 1.282009825538846]|840.4068266642259459|      0.12500000|[299, 92, 23, 46]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      24|[10.600812831026166, 3.0550844910934316, 0.5434432901579185, 40.60148390282252, -0.6797676916300996, -1.3427018264916968, 26.27708171529384, -0.5963595677110475, 1.282009825538846]|840.4068266642259459|      0.06250000|[312, 96, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=4
      25|[10.59012888163747, 3.022866143095987, 0.537976223642817, 40.633264009446776, -0.7078400084653689, -1.3237946918597119, 26.284041966175806, -0.5779666522299827, 1.26852138086496]|839.7593864932132419|      0.12500000|[325, 100, 25, 50]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      26|[10.609351564857826, 3.0671818852783135, 0.5563436092463045, 40.660138519284594, -0.7539227411895539, -1.2806894698114661, 26.358119801271684, -0.5866320621000883, 1.3203645087397595]|838.8057957849063087|      0.25000000|[338, 104, 26, 52]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      27|[10.609351564857826, 3.0671818852783135, 0.5563436092463045, 40.660138519284594, -0.7539227411895539, -1.2806894698114661, 26.358119801271684, -0.5866320621000883, 1.3203645087397595]|838.8057957849063087|      0.12500000|[351, 108, 27, 54]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      28|[10.602418626020954, 3.1125457920075, 0.5577943576938867, 40.72473293790783, -0.7791804267943889, -1.2931405677269479, 26.351861905219163, -0.4960068972133364, 1.3376689718013126]|836.3001953346901018|      0.25000000|[364, 112, 28, 56]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      29|[10.602418626020954, 3.1125457920075, 0.5577943576938867, 40.72473293790783, -0.7791804267943889, -1.2931405677269479, 26.351861905219163, -0.4960068972133364, 1.3376689718013126]|836.3001953346901018|      0.12500000|[377, 116, 29, 58]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      30|[10.602418626020954, 3.1125457920075, 0.5577943576938867, 40.72473293790783, -0.7791804267943889, -1.2931405677269479, 26.351861905219163, -0.4960068972133364, 1.3376689718013126]|836.3001953346901018|      0.06250000|[390, 120, 30, 60]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      31|[10.628852432028294, 3.087666731442645, 0.5435544637989417, 40.742364419880225, -0.7813473826086637, -1.3018161659097522, 26.382156122575818, -0.4643344555489745, 1.3462740658234182]|835.1721460553038696|      0.12500000|[403, 124, 31, 62]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      32|[10.617228401456867, 3.12538547745782, 0.4790152458359483, 40.82551452196239, -0.8034419228038263, -1.3024087298996387, 26.40402793165227, -0.4255665339685957, 1.3690354446549202]|833.7762555547529928|      0.25000000|[416, 128, 32, 64]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      33|[10.58458014247636, 3.0605242850627246, 0.4833701420210069, 40.9676343265904, -0.8976679029860843, -1.247914161036829, 26.494553276878907, -0.3111836102251356, 1.4313542072307892]|829.7814896182924258|      0.50000000|[429, 132, 33, 66]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      34|[10.58458014247636, 3.0605242850627246, 0.4833701420210069, 40.9676343265904, -0.8976679029860843, -1.247914161036829, 26.494553276878907, -0.3111836102251356, 1.4313542072307892]|829.7814896182924258|      0.25000000|[442, 136, 34, 68]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      35|[10.58458014247636, 3.0605242850627246, 0.4833701420210069, 40.9676343265904, -0.8976679029860843, -1.247914161036829, 26.494553276878907, -0.3111836102251356, 1.4313542072307892]|829.7814896182924258|      0.12500000|[455, 140, 35, 70]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      36|[10.58458014247636, 3.0605242850627246, 0.4833701420210069, 40.9676343265904, -0.8976679029860843, -1.247914161036829, 26.494553276878907, -0.3111836102251356, 1.4313542072307892]|829.7814896182924258|      0.06250000|[468, 144, 36, 72]                                                         |  | used linear model with 17 points | iterate failure | actual_k=4
      37|[10.626934797963596, 3.0674352502516338, 0.5186379732382215, 40.97846090730304, -0.9142856232158835, -1.2499947439391157, 26.496523688418385, -0.300674024050218, 1.448924795609381]|829.3303397694934347|      0.12500000|[481, 148, 37, 74]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
      38|[10.647080383622717, 3.05242502946487, 0.5350449251235848, 41.033145313476425, -0.9344889523928995, -1.1783537808153297, 26.503060778202283, -0.2352229430739231, 1.405714881807887]|828.2787176254580572|      0.25000000|[494, 152, 38, 76]                                                         |  | used linear model with 17 points | iterate success | actual_k=4
