k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 2.0, 2.0]                                                                 | 29.5000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0, 2.0, 2.0]                                                                 | 29.5000000000000000|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[1.8566393004789288, 1.6517468672648, 1.671111773739241]                        | 16.2227356985222819|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[2.4006618074756374, 0.8490121755800175, 1.4268649177784054]                    | 10.6959082095340197|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[2.4006618074756374, 0.8490121755800175, 1.4268649177784054]                    | 10.6959082095340197|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[1.515366882408373, 0.4548064782125782, 1.1801773343592201]                     |  5.1819953936670702|      2.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[1.515366882408373, 0.4548064782125782, 1.1801773343592201]                     |  5.1819953936670702|      1.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[0.8136752632025024, -0.131873805438911, 0.7759062417606378]                    |  2.3612185113642070|      2.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[0.8136752632025024, -0.131873805438911, 0.7759062417606378]                    |  2.3612185113642070|      1.00000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[0.1493449115554411, 0.4733436984552106, 0.337298265475823]                     |  1.3669274693843390|      2.00000000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[0.1493449115554411, 0.4733436984552106, 0.337298265475823]                     |  1.3669274693843390|      1.00000000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[0.1493449115554411, 0.4733436984552106, 0.337298265475823]                     |  1.3669274693843390|      0.50000000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      12|[0.2213194668196742, -0.0159638371444317, 0.2638285506273179]                   |  1.1261416086206633|      1.00000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[0.2213194668196742, -0.0159638371444317, 0.2638285506273179]                   |  1.1261416086206633|      0.50000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[0.2213194668196742, -0.0159638371444317, 0.2638285506273179]                   |  1.1261416086206633|      0.25000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[0.1529453795255593, -0.1238765746737188, 0.0489336338292885]                   |  1.0420684165950143|      0.50000000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
