k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|328350.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|328350.0000000000000000|      0.50000000|[99, 14, 1, 8]                                                             |  | used linear model with 113 points | iterate failure | actual_k=2
       2|[0.9243372594081031, 0.9884540010444336, 1.0117535621948137, 1.0291590913527395, 0.989753032590007, 0.9133604146678764, 0.9727688594111583, 1.025430077343128, 1.06471302454578, 1.057957682739731, 0.934078396106755, 1.0093408941927675, 0.9913066632679595, 0.9869277977870428, 1.0389275411139565, 0.9833607117769162, 0.9722849862492118, 1.0482022060553058, 0.9914596292292056, 0.9631963879256407, 0.9934879808504737, 1.0261947309735393, 1.0483821697507374, 1.1013746946397553, 0.9439988734068485, 0.9687689266498392, 1.0118651461687034, 1.06513940064842, 1.0144293995536957, 0.9940764528915715, 0.9806587174883069, 1.0661334926769643, 1.0272641909095999, 1.076347280715292, 1.0157822191553643, 0.9598698595720462, 0.9889008506865612, 0.9813580893489982, 1.0166169411379642, 0.9582082642030292, 1.0807922884849364, 1.0282255345197184, 1.1077868255855652, 1.0364456115997513, 1.0765413624160882, 1.0596834095652898, 1.0503839870446088, 0.9533896011167872, 1.0807507731971806, 0.9747538517713447, 1.026212459443125, 0.9826795037051964, 1.0152066133830422, 0.983135912935173, 1.0127244193182274, 0.9110702408818296, 1.0062770998027855, 1.0185021190371781, 0.993134257979171, 1.0695727615990538, 1.0028065768664423, 0.9640416475011723, 1.0615984501370566, 0.9474607162714151, 0.942788085563645, 1.000400698171394, 1.0137419760594655, 1.0575573316353248, 1.0174945807761755, 1.0059149411458965, 0.9754228023437993, 1.0090150453601454, 1.0554773314322168, 0.9912976071751902, 0.9549060565898251, 1.0007840209599046, 0.9572655958713927, 1.054386955397231, 1.130618663811951, 1.0768706566348656, 1.0192603533992577, 1.032585166849989, 1.0172454830653384, 1.0499853276176483, 1.0252165273791543, 1.024065137346539, 0.9973242358473672, 1.007245269175151, 1.109987070126973, 1.0488892662457048, 1.1523422139176294, 0.9611067270571647, 0.9841956040697059, 1.0372326340986535, 1.0760574024639673, 1.0942840218396095, 1.0782693298282238, 1.0168285126525196, 1.0686762990733814, 1.0266343643963383]|327848.1484804011415690|      1.00000000|[198, 28, 2, 16]                                                           |  | used linear model with 113 points | iterate success | actual_k=2
       3|[0.9313001546840892, 0.9398601354221864, 1.2256241296607049, 1.0171877013190247, 1.0670432159333134, 1.0292204426675755, 0.8222494882032687, 1.122676108480292, 1.143383249133059, 1.0243896680225295, 0.989618953870613, 0.9960821519928307, 0.9885419368845442, 1.0617950135391572, 1.0546594412715506, 0.8558298893696502, 1.0341728881728711, 1.2517102529333504, 0.9273350722606187, 0.9684842847130224, 0.9645494970500978, 1.0137107363237619, 1.0486047950677169, 1.2660413432409623, 0.8940550785062316, 0.9732660031757389, 1.0355292469694144, 1.1614274157206184, 1.092648798019073, 1.0341052088036145, 1.078427809927596, 0.9286307847880698, 1.1768909638634268, 1.0583555217896266, 0.9990896848546924, 0.8952280644700951, 1.2797213277179302, 1.1473140689008476, 1.1033559413916239, 0.8480375872527025, 1.2403003750768937, 1.0031573463421575, 1.2561481363544484, 1.0943878096910478, 1.1564924702812986, 1.1893528103826314, 1.166911752969454, 1.0046158895124553, 1.189814414999429, 1.014420629843587, 1.0241544185127676, 1.053563673548747, 1.1041282725217878, 0.9692355104917799, 0.9989052010453471, 0.9056296095989024, 1.0640720846961955, 1.0326724842034691, 0.9487800185856268, 1.196465056573807, 0.8881647894886456, 0.8418662236430994, 1.0985793159913175, 0.9150566098052509, 0.9232333131991234, 1.051770385669029, 1.1367582264569114, 1.0782769763614544, 0.9999044838864847, 1.0177643438439963, 1.1676546635962586, 0.9785443778207797, 1.1574225891951213, 0.9555305811137349, 0.8757576485177562, 1.1011022445959844, 1.0989600915207403, 1.1149009996027865, 1.1713048422406227, 1.1318620744234074, 1.1658986150484936, 1.009356342121099, 1.0225080004506237, 1.1283343831724448, 1.1848434044288683, 1.3002136325836642, 1.1278595112253302, 1.0415949317071425, 1.1370720958249263, 1.2014705891889637, 1.2729311777024914, 1.0780146652288791, 1.1227813227721262, 1.0775338128568832, 1.3051037293239223, 1.1606138503841728, 1.1322334310489577, 1.0915619269515118, 1.131073648395545, 1.1212365607071606]|326511.1750147015554830|      2.00000000|[297, 42, 3, 24]                                                           |  | used linear model with 113 points | iterate success | actual_k=2
       4|[0.9313001546840892, 0.9398601354221864, 1.2256241296607049, 1.0171877013190247, 1.0670432159333134, 1.0292204426675755, 0.8222494882032687, 1.122676108480292, 1.143383249133059, 1.0243896680225295, 0.989618953870613, 0.9960821519928307, 0.9885419368845442, 1.0617950135391572, 1.0546594412715506, 0.8558298893696502, 1.0341728881728711, 1.2517102529333504, 0.9273350722606187, 0.9684842847130224, 0.9645494970500978, 1.0137107363237619, 1.0486047950677169, 1.2660413432409623, 0.8940550785062316, 0.9732660031757389, 1.0355292469694144, 1.1614274157206184, 1.092648798019073, 1.0341052088036145, 1.078427809927596, 0.9286307847880698, 1.1768909638634268, 1.0583555217896266, 0.9990896848546924, 0.8952280644700951, 1.2797213277179302, 1.1473140689008476, 1.1033559413916239, 0.8480375872527025, 1.2403003750768937, 1.0031573463421575, 1.2561481363544484, 1.0943878096910478, 1.1564924702812986, 1.1893528103826314, 1.166911752969454, 1.0046158895124553, 1.189814414999429, 1.014420629843587, 1.0241544185127676, 1.053563673548747, 1.1041282725217878, 0.9692355104917799, 0.9989052010453471, 0.9056296095989024, 1.0640720846961955, 1.0326724842034691, 0.9487800185856268, 1.196465056573807, 0.8881647894886456, 0.8418662236430994, 1.0985793159913175, 0.9150566098052509, 0.9232333131991234, 1.051770385669029, 1.1367582264569114, 1.0782769763614544, 0.9999044838864847, 1.0177643438439963, 1.1676546635962586, 0.9785443778207797, 1.1574225891951213, 0.9555305811137349, 0.8757576485177562, 1.1011022445959844, 1.0989600915207403, 1.1149009996027865, 1.1713048422406227, 1.1318620744234074, 1.1658986150484936, 1.009356342121099, 1.0225080004506237, 1.1283343831724448, 1.1848434044288683, 1.3002136325836642, 1.1278595112253302, 1.0415949317071425, 1.1370720958249263, 1.2014705891889637, 1.2729311777024914, 1.0780146652288791, 1.1227813227721262, 1.0775338128568832, 1.3051037293239223, 1.1606138503841728, 1.1322334310489577, 1.0915619269515118, 1.131073648395545, 1.1212365607071606]|326511.1750147015554830|      1.00000000|[396, 56, 4, 32]                                                           |  | used linear model with 113 points | iterate failure | actual_k=2
       5|[0.9123207643927119, 0.8576489097155641, 1.1356927264099208, 0.8855031384920277, 1.104703166604368, 1.092659570582991, 0.7667004750021496, 1.0694935744386929, 1.340419016419767, 1.1869056599395427, 1.0382669052875673, 0.92552572912427, 1.0124879756935397, 1.0029052180448175, 1.030078031096432, 0.8844290305543534, 1.0665572416573734, 1.3255935824337606, 0.9743967890314983, 0.8824099447783055, 1.0207196853730043, 1.0124954168218798, 1.2332698985309125, 1.2479395016364503, 0.9467059466275481, 1.0559634812292076, 1.026288226353297, 1.1077588764802901, 1.279002822897845, 0.9860059818028006, 1.1960862731001969, 0.8934485244988563, 1.0868114117980494, 1.0912151673931916, 0.8771153950420989, 0.8255667870466948, 1.4335874158737352, 1.2427761800791708, 1.2234199584780219, 0.8318944291665258, 1.2295940475812512, 1.1262267361973615, 1.282782058402805, 1.026414943052977, 1.1316624871533272, 1.2916404454174175, 1.1818691837424253, 0.9681068151114046, 1.264098694755333, 1.0829911067070206, 1.081350361274258, 1.2266160204627539, 1.1661899717739659, 0.9870127260405669, 1.178148785050544, 0.9803978118130234, 1.2629128414381985, 1.1671594700319963, 0.898836063398385, 1.1494369439121708, 0.9808558559520136, 0.8977484592341975, 1.12046692073923, 0.8895042431548964, 1.0881136965028522, 1.0826520078536506, 1.112491252425393, 1.037763127909849, 1.2653721895888737, 1.0809669012469458, 1.1143175818762003, 1.0310577497255329, 1.3618741928132096, 1.1289530995559354, 0.9286989070311058, 1.030608353988796, 1.1171744562820372, 1.2346338037439568, 1.231317674909633, 1.3171549966438403, 1.3694215915919918, 1.1079593103182481, 1.1544862668947153, 1.2663723738001582, 1.2952814879455203, 1.4321614065848887, 1.146748963206136, 1.133143706630939, 1.249072547124505, 1.236464897481757, 1.4003759445192436, 1.1253197076163088, 1.2768219807905465, 1.1077497653284825, 1.4561877631689875, 1.1162344936556357, 1.214321499083728, 1.2085023083879851, 1.2578364559571977, 1.173200562773324]|324920.8412217425648123|      2.00000000|[495, 70, 5, 40]                                                           |  | used linear model with 113 points | iterate success | actual_k=2
       6|[0.9123207643927119, 0.8576489097155641, 1.1356927264099208, 0.8855031384920277, 1.104703166604368, 1.092659570582991, 0.7667004750021496, 1.0694935744386929, 1.340419016419767, 1.1869056599395427, 1.0382669052875673, 0.92552572912427, 1.0124879756935397, 1.0029052180448175, 1.030078031096432, 0.8844290305543534, 1.0665572416573734, 1.3255935824337606, 0.9743967890314983, 0.8824099447783055, 1.0207196853730043, 1.0124954168218798, 1.2332698985309125, 1.2479395016364503, 0.9467059466275481, 1.0559634812292076, 1.026288226353297, 1.1077588764802901, 1.279002822897845, 0.9860059818028006, 1.1960862731001969, 0.8934485244988563, 1.0868114117980494, 1.0912151673931916, 0.8771153950420989, 0.8255667870466948, 1.4335874158737352, 1.2427761800791708, 1.2234199584780219, 0.8318944291665258, 1.2295940475812512, 1.1262267361973615, 1.282782058402805, 1.026414943052977, 1.1316624871533272, 1.2916404454174175, 1.1818691837424253, 0.9681068151114046, 1.264098694755333, 1.0829911067070206, 1.081350361274258, 1.2266160204627539, 1.1661899717739659, 0.9870127260405669, 1.178148785050544, 0.9803978118130234, 1.2629128414381985, 1.1671594700319963, 0.898836063398385, 1.1494369439121708, 0.9808558559520136, 0.8977484592341975, 1.12046692073923, 0.8895042431548964, 1.0881136965028522, 1.0826520078536506, 1.112491252425393, 1.037763127909849, 1.2653721895888737, 1.0809669012469458, 1.1143175818762003, 1.0310577497255329, 1.3618741928132096, 1.1289530995559354, 0.9286989070311058, 1.030608353988796, 1.1171744562820372, 1.2346338037439568, 1.231317674909633, 1.3171549966438403, 1.3694215915919918, 1.1079593103182481, 1.1544862668947153, 1.2663723738001582, 1.2952814879455203, 1.4321614065848887, 1.146748963206136, 1.133143706630939, 1.249072547124505, 1.236464897481757, 1.4003759445192436, 1.1253197076163088, 1.2768219807905465, 1.1077497653284825, 1.4561877631689875, 1.1162344936556357, 1.214321499083728, 1.2085023083879851, 1.2578364559571977, 1.173200562773324]|324920.8412217425648123|      1.00000000|[594, 84, 6, 48]                                                           |  | used linear model with 113 points | iterate failure | actual_k=2
       7|[1.0310668379959058, 0.9170612916439427, 1.0644786005959979, 0.8650427165803793, 1.1220329051213576, 1.0406163482034032, 0.7970060651683594, 1.0085246118620228, 1.2954322055861287, 1.1353895842408384, 1.2703469668739984, 0.9958580645982879, 1.0588225620977878, 0.8862295862284331, 1.1100467629385873, 0.9016264328943905, 1.0372416924274392, 1.3372733832771522, 0.9915065879356914, 0.9752479580996292, 1.021784220094955, 0.9552784023243058, 1.1582140386798991, 1.3846875758659187, 0.949250069000267, 1.0470975312129287, 1.1402805008260652, 1.3573590473262207, 1.316193939955817, 1.0553283122369805, 1.1373968948233202, 1.0134049351899783, 1.1512368149890446, 1.1357341015140716, 0.8448215585005141, 0.7325427950524321, 1.524227691188217, 1.113214752892889, 1.2645902335670993, 0.6792982897354516, 1.2949708232204937, 1.1806297571842395, 1.1282197238996774, 1.0341455812131335, 1.1715059256785878, 1.435418057684633, 1.1288206315666724, 1.1059218234363666, 1.3032060110275583, 1.0797334211295737, 1.2906728205814375, 1.2621347166507042, 1.192913322334235, 0.9141439950132774, 1.1417338218104613, 0.9290250139133975, 1.378433238244573, 1.0006121779919706, 0.7335610112781208, 1.2560876279815005, 0.9973042647356255, 1.0153796055953943, 1.2529192570740877, 0.8744769558667367, 1.0694035638770307, 1.152166571411751, 1.1041073949325246, 1.1263561136654163, 1.485916377898843, 1.1571982129252687, 1.219358179811973, 1.102755136874127, 1.3737557172829866, 1.2050928247459234, 0.8031950124342572, 1.1295108575072088, 0.9100521265744349, 1.3639270788713496, 1.2007023036086037, 1.3191790486084887, 1.2722174593102296, 1.1921115055063825, 1.2049795405499524, 1.4057060571091267, 1.4421580664564067, 1.4987105963490468, 1.203936038893351, 1.1563476978678073, 1.2421211261708418, 1.3715679692954286, 1.643338744621819, 1.1139212992269976, 1.4109146420281273, 1.277894054030482, 1.4685809895613333, 1.0946544994907903, 1.3143215763096345, 1.3148183909575897, 1.4392582699740182, 1.2905668917167583]|323715.6375639499747194|      2.00000000|[693, 98, 7, 56]                                                           |  | used linear model with 113 points | iterate success | actual_k=2
       8|[1.116249997586942, 0.9911340730057424, 1.4111258954480803, 0.8670550903042471, 1.118899346568802, 1.0574956380550435, 1.0767221587470996, 1.1724876774682313, 1.5736065220806004, 1.5341271155027847, 1.3902204108611589, 0.8156555906048044, 0.8508511993437307, 0.6314340175980597, 1.1867370965064652, 0.9620694373059734, 1.1357711525901906, 1.3214333008012886, 1.1639870560217949, 0.8857242655633628, 1.0083418586078297, 0.8262665028121043, 1.0102136032472295, 1.6271907123366591, 0.691854773243932, 1.1512315065969, 1.3299651220168842, 1.4626539360608495, 1.3510110052998683, 1.3193029227011783, 1.0116266380926637, 1.0110025033758758, 1.181130631280093, 1.1242542843215564, 1.040059557993078, 0.8843035779103205, 1.9922295405807287, 0.8825926382026777, 1.79646522766133, 0.7889160119728388, 1.7079054798828253, 1.26633808937507, 1.32598080311735, 1.2275996203810533, 1.1706553342932753, 1.417170162626766, 1.6321835985068376, 1.2084804696427491, 1.4586176121965846, 0.9442685824293535, 1.487225366185636, 1.0929456683084224, 1.0904125389129302, 0.8653619323643227, 0.9029900017754214, 1.1431024980361602, 1.20290139293539, 0.8886565746753969, 0.773507969888385, 1.431068316744897, 1.304468100604286, 1.2153376761229457, 1.304667910372651, 0.8691854024124279, 1.1058360412155421, 1.04714066438495, 1.104715303770283, 1.4555268367731546, 1.5363247297824967, 1.3260381826973113, 1.1937903037505546, 1.4336590126752853, 1.4413115362435835, 1.0197727120098512, 0.6487293442076953, 1.0561120688950527, 1.067235739688953, 1.4821367817505957, 0.8388048286058605, 1.0965318342933612, 1.1956346838501308, 1.2065988317122258, 1.48975522379754, 1.7410541308768654, 1.6451651142559078, 1.5468939315819994, 1.152833725888999, 1.509966683144851, 1.3856097099492926, 1.1843798914912955, 1.6761200374966445, 1.3981600782102237, 1.854970812938343, 1.3543365009354502, 1.5999858409639167, 1.2462841171988357, 1.2701581816864793, 1.633175794334179, 1.553592535642701, 1.3273156690118404]|321449.6300996583886445|      4.00000000|[792, 112, 8, 64]                                                          |  | used linear model with 113 points | iterate success | actual_k=2
       9|[1.116249997586942, 0.9911340730057424, 1.4111258954480803, 0.8670550903042471, 1.118899346568802, 1.0574956380550435, 1.0767221587470996, 1.1724876774682313, 1.5736065220806004, 1.5341271155027847, 1.3902204108611589, 0.8156555906048044, 0.8508511993437307, 0.6314340175980597, 1.1867370965064652, 0.9620694373059734, 1.1357711525901906, 1.3214333008012886, 1.1639870560217949, 0.8857242655633628, 1.0083418586078297, 0.8262665028121043, 1.0102136032472295, 1.6271907123366591, 0.691854773243932, 1.1512315065969, 1.3299651220168842, 1.4626539360608495, 1.3510110052998683, 1.3193029227011783, 1.0116266380926637, 1.0110025033758758, 1.181130631280093, 1.1242542843215564, 1.040059557993078, 0.8843035779103205, 1.9922295405807287, 0.8825926382026777, 1.79646522766133, 0.7889160119728388, 1.7079054798828253, 1.26633808937507, 1.32598080311735, 1.2275996203810533, 1.1706553342932753, 1.417170162626766, 1.6321835985068376, 1.2084804696427491, 1.4586176121965846, 0.9442685824293535, 1.487225366185636, 1.0929456683084224, 1.0904125389129302, 0.8653619323643227, 0.9029900017754214, 1.1431024980361602, 1.20290139293539, 0.8886565746753969, 0.773507969888385, 1.431068316744897, 1.304468100604286, 1.2153376761229457, 1.304667910372651, 0.8691854024124279, 1.1058360412155421, 1.04714066438495, 1.104715303770283, 1.4555268367731546, 1.5363247297824967, 1.3260381826973113, 1.1937903037505546, 1.4336590126752853, 1.4413115362435835, 1.0197727120098512, 0.6487293442076953, 1.0561120688950527, 1.067235739688953, 1.4821367817505957, 0.8388048286058605, 1.0965318342933612, 1.1956346838501308, 1.2065988317122258, 1.48975522379754, 1.7410541308768654, 1.6451651142559078, 1.5468939315819994, 1.152833725888999, 1.509966683144851, 1.3856097099492926, 1.1843798914912955, 1.6761200374966445, 1.3981600782102237, 1.854970812938343, 1.3543365009354502, 1.5999858409639167, 1.2462841171988357, 1.2701581816864793, 1.633175794334179, 1.553592535642701, 1.3273156690118404]|321449.6300996583886445|      2.00000000|[891, 126, 9, 72]                                                          |  | used linear model with 113 points | iterate failure | actual_k=2
      10|[1.1494467957444212, 0.8807926151476215, 1.6861733261327736, 1.138132977417362, 1.1311576485686918, 0.924751684730705, 1.0941028278087752, 1.3795935224571958, 1.766644760806758, 1.5429878143278672, 1.07219453420857, 1.1044152872829502, 0.7344246955446354, 0.6259657085621165, 1.3404952748729022, 0.8008623261523955, 1.244631563541994, 1.2699506055806837, 0.995712315162039, 0.9567537198706596, 1.2295034284516269, 1.1118017707619379, 0.980967263039982, 1.8775732837096772, 0.6048853940642782, 1.0131955780218715, 1.4936068171569428, 1.4342033032703974, 1.201549325091787, 1.211522874648395, 1.0129307654351043, 1.2899227578292831, 1.0197533586520144, 1.3936813151914176, 1.234401070913225, 1.0490910738334847, 1.9812138023677979, 1.2315940981697562, 2.0977868158442856, 0.3781662618109651, 1.7203209574932845, 1.0073734991101042, 1.5225454804132317, 1.0857713282742494, 1.088999722780905, 1.4515073852227947, 1.6715669137556697, 1.207790131781607, 1.7873720804611128, 0.7588975712045347, 1.8315131273813012, 0.8428356729731168, 1.1872256205398581, 0.90876330955949, 0.8561194520944871, 1.19207411003023, 1.222827835327257, 0.894406496910671, 0.4052294364598295, 1.7125659980483645, 1.141863079753621, 1.2521887221671317, 1.7318012386457657, 0.7253522070348167, 1.2574569787665855, 1.51865176219681, 0.918797127813693, 1.3749903228239837, 1.6097865611200006, 1.6352411928901263, 1.2079554134405779, 1.2215571155877174, 1.5931769432284884, 1.1084715469768478, 0.9654077840696567, 1.0318200162535913, 1.1121477759321192, 1.3774031247517762, 1.054641348387268, 1.2907029343955736, 1.360436110878142, 1.3827651331917896, 1.6901835664313256, 2.0490849302826017, 1.6749395678588395, 1.7227063463459005, 1.4296864190543102, 1.5771754088033132, 1.3664254587659623, 1.4260355379016256, 1.7983338916954643, 1.0705367131408137, 1.830677058160533, 1.4689597803849779, 2.0062935540332654, 1.4320433179227852, 1.7581283549644202, 1.508965066724006, 1.5296673500015394, 1.3652883685245585]|319088.3218589019379579|      4.00000000|[990, 140, 10, 80]                                                         |  | used linear model with 113 points | iterate success | actual_k=2
      11|[0.7351087065702245, 1.5040339848006128, 1.351383854260161, 1.1243412909166814, 0.8250222178397009, 1.4998882129805784, 0.5285226761178387, 0.4388177875715363, 1.77881829971055, 1.3691669065865826, 0.7040237617061516, 0.7773425259811058, 0.6028002427893691, -0.1078957910547036, 1.2062444292888814, 1.0253731554681376, 1.200100138035226, 1.5153482751336507, 0.4267349698554016, 0.9824998189374731, 0.9003612097165968, 1.3677352036575199, 0.668457377132772, 2.350434652647748, 0.5576088397732207, 1.1360910349865831, 1.6689821603643997, 1.858868181095768, 1.4496394942075146, 1.6188508359314397, 0.8453440041880633, 1.302079847237237, 0.9626913212535844, 1.5188992611743348, 1.214933526116437, 0.5489869902049127, 1.5219848693699944, 1.659224709198766, 2.4028451448246733, 0.0416160685291393, 2.2018906647511876, 1.1264716755826165, 1.3629974305122479, 0.6583562489205649, 1.23489959691437, 1.7012958650110273, 1.965545095534467, 1.6441979453145619, 1.8028088069220543, 1.4347799906060597, 1.7406429723909815, 1.301409239365365, 1.6656144666476327, 1.565772614475752, 1.1354289621077711, 1.2775324595455957, 1.3615112968301262, 1.2143856903060297, 0.9519689315693074, 2.5181289165186853, 0.5414900479451236, 1.4966948095109542, 2.3638239346683743, 0.3645337126552805, 2.1219278164169895, 1.320141513534178, 0.9003179187888611, 1.687754998545156, 1.6756506020757762, 2.2882891900754183, 1.9132967222538235, 0.8754353699854519, 2.3740486878221025, 1.3975794293812775, 1.2690454264053947, 0.833543616746044, 1.3124677415566528, 1.781445998440164, 1.466761388973634, 1.5737531613929057, 1.3586374203971816, 1.4491285495893442, 2.2277081946865556, 2.198469212569144, 1.7617748481817976, 1.9214392834234593, 1.0156817092494694, 1.7112187379374455, 1.6328704488813957, 1.8195164970660138, 1.3226874978436083, 0.5609572742789745, 2.366478226453199, 2.1221855927871403, 1.7553721026878286, 2.113611809448948, 2.368335352071556, 1.9033677856727682, 1.5390643260815027, 1.6218399999844924]|312575.8325392639380880|      8.00000000|[1089, 154, 11, 88]                                                        |  | used linear model with 113 points | iterate success | actual_k=2
      12|[0.7351087065702245, 1.5040339848006128, 1.351383854260161, 1.1243412909166814, 0.8250222178397009, 1.4998882129805784, 0.5285226761178387, 0.4388177875715363, 1.77881829971055, 1.3691669065865826, 0.7040237617061516, 0.7773425259811058, 0.6028002427893691, -0.1078957910547036, 1.2062444292888814, 1.0253731554681376, 1.200100138035226, 1.5153482751336507, 0.4267349698554016, 0.9824998189374731, 0.9003612097165968, 1.3677352036575199, 0.668457377132772, 2.350434652647748, 0.5576088397732207, 1.1360910349865831, 1.6689821603643997, 1.858868181095768, 1.4496394942075146, 1.6188508359314397, 0.8453440041880633, 1.302079847237237, 0.9626913212535844, 1.5188992611743348, 1.214933526116437, 0.5489869902049127, 1.5219848693699944, 1.659224709198766, 2.4028451448246733, 0.0416160685291393, 2.2018906647511876, 1.1264716755826165, 1.3629974305122479, 0.6583562489205649, 1.23489959691437, 1.7012958650110273, 1.965545095534467, 1.6441979453145619, 1.8028088069220543, 1.4347799906060597, 1.7406429723909815, 1.301409239365365, 1.6656144666476327, 1.565772614475752, 1.1354289621077711, 1.2775324595455957, 1.3615112968301262, 1.2143856903060297, 0.9519689315693074, 2.5181289165186853, 0.5414900479451236, 1.4966948095109542, 2.3638239346683743, 0.3645337126552805, 2.1219278164169895, 1.320141513534178, 0.9003179187888611, 1.687754998545156, 1.6756506020757762, 2.2882891900754183, 1.9132967222538235, 0.8754353699854519, 2.3740486878221025, 1.3975794293812775, 1.2690454264053947, 0.833543616746044, 1.3124677415566528, 1.781445998440164, 1.466761388973634, 1.5737531613929057, 1.3586374203971816, 1.4491285495893442, 2.2277081946865556, 2.198469212569144, 1.7617748481817976, 1.9214392834234593, 1.0156817092494694, 1.7112187379374455, 1.6328704488813957, 1.8195164970660138, 1.3226874978436083, 0.5609572742789745, 2.366478226453199, 2.1221855927871403, 1.7553721026878286, 2.113611809448948, 2.368335352071556, 1.9033677856727682, 1.5390643260815027, 1.6218399999844924]|312575.8325392639380880|      4.00000000|[1188, 168, 12, 96]                                                        |  | used linear model with 113 points | iterate failure | actual_k=2
