k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-12.0, 10.0]                                                                   |100.9885487881180239|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.50000000|[5, 0, 0, 1]                                                               |  | used linear model with 5 points | actual_k=0
       2|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.25000000|[9, 0, 0, 2]                                                               |  | used linear model with 5 points | actual_k=0
       3|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.12500000|[13, 0, 0, 3]                                                              |  | used linear model with 5 points | actual_k=0
       4|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.06250000|[17, 0, 0, 4]                                                              |  | used linear model with 5 points | actual_k=0
       5|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.03125000|[21, 0, 0, 5]                                                              |  | used linear model with 5 points | actual_k=0
       6|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.01562500|[25, 0, 0, 6]                                                              |  | used linear model with 5 points | actual_k=0
       7|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00781250|[29, 0, 0, 7]                                                              |  | used linear model with 5 points | actual_k=0
       8|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00390625|[33, 0, 0, 8]                                                              |  | used linear model with 5 points | actual_k=0
       9|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00195312|[37, 0, 0, 9]                                                              |  | used linear model with 5 points | actual_k=0
      10|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00097656|[41, 0, 0, 10]                                                             |  | used linear model with 5 points | actual_k=0
      11|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00048828|[45, 0, 0, 11]                                                             |  | used linear model with 5 points | actual_k=0
      12|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00024414|[49, 0, 0, 12]                                                             |  | used linear model with 5 points | actual_k=0
      13|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00012207|[53, 0, 0, 13]                                                             |  | used linear model with 5 points | actual_k=0
      14|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00006104|[57, 0, 0, 14]                                                             |  | used linear model with 5 points | actual_k=0
      15|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00003052|[61, 0, 0, 15]                                                             |  | used linear model with 5 points | actual_k=0
      16|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00001526|[65, 0, 0, 16]                                                             |  | used linear model with 5 points | actual_k=0
      17|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00000763|[69, 0, 0, 17]                                                             |  | used linear model with 5 points | actual_k=0
      18|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00000381|[73, 0, 0, 18]                                                             |  | used linear model with 5 points | actual_k=0
      19|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00000191|[77, 0, 0, 19]                                                             |  | used linear model with 5 points | actual_k=0
      20|[-12.0, 10.0]                                                                   |100.9885487881180239|      0.00000095|[81, 0, 0, 20]                                                             |  | used linear model with 5 points | actual_k=0
