k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[50.0, 150.0, -100.0, 100.0, 200.0]                                             |87848.8533336333348416|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[49.00346889207903, 149.94115313463, -100.05884553501973, 100.00001975157298, 199.99999978775497]|84511.8033662569068838|      2.00000000|[17, 0, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       2|[47.01052554347637, 149.82245763987737, -100.17753920470781, 100.00005926959962, 199.99999940571908]|78035.8142571993666934|      4.00000000|[34, 0, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       3|[43.02515081666372, 149.5808062100814, -100.41918536541401, 100.00013912278058, 199.99999943524773]|65876.1989371610980015|      8.00000000|[51, 0, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       4|[35.05678950287856, 149.07819907933685, -100.92178263816574, 100.00030196829144, 199.9999986423382]|44725.6538576153980102|     16.00000000|[68, 0, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=0
       5|[19.133643553793547, 147.97061518440137, -102.0293388881735, 100.00069250072902, 199.99997939643137]|15090.1978551111769775|     32.00000000|[85, 0, 5, 10]                                                             |  | used linear model with 17 points | iterate success | actual_k=0
       6|[-12.564414745691305, 144.86929135259962, -105.1301269532629, 100.00266579169532, 200.00009889522502]|6260.2662411780083858|     64.00000000|[102, 0, 6, 12]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
       7|[-12.564414745691305, 144.86929135259962, -105.1301269532629, 100.00266579169532, 200.00009889522502]|6260.2662411780083858|     32.00000000|[119, 0, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       8|[-12.564414745691305, 144.86929135259962, -105.1301269532629, 100.00266579169532, 200.00009889522502]|6260.2662411780083858|     16.00000000|[136, 0, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=0
       9|[3.365212896005527, 143.8093411150909, -106.19006493703455, 100.00226409286668, 200.00008943661015]|1852.8255501712887963|     32.00000000|[153, 0, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=0
      10|[3.365212896005527, 143.8093411150909, -106.19006493703455, 100.00226409286668, 200.00008943661015]|1852.8255501712887963|     16.00000000|[170, 0, 10, 20]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      11|[3.365212896005527, 143.8093411150909, -106.19006493703455, 100.00226409286668, 200.00008943661015]|1852.8255501712887963|      8.00000000|[187, 0, 11, 22]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      12|[-3.9465501674013126, 141.51389089149785, -108.48550153301285, 100.00236121544586, 200.00009354188214]|1466.9427043667360522|     16.00000000|[204, 0, 12, 24]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      13|[-3.9465501674013126, 141.51389089149785, -108.48550153301285, 100.00236121544586, 200.00009354188214]|1466.9427043667360522|      8.00000000|[221, 0, 13, 26]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      14|[-3.9465501674013126, 141.51389089149785, -108.48550153301285, 100.00236121544586, 200.00009354188214]|1466.9427043667360522|      4.00000000|[238, 0, 14, 28]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      15|[-0.1575841368356863, 140.60732529039265, -109.39207487250913, 100.00226008834687, 200.0000941887776]|933.5138826012730533|      8.00000000|[255, 0, 15, 30]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      16|[-1.1248683441310754, 134.99199256104728, -115.0074465948158, 100.00211604445376, 200.00006910056194]|423.5365866340356433|     16.00000000|[272, 0, 16, 32]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      17|[-1.1248683441310754, 134.99199256104728, -115.0074465948158, 100.00211604445376, 200.00006910056194]|423.5365866340356433|      8.00000000|[289, 0, 17, 34]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      18|[-1.1248683441310754, 134.99199256104728, -115.0074465948158, 100.00211604445376, 200.00006910056194]|423.5365866340356433|      4.00000000|[306, 0, 18, 36]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      19|[-1.1248683441310754, 134.99199256104728, -115.0074465948158, 100.00211604445376, 200.00006910056194]|423.5365866340356433|      2.00000000|[323, 0, 19, 38]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      20|[0.5355883998076478, 134.20367875715968, -115.79576426252783, 100.00206236264059, 200.00006914736278]|328.9445576064063630|      4.00000000|[340, 0, 20, 40]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      21|[-1.51386317427088, 131.77471684720496, -118.224733649849, 100.00203151892924, 200.00007031522028]|272.6167163119168322|      8.00000000|[357, 0, 21, 42]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      22|[-1.51386317427088, 131.77471684720496, -118.224733649849, 100.00203151892924, 200.00007031522028]|272.6167163119168322|      4.00000000|[374, 0, 22, 44]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      23|[-1.51386317427088, 131.77471684720496, -118.224733649849, 100.00203151892924, 200.00007031522028]|272.6167163119168322|      2.00000000|[391, 0, 23, 46]                                                           |  | used linear model with 17 points | iterate failure | actual_k=0
      24|[0.4137455608295195, 131.39767457698807, -118.60177965290852, 100.00198241526063, 200.0000702953064]|155.4259656831133327|      4.00000000|[408, 0, 24, 48]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
      25|[-0.8137521370653154, 128.70571637530534, -121.29373255723304, 100.00192851860248, 200.0000632314901]|100.3597121530556535|      8.00000000|[425, 0, 25, 50]                                                           |  | used linear model with 17 points | iterate success | actual_k=0
