k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[9.694940585025018, -1.1942861765817974, 0.3739029677760213, 0.8119350692068089, -0.0544306534489953, -0.2840558064536454, -0.1541024714337944]|97081.0234375000000000|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[9.575792309611206, -1.4061734880112537, -0.65662553540291, 0.606371854490864, 0.1062016975152245, 1.0473715841297264, -1.1730041232337167]|59038.3125000000000000|      4.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[9.575792309611206, -1.4061734880112537, -0.65662553540291, 0.606371854490864, 0.1062016975152245, 1.0473715841297264, -1.1730041232337167]|59038.3125000000000000|      2.00000000|[21, 0, 0, 7]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[9.520314143487086, -1.1629896998854625, -0.7330710165351719, -0.7556906635100974, -0.5878112097423832, 1.0656524016602529, -2.4358332882508584]|53439.6953125000000000|      4.00000000|[27, 0, 0, 9]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[10.002498756801167, -2.6023169673028335, 0.3344878871188377, -4.150075159372681, -0.9912647677894573, 0.161763706268481, -2.202343780411903]|43704.6015625000000000|      8.00000000|[33, 0, 0, 11]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[10.002498756801167, -2.6023169673028335, 0.3344878871188377, -4.150075159372681, -0.9912647677894573, 0.161763706268481, -2.202343780411903]|43704.6015625000000000|      4.00000000|[41, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[10.002498756801167, -2.6023169673028335, 0.3344878871188377, -4.150075159372681, -0.9912647677894573, 0.161763706268481, -2.202343780411903]|43704.6015625000000000|      2.00000000|[49, 0, 0, 17]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[9.866835881508567, -2.2999477769869134, 0.6619546265363354, -4.3882841200221, -1.2909643255054482, -0.0058809686934396, -0.3028001718789515]|7722.3393554687500000|      4.00000000|[55, 0, 0, 19]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[9.866835881508567, -2.2999477769869134, 0.6619546265363354, -4.3882841200221, -1.2909643255054482, -0.0058809686934396, -0.3028001718789515]|7722.3393554687500000|      2.00000000|[63, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[9.866835881508567, -2.2999477769869134, 0.6619546265363354, -4.3882841200221, -1.2909643255054482, -0.0058809686934396, -0.3028001718789515]|7722.3393554687500000|      1.00000000|[71, 0, 0, 25]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
