k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.5646164307189353, -0.0594540059306736, 0.0386275893003782, 0.6278879636359469, -0.0153509528161912, 0.0963607797714703, 0.2289094485312639, -0.1114670199122151, -0.1424044383654957, -0.077666885009112, -0.0394842492868574, -0.0647227331189745, 0.1065271078469519, 0.2351392818333306, -0.0595938134479406, 0.0789389550904117, -0.1864927625725845, 0.0764368219173067, -0.07961659890136, -0.0959358280177396, 0.0520055056182281, -0.2006064461458321]| 13.3903303146362305|      2.00000000|[27, 4, 0, 2]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       2|[1.9528540901922593, -0.7702888774821527, -0.0205371503451306, 1.4018313932057864, 0.4050879316972044, -0.0692768880714904, 0.2688948680168118, -0.0026586023561074, 0.2690866416831631, -0.0593292313106172, -0.1985062260702213, -0.1743650295372551, 0.3583859554749847, 0.3941558724211535, -0.1043848922321039, -0.100483389731626, -0.0773480505703047, 0.1300805585088426, 0.0806482271234247, 0.3536827960453344, 0.0602451166091462, -0.6186854860024807]| 12.1684608459472656|      4.00000000|[55, 8, 0, 4]                                                              |  | trying linear partial model with 15 points | iterate success | actual_k=2
       3|[1.9528540901922593, -0.7702888774821527, -0.0205371503451306, 1.4018313932057864, 0.4050879316972044, -0.0692768880714904, 0.2688948680168118, -0.0026586023561074, 0.2690866416831631, -0.0593292313106172, -0.1985062260702213, -0.1743650295372551, 0.3583859554749847, 0.3941558724211535, -0.1043848922321039, -0.100483389731626, -0.0773480505703047, 0.1300805585088426, 0.0806482271234247, 0.3536827960453344, 0.0602451166091462, -0.6186854860024807]| 12.1684608459472656|      2.00000000|[82, 12, 0, 6]                                                             |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       4|[1.9528540901922593, -0.7702888774821527, -0.0205371503451306, 1.4018313932057864, 0.4050879316972044, -0.0692768880714904, 0.2688948680168118, -0.0026586023561074, 0.2690866416831631, -0.0593292313106172, -0.1985062260702213, -0.1743650295372551, 0.3583859554749847, 0.3941558724211535, -0.1043848922321039, -0.100483389731626, -0.0773480505703047, 0.1300805585088426, 0.0806482271234247, 0.3536827960453344, 0.0602451166091462, -0.6186854860024807]| 12.1684608459472656|      1.00000000|[109, 16, 0, 8]                                                            |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       5|[1.9528540901922593, -0.7702888774821527, -0.0205371503451306, 1.4018313932057864, 0.4050879316972044, -0.0692768880714904, 0.2688948680168118, -0.0026586023561074, 0.2690866416831631, -0.0593292313106172, -0.1985062260702213, -0.1743650295372551, 0.3583859554749847, 0.3941558724211535, -0.1043848922321039, -0.100483389731626, -0.0773480505703047, 0.1300805585088426, 0.0806482271234247, 0.3536827960453344, 0.0602451166091462, -0.6186854860024807]| 12.1684608459472656|      0.50000000|[136, 20, 0, 10]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       6|[1.9528540901922593, -0.7702888774821527, -0.0205371503451306, 1.4018313932057864, 0.4050879316972044, -0.0692768880714904, 0.2688948680168118, -0.0026586023561074, 0.2690866416831631, -0.0593292313106172, -0.1985062260702213, -0.1743650295372551, 0.3583859554749847, 0.3941558724211535, -0.1043848922321039, -0.100483389731626, -0.0773480505703047, 0.1300805585088426, 0.0806482271234247, 0.3536827960453344, 0.0602451166091462, -0.6186854860024807]| 12.1684608459472656|      0.25000000|[162, 24, 0, 12]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       7|[2.0725099454317046, -0.7527208905691981, 0.0601321866052674, 1.4991399261620788, 0.3856969112507356, -0.069377409922702, 0.214302658220859, 1.16661781864e-05, 0.2979476033582114, -0.035776217032206, -0.2523248092980205, -0.0960836845542802, 0.3961289444076309, 0.4400289536468379, -0.0721167427008867, -0.1089379213298293, -0.1069352330741779, 0.0656418127377393, 0.0383786796494311, 0.3973787326319582, 0.0555930251626222, -0.6874950021686004]| 12.1472158432006836|      0.50000000|[189, 28, 0, 14]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
       8|[2.0725099454317046, -0.7527208905691981, 0.0601321866052674, 1.4991399261620788, 0.3856969112507356, -0.069377409922702, 0.214302658220859, 1.16661781864e-05, 0.2979476033582114, -0.035776217032206, -0.2523248092980205, -0.0960836845542802, 0.3961289444076309, 0.4400289536468379, -0.0721167427008867, -0.1089379213298293, -0.1069352330741779, 0.0656418127377393, 0.0383786796494311, 0.3973787326319582, 0.0555930251626222, -0.6874950021686004]| 12.1472158432006836|      0.25000000|[215, 32, 0, 16]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
       9|[2.0725099454317046, -0.7527208905691981, 0.0601321866052674, 1.4991399261620788, 0.3856969112507356, -0.069377409922702, 0.214302658220859, 1.16661781864e-05, 0.2979476033582114, -0.035776217032206, -0.2523248092980205, -0.0960836845542802, 0.3961289444076309, 0.4400289536468379, -0.0721167427008867, -0.1089379213298293, -0.1069352330741779, 0.0656418127377393, 0.0383786796494311, 0.3973787326319582, 0.0555930251626222, -0.6874950021686004]| 12.1472158432006836|      0.12500000|[242, 36, 0, 18]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      10|[2.0725099454317046, -0.7527208905691981, 0.0601321866052674, 1.4991399261620788, 0.3856969112507356, -0.069377409922702, 0.214302658220859, 1.16661781864e-05, 0.2979476033582114, -0.035776217032206, -0.2523248092980205, -0.0960836845542802, 0.3961289444076309, 0.4400289536468379, -0.0721167427008867, -0.1089379213298293, -0.1069352330741779, 0.0656418127377393, 0.0383786796494311, 0.3973787326319582, 0.0555930251626222, -0.6874950021686004]| 12.1472158432006836|      0.06250000|[269, 40, 0, 20]                                                           |  | trying linear partial model with 15 points | exploitation failed, decreasing delta | actual_k=2
      11|[2.101338919118085, -0.7372516437169407, 0.056796233820842, 1.5394820764906647, 0.404063343521865, -0.0824787970703309, 0.2187704856149269, 0.0023303898713053, 0.2991737787951281, -0.0277636165666717, -0.2504992123120513, -0.0876912001010905, 0.3901671738769118, 0.4306503611680935, -0.0688191156476347, -0.0969831045575936, -0.1052534658629056, 0.0740194811503528, 0.034516376880592, 0.39061153423179, 0.0613082747386872, -0.678564145853285]| 12.1455640792846680|      0.12500000|[296, 44, 0, 22]                                                           |  | trying linear partial model with 15 points | iterate success | actual_k=2
