k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[31, 2, 0, 2]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[19.97880668169786, 2.020272550055353, 1.9993252032371995, 2.003858893821614, 0.6991237527521605]|5006.6845703125000000|      1.00000000|[61, 4, 0, 4]                                                              |  | trying linear partial model with 16 points | iterate success | actual_k=1
       3|[19.97880668169786, 2.020272550055353, 1.9993252032371995, 2.003858893821614, 0.6991237527521605]|5006.6845703125000000|      0.50000000|[91, 6, 0, 6]                                                              |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[19.97880668169786, 2.020272550055353, 1.9993252032371995, 2.003858893821614, 0.6991237527521605]|5006.6845703125000000|      0.25000000|[121, 8, 0, 8]                                                             |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[19.97880668169786, 2.020272550055353, 1.9993252032371995, 2.003858893821614, 0.6991237527521605]|5006.6845703125000000|      0.12500000|[151, 10, 1, 11]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[19.980441749422177, 2.0235619875868416, 2.0026020946217185, 2.0075396176606195, 0.574274962573247]|4081.8427734375000000|      0.25000000|[182, 12, 1, 13]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       7|[20.01493164096179, 2.2097190648678646, 2.0943499611326564, 2.106530829291721, 0.4824106116515188]|3752.3034667968750000|      0.50000000|[212, 14, 1, 15]                                                           |  | trying linear partial model with 16 points | iterate success | actual_k=1
       8|[20.01493164096179, 2.2097190648678646, 2.0943499611326564, 2.106530829291721, 0.4824106116515188]|3752.3034667968750000|      0.25000000|[242, 16, 1, 17]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[20.01493164096179, 2.2097190648678646, 2.0943499611326564, 2.106530829291721, 0.4824106116515188]|3752.3034667968750000|      0.12500000|[272, 18, 1, 19]                                                           |  | trying linear partial model with 16 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[20.01493164096179, 2.2097190648678646, 2.0943499611326564, 2.106530829291721, 0.4824106116515188]|3752.3034667968750000|      0.06250000|[302, 20, 2, 22]                                                           |  | trying linear partial model with 16 points FAILED TO GET X_HAT, using additional batch call | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
