k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]                                        |181.6199359999999956|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.3488985397929548, 0.9138711926815517, -0.1167463907224124, 0.7342750532757023, 1.021145231014535, 1.7391035404720347, 0.5496755654201673, 0.8073892274318388]|134.2685615200046243|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[0.3488985397929548, 0.9138711926815517, -0.1167463907224124, 0.7342750532757023, 1.021145231014535, 1.7391035404720347, 0.5496755654201673, 0.8073892274318388]|134.2685615200046243|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.3488985397929548, 0.9138711926815517, -0.1167463907224124, 0.7342750532757023, 1.021145231014535, 1.7391035404720347, 0.5496755654201673, 0.8073892274318388]|134.2685615200046243|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[0.3308695000818099, 0.7853179518788957, -0.0755264272165696, 0.9057869798473173, 1.0080360041791279, 1.6186084686976243, 0.5999386556662071, 1.237291889981484]| 71.5313607311858419|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[0.3308695000818099, 0.7853179518788957, -0.0755264272165696, 0.9057869798473173, 1.0080360041791279, 1.6186084686976243, 0.5999386556662071, 1.237291889981484]| 71.5313607311858419|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[0.3308695000818099, 0.7853179518788957, -0.0755264272165696, 0.9057869798473173, 1.0080360041791279, 1.6186084686976243, 0.5999386556662071, 1.237291889981484]| 71.5313607311858419|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[0.3644022124913493, 0.8968458408867751, -0.0488827144857959, 0.9194910994681194, 0.9926888816491498, 1.8339588391651105, 0.6361720569663378, 1.2265577738541995]| 49.6803792091694945|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[0.3644022124913493, 0.8968458408867751, -0.0488827144857959, 0.9194910994681194, 0.9926888816491498, 1.8339588391651105, 0.6361720569663378, 1.2265577738541995]| 49.6803792091694945|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[0.3644022124913493, 0.8968458408867751, -0.0488827144857959, 0.9194910994681194, 0.9926888816491498, 1.8339588391651105, 0.6361720569663378, 1.2265577738541995]| 49.6803792091694945|      0.12500000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[0.3644022124913493, 0.8968458408867751, -0.0488827144857959, 0.9194910994681194, 0.9926888816491498, 1.8339588391651105, 0.6361720569663378, 1.2265577738541995]| 49.6803792091694945|      0.06250000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[0.3351241255594217, 0.8537614952334666, -0.0645977879043284, 0.935335005833565, 0.9897185109219342, 1.8481223481982378, 0.621989263423185, 1.2434163076187228]| 48.0084725300149628|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[0.2499943266691408, 0.8087308304997733, -0.0857711042964587, 0.8868619485160572, 1.0178710019908475, 1.8792713140603625, 0.610264097978618, 1.202772616479422]| 45.0799697468158556|      0.25000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      13|[0.2499943266691408, 0.8087308304997733, -0.0857711042964587, 0.8868619485160572, 1.0178710019908475, 1.8792713140603625, 0.610264097978618, 1.202772616479422]| 45.0799697468158556|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      14|[0.2499943266691408, 0.8087308304997733, -0.0857711042964587, 0.8868619485160572, 1.0178710019908475, 1.8792713140603625, 0.610264097978618, 1.202772616479422]| 45.0799697468158556|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[0.2213722239694189, 0.7977593145566508, -0.0909544937639741, 0.8957312174025078, 1.0177717048630777, 1.874852949133301, 0.6077695538864587, 1.256020762543189]| 43.9974292316539461|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[0.1704567023584383, 0.7626339608030847, -0.1654924717508895, 0.8882532429333185, 1.0770493076646024, 1.8898446253788321, 0.5750599440915952, 1.218892797412435]| 42.1151759060095401|      0.25000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      17|[0.0719258993330757, 0.716690502140127, -0.2518101308864804, 0.929391017950104, 1.1481527319999385, 1.9801558116756524, 0.7429490502260133, 1.2070917225411]| 37.3170634145945712|      0.50000000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[0.0719258993330757, 0.716690502140127, -0.2518101308864804, 0.929391017950104, 1.1481527319999385, 1.9801558116756524, 0.7429490502260133, 1.2070917225411]| 37.3170634145945712|      0.25000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[0.0719258993330757, 0.716690502140127, -0.2518101308864804, 0.929391017950104, 1.1481527319999385, 1.9801558116756524, 0.7429490502260133, 1.2070917225411]| 37.3170634145945712|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[0.0719258993330757, 0.716690502140127, -0.2518101308864804, 0.929391017950104, 1.1481527319999385, 1.9801558116756524, 0.7429490502260133, 1.2070917225411]| 37.3170634145945712|      0.06250000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      21|[0.0402086253493279, 0.6782616738851011, -0.2692849071929831, 0.9106993909211961, 1.1495629645702248, 1.9541784050112774, 0.7376824012365878, 1.2151037733115995]| 36.8705855232159649|      0.12500000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[0.0402086253493279, 0.6782616738851011, -0.2692849071929831, 0.9106993909211961, 1.1495629645702248, 1.9541784050112774, 0.7376824012365878, 1.2151037733115995]| 36.8705855232159649|      0.06250000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[0.0301840840908903, 0.6798566312936666, -0.2819211797341427, 0.9105743668907342, 1.148149652902567, 2.010633007773334, 0.7502791672106093, 1.232300445454322]| 34.8788355929715621|      0.12500000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[0.0301840840908903, 0.6798566312936666, -0.2819211797341427, 0.9105743668907342, 1.148149652902567, 2.010633007773334, 0.7502791672106093, 1.232300445454322]| 34.8788355929715621|      0.06250000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[0.0049883762210503, 0.6459840265774951, -0.2933709794290033, 0.8695129729510795, 1.1612728707396807, 2.0186016785322143, 0.745572445373734, 1.2252957913696256]| 33.8135537758075770|      0.12500000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[0.0049883762210503, 0.6459840265774951, -0.2933709794290033, 0.8695129729510795, 1.1612728707396807, 2.0186016785322143, 0.745572445373734, 1.2252957913696256]| 33.8135537758075770|      0.06250000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[-0.0189392799546079, 0.6404186871646181, -0.2926110302980702, 0.8923525807320694, 1.17637652942456, 2.057530328730765, 0.7233741987331626, 1.2486238130393215]| 32.4595263593091659|      0.12500000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      28|[-0.0189392799546079, 0.6404186871646181, -0.2926110302980702, 0.8923525807320694, 1.17637652942456, 2.057530328730765, 0.7233741987331626, 1.2486238130393215]| 32.4595263593091659|      0.06250000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      29|[-0.034392565822204, 0.61788987130759, -0.3243448092677096, 0.8923379887237258, 1.2030768624816606, 2.0735470923865, 0.7563220097057245, 1.2387312542143056]| 31.2141274480989814|      0.12500000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      30|[-0.034392565822204, 0.61788987130759, -0.3243448092677096, 0.8923379887237258, 1.2030768624816606, 2.0735470923865, 0.7563220097057245, 1.2387312542143056]| 31.2141274480989814|      0.06250000|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      31|[-0.034392565822204, 0.61788987130759, -0.3243448092677096, 0.8923379887237258, 1.2030768624816606, 2.0735470923865, 0.7563220097057245, 1.2387312542143056]| 31.2141274480989814|      0.03125000|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      32|[-0.0516847169833243, 0.6129480601553322, -0.3304237683247828, 0.8769439557879302, 1.208540579238136, 2.0901680051809106, 0.7516101255024357, 1.231597971530236]| 30.4894871715336322|      0.06250000|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[-0.0739108872740246, 0.577268972805287, -0.3575169849442659, 0.8772238469758565, 1.1997434675557288, 2.0978164790373484, 0.7728665875343169, 1.2601882469715668]| 29.5133627135212926|      0.12500000|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      34|[-0.0739108872740246, 0.577268972805287, -0.3575169849442659, 0.8772238469758565, 1.1997434675557288, 2.0978164790373484, 0.7728665875343169, 1.2601882469715668]| 29.5133627135212926|      0.06250000|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      35|[-0.0739108872740246, 0.577268972805287, -0.3575169849442659, 0.8772238469758565, 1.1997434675557288, 2.0978164790373484, 0.7728665875343169, 1.2601882469715668]| 29.5133627135212926|      0.03125000|[560, 35, 35, 70]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
