k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.372587172607863, -0.8307207980059179, -0.4256231788155665, 0.6401738903034828, -0.4271280773925255, -0.2261397183746664, -0.0515033351751522]|171116.9753536301723216|      2.00000000|[8, 0, 1, 2]                                                               |  | used linear model with 8 points | iterate success | actual_k=2
       2|[11.303910597024558, 0.1904153042581953, -0.4969049147268864, 1.7605215093108801, -1.199609463031559, -0.5797600126379759, -0.379958907242165]|91299.4756451712601120|      4.00000000|[14, 2, 2, 4]                                                              |  | used linear model with 8 points | iterate success | actual_k=2
       3|[11.303910597024558, 0.1904153042581953, -0.4969049147268864, 1.7605215093108801, -1.199609463031559, -0.5797600126379759, -0.379958907242165]|91299.4756451712601120|      2.00000000|[21, 3, 3, 6]                                                              |  | used linear model with 8 points | iterate failure | actual_k=2
       4|[11.303910597024558, 0.1904153042581953, -0.4969049147268864, 1.7605215093108801, -1.199609463031559, -0.5797600126379759, -0.379958907242165]|91299.4756451712601120|      1.00000000|[29, 3, 4, 8]                                                              |  | used linear model with 8 points | iterate failure | actual_k=2
       5|[11.303910597024558, 0.1904153042581953, -0.4969049147268864, 1.7605215093108801, -1.199609463031559, -0.5797600126379759, -0.379958907242165]|91299.4756451712601120|      0.50000000|[36, 4, 5, 10]                                                             |  | used linear model with 8 points | iterate failure | actual_k=2
       6|[11.495577500961186, 0.1964503602574602, -0.4123339899415772, 1.4211100086293276, -1.2587532551355793, -0.6242886133946542, -0.6721817391542105]|70660.6680723448662320|      1.00000000|[43, 5, 6, 12]                                                             |  | used linear model with 8 points | iterate success | actual_k=2
       7|[11.884666262859922, 0.5467841475370663, -0.509443518757812, 1.5098481545914852, -1.0001991282735103, -0.4765878389886751, -1.4595226427285084]|62682.3790136578536476|      2.00000000|[50, 6, 7, 14]                                                             |  | used linear model with 8 points | iterate success | actual_k=2
       8|[11.884666262859922, 0.5467841475370663, -0.509443518757812, 1.5098481545914852, -1.0001991282735103, -0.4765878389886751, -1.4595226427285084]|62682.3790136578536476|      1.00000000|[57, 7, 8, 16]                                                             |  | used linear model with 8 points | iterate failure | actual_k=2
       9|[12.097446281589464, 0.7656278762006722, -0.4221157939074468, 0.8794507747325766, -0.9880853809016054, -0.2341051381137819, -2.125000286901905]|58320.2902376396596082|      2.00000000|[63, 9, 9, 18]                                                             |  | used linear model with 8 points | iterate success | actual_k=2
      10|[11.39979949846901, 1.553891841065505, -0.1088541915184948, -0.4088932714045965, -1.1810995595661862, -0.5405106625879158, -3.126412717599181]|54636.1960996694397181|      4.00000000|[70, 10, 10, 20]                                                           |  | used linear model with 8 points | iterate success | actual_k=2
      11|[10.752790226695097, 0.5482869545684064, -0.6572633275403776, -3.668509667083503, -1.809234461866408, 1.1110665656481697, -2.4038994715441104]|45799.5382779657666106|      8.00000000|[78, 10, 11, 22]                                                           |  | used linear model with 8 points | iterate success | actual_k=2
      12|[9.908869029956172, 2.2908138377327094, 0.7589977476095147, -10.46238315625593, 1.2482290254921662, 2.7043343042776353, -2.8536767406356884]|34040.9683289322856581|     16.00000000|[86, 10, 12, 24]                                                           |  | used linear model with 8 points | iterate success | actual_k=2
      13|[9.908869029956172, 2.2908138377327094, 0.7589977476095147, -10.46238315625593, 1.2482290254921662, 2.7043343042776353, -2.8536767406356884]|34040.9683289322856581|      8.00000000|[92, 12, 13, 26]                                                           |  | used linear model with 8 points | iterate failure | actual_k=2
      14|[9.908869029956172, 2.2908138377327094, 0.7589977476095147, -10.46238315625593, 1.2482290254921662, 2.7043343042776353, -2.8536767406356884]|34040.9683289322856581|      4.00000000|[100, 12, 14, 28]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      15|[9.908869029956172, 2.2908138377327094, 0.7589977476095147, -10.46238315625593, 1.2482290254921662, 2.7043343042776353, -2.8536767406356884]|34040.9683289322856581|      2.00000000|[107, 13, 15, 30]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      16|[9.66724240352563, 2.7177583199631514, 1.2367921895734624, -11.370684577645957, 0.1170688472319132, 3.3376107718924786, -1.8410200622369872]|23040.9249961684399750|      4.00000000|[115, 13, 16, 32]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      17|[9.66724240352563, 2.7177583199631514, 1.2367921895734624, -11.370684577645957, 0.1170688472319132, 3.3376107718924786, -1.8410200622369872]|23040.9249961684399750|      2.00000000|[122, 14, 17, 34]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      18|[10.58142399858557, 2.1353682479980813, 0.7881726696199683, -11.317772634659542, -0.8343786182177111, 2.8420632161068236, -0.628495832219033]|15293.5602774834478623|      4.00000000|[130, 14, 18, 36]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      19|[10.58142399858557, 2.1353682479980813, 0.7881726696199683, -11.317772634659542, -0.8343786182177111, 2.8420632161068236, -0.628495832219033]|15293.5602774834478623|      2.00000000|[137, 15, 19, 38]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      20|[10.58142399858557, 2.1353682479980813, 0.7881726696199683, -11.317772634659542, -0.8343786182177111, 2.8420632161068236, -0.628495832219033]|15293.5602774834478623|      1.00000000|[144, 16, 20, 40]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      21|[10.58142399858557, 2.1353682479980813, 0.7881726696199683, -11.317772634659542, -0.8343786182177111, 2.8420632161068236, -0.628495832219033]|15293.5602774834478623|      0.50000000|[152, 16, 21, 42]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      22|[10.58142399858557, 2.1353682479980813, 0.7881726696199683, -11.317772634659542, -0.8343786182177111, 2.8420632161068236, -0.628495832219033]|15293.5602774834478623|      0.25000000|[159, 17, 22, 44]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      23|[10.556098323236286, 2.0009163183262553, 0.829808943237659, -11.336868128806714, -0.8132695068280822, 2.851595752774835, -0.8313420985370169]|9238.3111097367018374|      0.50000000|[166, 18, 23, 46]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      24|[10.556098323236286, 2.0009163183262553, 0.829808943237659, -11.336868128806714, -0.8132695068280822, 2.851595752774835, -0.8313420985370169]|9238.3111097367018374|      0.25000000|[173, 19, 24, 48]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      25|[10.556098323236286, 2.0009163183262553, 0.829808943237659, -11.336868128806714, -0.8132695068280822, 2.851595752774835, -0.8313420985370169]|9238.3111097367018374|      0.12500000|[181, 19, 25, 50]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      26|[10.556098323236286, 2.0009163183262553, 0.829808943237659, -11.336868128806714, -0.8132695068280822, 2.851595752774835, -0.8313420985370169]|9238.3111097367018374|      0.06250000|[187, 21, 26, 52]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      27|[10.580172771640258, 2.0078967832650956, 0.8474625590285074, -11.367964742438321, -0.7792298480585677, 2.8346770021848346, -0.8548867799484542]|9209.2559569802415353|      0.12500000|[194, 22, 27, 54]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      28|[10.580172771640258, 2.0078967832650956, 0.8474625590285074, -11.367964742438321, -0.7792298480585677, 2.8346770021848346, -0.8548867799484542]|9209.2559569802415353|      0.06250000|[201, 23, 28, 56]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      29|[10.580172771640258, 2.0078967832650956, 0.8474625590285074, -11.367964742438321, -0.7792298480585677, 2.8346770021848346, -0.8548867799484542]|9209.2559569802415353|      0.03125000|[208, 24, 29, 58]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      30|[10.580172771640258, 2.0078967832650956, 0.8474625590285074, -11.367964742438321, -0.7792298480585677, 2.8346770021848346, -0.8548867799484542]|9209.2559569802415353|      0.01562500|[216, 24, 30, 60]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      31|[10.577524417240761, 2.015420731381599, 0.8483721895349634, -11.37373673268971, -0.7784018238682447, 2.8286618541594812, -0.8444222627704979]|9204.3643718844759860|      0.03125000|[223, 25, 31, 62]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      32|[10.577524417240761, 2.015420731381599, 0.8483721895349634, -11.37373673268971, -0.7784018238682447, 2.8286618541594812, -0.8444222627704979]|9204.3643718844759860|      0.01562500|[229, 27, 32, 64]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      33|[10.577524417240761, 2.015420731381599, 0.8483721895349634, -11.37373673268971, -0.7784018238682447, 2.8286618541594812, -0.8444222627704979]|9204.3643718844759860|      0.00781250|[235, 29, 33, 66]                                                          |  | used linear model with 8 points | iterate failure | actual_k=2
      34|[10.57623951651915, 2.010302076184972, 0.8461712469818656, -11.375713123881146, -0.7790202033710804, 2.823964182491582, -0.8458303724221646]|9200.7800694857869530|      0.01562500|[242, 30, 34, 68]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
      35|[10.584633226594017, 2.014640852000043, 0.8446208748522726, -11.369542656060743, -0.7731971102633031, 2.817252885769822, -0.8517829379794215]|9197.8638762261834927|      0.03125000|[249, 31, 35, 70]                                                          |  | used linear model with 8 points | iterate success | actual_k=2
