k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[-506.0, -506.2]                                                                |25614.3346824171749176|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-505.2932598049381, -505.49252682264]                                          |25542.2134217818565958|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[-503.87901521222614, -504.07834429128667]                                      |25399.4658176574157551|      4.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       3|[-501.0468338179021, -501.2536764259183]                                        |25115.1872591321043728|      8.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[-495.4226017454148, -495.56438705071463]                                       |24551.3838680521439528|     16.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[-484.11959648137463, -484.2399854329213]                                       |23443.0073645275952003|     32.00000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       6|[-461.2574087849588, -461.8498006696405]                                        |21303.6020527457294520|     64.00000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       7|[-414.11318316925434, -418.56675559312635]                                      |17334.9165715379713220|    128.00000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[-414.11318316925434, -418.56675559312635]                                      |17334.9165715379713220|     64.00000000|[32, 8, 7, 15]                                                             |  | used linear model with 5 points | actual_k=1
       9|[-367.17068172232393, -375.0650135831225]                                       |13774.9393667817021196|    128.00000000|[35, 9, 8, 17]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
      10|[-367.17068172232393, -375.0650135831225]                                       |13774.9393667817021196|     64.00000000|[39, 10, 8, 18]                                                            |  | used linear model with 5 points | actual_k=1
      11|[-322.8670639354575, -328.87854964621505]                                       |10620.8231857540231431|    128.00000000|[42, 11, 9, 20]                                                            |  | used linear model with 5 points | iterate success | actual_k=1
