k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.1391670029900507, 1.877834801040295, 1.4582996916443576]                     | 17.3706612680949348|      2.00000000|[5, 0, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=0
       2|[0.898270519527954, 2.770125541819835, 3.231936102573806]                       |  6.6826638084775940|      4.00000000|[10, 0, 2, 4]                                                              |  | used linear model with 5 points | iterate success | actual_k=0
       3|[0.898270519527954, 2.770125541819835, 3.231936102573806]                       |  6.6826638084775940|      2.00000000|[15, 0, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       4|[0.898270519527954, 2.770125541819835, 3.231936102573806]                       |  6.6826638084775940|      1.00000000|[20, 0, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=0
       5|[0.1516855629656149, 3.365643164656317, 2.93533929961397]                       |  4.6088493768032617|      2.00000000|[25, 0, 5, 10]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       6|[0.1516855629656149, 3.365643164656317, 2.93533929961397]                       |  4.6088493768032617|      1.00000000|[30, 0, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       7|[0.1516855629656149, 3.365643164656317, 2.93533929961397]                       |  4.6088493768032617|      0.50000000|[35, 0, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
       8|[0.2852704664771476, 2.884207244262706, 2.9159865709027177]                     |  2.9315514700708345|      1.00000000|[40, 0, 8, 16]                                                             |  | used linear model with 5 points | iterate success | actual_k=0
       9|[0.2852704664771476, 2.884207244262706, 2.9159865709027177]                     |  2.9315514700708345|      0.50000000|[45, 0, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=0
      10|[0.2852704664771476, 2.884207244262706, 2.9159865709027177]                     |  2.9315514700708345|      0.25000000|[50, 0, 10, 20]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      11|[0.2852704664771476, 2.884207244262706, 2.9159865709027177]                     |  2.9315514700708345|      0.12500000|[55, 0, 11, 22]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      12|[0.3726939790019345, 2.9107589066220747, 2.830680424091468]                     |  2.6760412175531503|      0.25000000|[60, 0, 12, 24]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      13|[0.2708653217289089, 2.7392211464815923, 2.67999624640861]                      |  2.3248765657241162|      0.50000000|[65, 0, 13, 26]                                                            |  | used linear model with 5 points | iterate success | actual_k=0
      14|[0.2708653217289089, 2.7392211464815923, 2.67999624640861]                      |  2.3248765657241162|      0.25000000|[70, 0, 14, 28]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
      15|[0.2708653217289089, 2.7392211464815923, 2.67999624640861]                      |  2.3248765657241162|      0.12500000|[75, 0, 15, 30]                                                            |  | used linear model with 5 points | iterate failure | actual_k=0
