k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.55181231724695, 4.542452688741302, -5.523260892759065, -1.562117689721086]  |6930036.5000000000000000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[22.97169028915706, 4.0058053390584885, -6.532228005319709, -1.1180350800699694]|5034635.5000000000000000|      4.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       3|[22.158361376753394, 0.6219389119652359, -7.757420617750127, -2.662977521161333]|3602264.0000000000000000|      8.00000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       4|[22.158361376753394, 0.6219389119652359, -7.757420617750127, -2.662977521161333]|3602264.0000000000000000|      4.00000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[22.158361376753394, 0.6219389119652359, -7.757420617750127, -2.662977521161333]|3602264.0000000000000000|      2.00000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[20.59324233652191, 1.1559802564806387, -6.667666406206287, -2.3843415746728716]|2878377.2500000000000000|      4.00000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[20.59324233652191, 1.1559802564806387, -6.667666406206287, -2.3843415746728716]|2878377.2500000000000000|      2.00000000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[19.728379374651144, 1.5877809639377771, -6.177105797172621, -0.7035945695920485]|2413983.0000000000000000|      4.00000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[18.75146006500938, 3.225856258970842, -2.9834483436954513, 0.7670821658264166] |1831945.6250000000000000|      8.00000000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      10|[11.722830210192477, 3.9015026802629342, -0.8671753355320799, 3.875659466182781]|995176.0000000000000000|     16.00000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[11.722830210192477, 3.9015026802629342, -0.8671753355320799, 3.875659466182781]|995176.0000000000000000|      8.00000000|[89, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      12|[11.722830210192477, 3.9015026802629342, -0.8671753355320799, 3.875659466182781]|995176.0000000000000000|      4.00000000|[97, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      13|[8.690656106502667, 6.221672634444653, -1.6561319440605753, 2.9810762903491903] |555600.5000000000000000|      8.00000000|[105, 0, 0, 26]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      14|[8.690656106502667, 6.221672634444653, -1.6561319440605753, 2.9810762903491903] |555600.5000000000000000|      4.00000000|[113, 0, 0, 28]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      15|[8.690656106502667, 6.221672634444653, -1.6561319440605753, 2.9810762903491903] |555600.5000000000000000|      2.00000000|[121, 0, 0, 30]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      16|[8.690656106502667, 6.221672634444653, -1.6561319440605753, 2.9810762903491903] |555600.5000000000000000|      1.00000000|[129, 0, 0, 32]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      17|[7.867455003460973, 6.533799647397043, -1.2748909004537747, 3.263161274717297]  |510158.8750000000000000|      2.00000000|[137, 0, 0, 34]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      18|[6.171304149754068, 7.0488927545422495, -0.3638364117750765, 3.429687822448367] |434193.8437500000000000|      4.00000000|[145, 0, 0, 36]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      19|[3.463286145672554, 7.454519673354348, -1.1396018478269743, 0.6189417861561188] |341844.9375000000000000|      8.00000000|[153, 0, 0, 38]                                                            |  | trying linear partial model with 5 points | iterate success | actual_k=0
      20|[3.463286145672554, 7.454519673354348, -1.1396018478269743, 0.6189417861561188] |341844.9375000000000000|      4.00000000|[161, 0, 0, 40]                                                            |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
