k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.50000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.25000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       3|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.12500000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       4|[0.0396495687397727, -0.0029734649507475, 0.0628611933048227]                   |  0.0043706358410418|      0.25000000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       5|[0.0396495687397727, -0.0029734649507475, 0.0628611933048227]                   |  0.0043706358410418|      0.12500000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.0396495687397727, -0.0029734649507475, 0.0628611933048227]                   |  0.0043706358410418|      0.06250000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[0.0396495687397727, -0.0029734649507475, 0.0628611933048227]                   |  0.0043706358410418|      0.03125000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[0.0611281192920544, 0.0169397487488706, 0.0519663189904296]                    |  0.0031053146813065|      0.06250000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       9|[0.0611281192920544, 0.0169397487488706, 0.0519663189904296]                    |  0.0031053146813065|      0.03125000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      10|[0.0611281192920544, 0.0169397487488706, 0.0519663189904296]                    |  0.0031053146813065|      0.01562500|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.053534905401191, 0.0090128889432089, 0.0408465788212986]                     |  0.0022542602382600|      0.03125000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      12|[0.053534905401191, 0.0090128889432089, 0.0408465788212986]                     |  0.0022542602382600|      0.01562500|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.053534905401191, 0.0090128889432089, 0.0408465788212986]                     |  0.0022542602382600|      0.00781250|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      14|[0.053534905401191, 0.0090128889432089, 0.0408465788212986]                     |  0.0022542602382600|      0.00390625|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.053534905401191, 0.0090128889432089, 0.0408465788212986]                     |  0.0022542602382600|      0.00195312|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
