k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.3826590859552633, -0.0013116173705472, 0.6932713393827766, 0.1618024806031712, 0.9633323110621872, 0.7642708515760461]|494.1904065906178971|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[-0.3826590859552633, -0.0013116173705472, 0.6932713393827766, 0.1618024806031712, 0.9633323110621872, 0.7642708515760461]|494.1904065906178971|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[0.1849849616537729, -0.271499741919512, 0.2859917079394001, 0.2531931336541852, 0.6854497078362145, 0.1698543967757465]|469.4031939995510356|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[-0.5121812878020242, 1.107535185089133, -0.7639347599015236, -0.4161023011190369, 0.7671046499012923, 0.4049126752199484]|442.2116991899843583|      4.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       5|[-0.5121812878020242, 1.107535185089133, -0.7639347599015236, -0.4161023011190369, 0.7671046499012923, 0.4049126752199484]|442.2116991899843583|      2.00000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[-0.5121812878020242, 1.107535185089133, -0.7639347599015236, -0.4161023011190369, 0.7671046499012923, 0.4049126752199484]|442.2116991899843583|      1.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       7|[-0.4655354720084895, 1.1565194852957819, -1.2991065112768678, -0.0053029741741754, 1.4837622745731653, 0.5681966753956692]|256.0173608660567197|      2.00000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       8|[-0.4655354720084895, 1.1565194852957819, -1.2991065112768678, -0.0053029741741754, 1.4837622745731653, 0.5681966753956692]|256.0173608660567197|      1.00000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[-0.4655354720084895, 1.1565194852957819, -1.2991065112768678, -0.0053029741741754, 1.4837622745731653, 0.5681966753956692]|256.0173608660567197|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
      10|[-0.2108608871267631, 1.2889626039469635, -1.1958829058075846, -0.0107101834706007, 1.879790891459991, 0.5769522510776905]|227.9654471884203986|      1.00000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      11|[-0.2108608871267631, 1.2889626039469635, -1.1958829058075846, -0.0107101834706007, 1.879790891459991, 0.5769522510776905]|227.9654471884203986|      0.50000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
