k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.0, 1.0, 1.0]                                                                 | 41.6816958616780084|      0.50000000|[5, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       2|[1.0210902793029066, 1.3969040631029443, 1.3033518828214183]                    | 21.0863800048828125|      1.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[0.0442540753100308, 1.5961729448331465, 1.3813451090835969]                    |  0.6286601424217224|      2.00000000|[15, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[0.0442540753100308, 1.5961729448331465, 1.3813451090835969]                    |  0.6286601424217224|      1.00000000|[20, 8, 0, 8]                                                              |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[0.0442540753100308, 1.5961729448331465, 1.3813451090835969]                    |  0.6286601424217224|      0.50000000|[24, 10, 0, 10]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       6|[0.0442540753100308, 1.5961729448331465, 1.3813451090835969]                    |  0.6286601424217224|      0.25000000|[28, 12, 0, 12]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       7|[-0.0973737016997174, 1.7609313568227154, 1.5050230717849307]                   |  0.4119251668453217|      0.50000000|[33, 14, 0, 14]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
       8|[-0.0973737016997174, 1.7609313568227154, 1.5050230717849307]                   |  0.4119251668453217|      0.25000000|[38, 16, 0, 16]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[0.1058171075851274, 1.7143235109335795, 1.6430129399772888]                    |  0.0628172531723976|      0.50000000|[42, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[0.1058171075851274, 1.7143235109335795, 1.6430129399772888]                    |  0.0628172531723976|      0.25000000|[47, 20, 0, 20]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      11|[0.1058171075851274, 1.7143235109335795, 1.6430129399772888]                    |  0.0628172531723976|      0.12500000|[52, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[0.1058171075851274, 1.7143235109335795, 1.6430129399772888]                    |  0.0628172531723976|      0.06250000|[57, 24, 0, 24]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      13|[0.0942522469293917, 1.750016901156395, 1.6929977966082248]                     |  0.0153085859492421|      0.12500000|[62, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      14|[0.0942522469293917, 1.750016901156395, 1.6929977966082248]                     |  0.0153085859492421|      0.06250000|[67, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      15|[0.0942522469293917, 1.750016901156395, 1.6929977966082248]                     |  0.0153085859492421|      0.03125000|[72, 30, 0, 30]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
