k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[65, 0, 1, 2]                                                              |  | used linear model with 65 points | iterate failure | actual_k=0
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[130, 0, 2, 4]                                                             |  | used linear model with 65 points | iterate failure | actual_k=0
       3|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.12500000|[195, 0, 3, 6]                                                             |  | used linear model with 65 points | iterate failure | actual_k=0
       4|[119.99846296269807, -0.0201195706203043, 0.8638016488126006, 110.00012299188452, 0.1957805159967156, 0.8292983968707072, 99.99973163336642, 0.2695102962123036, 0.7107763970201484, 88.00042142368093, 0.326733177457268, 0.7023622207341196, 86.00004748940816, 0.3584401607979285, 0.6432253415839814, 83.99999649310645, 0.467636221180683, 0.5317661486745794, 79.99992037974427, 0.6550911216795618, 0.3412193672211453, 76.00000114204062, 0.8765004192906202, 0.1239048265450368, 886.3699454815549, 910.0100012450182, 922.520002427083, 926.4600094646454, 935.5600037316738, 952.8300044905861, 975.7300017616483]|2504.6726839752454907|      0.25000000|[260, 0, 4, 8]                                                             |  | used linear model with 65 points | iterate success | actual_k=0
       5|[119.99846296269807, -0.0201195706203043, 0.8638016488126006, 110.00012299188452, 0.1957805159967156, 0.8292983968707072, 99.99973163336642, 0.2695102962123036, 0.7107763970201484, 88.00042142368093, 0.326733177457268, 0.7023622207341196, 86.00004748940816, 0.3584401607979285, 0.6432253415839814, 83.99999649310645, 0.467636221180683, 0.5317661486745794, 79.99992037974427, 0.6550911216795618, 0.3412193672211453, 76.00000114204062, 0.8765004192906202, 0.1239048265450368, 886.3699454815549, 910.0100012450182, 922.520002427083, 926.4600094646454, 935.5600037316738, 952.8300044905861, 975.7300017616483]|2504.6726839752454907|      0.12500000|[325, 0, 5, 10]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       6|[119.99846296269807, -0.0201195706203043, 0.8638016488126006, 110.00012299188452, 0.1957805159967156, 0.8292983968707072, 99.99973163336642, 0.2695102962123036, 0.7107763970201484, 88.00042142368093, 0.326733177457268, 0.7023622207341196, 86.00004748940816, 0.3584401607979285, 0.6432253415839814, 83.99999649310645, 0.467636221180683, 0.5317661486745794, 79.99992037974427, 0.6550911216795618, 0.3412193672211453, 76.00000114204062, 0.8765004192906202, 0.1239048265450368, 886.3699454815549, 910.0100012450182, 922.520002427083, 926.4600094646454, 935.5600037316738, 952.8300044905861, 975.7300017616483]|2504.6726839752454907|      0.06250000|[390, 0, 6, 12]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       7|[119.99875450444424, 0.0106208829635444, 0.8747978459985535, 109.99936942773682, 0.1475406553159894, 0.8107267338715426, 99.999782803206, 0.275154548606324, 0.7156070344333149, 88.00061622259345, 0.3363675383650121, 0.7055419469594171, 86.00010403353718, 0.360892330868362, 0.6436576714497133, 83.99999152732086, 0.4673118454322875, 0.5315427992028214, 79.99987227843407, 0.6533950453901627, 0.3406874309210911, 76.00000345780575, 0.8766230596240876, 0.124022130447165, 886.3699550639975, 910.0099798117358, 922.5200035920797, 926.4600132213579, 935.560006250467, 952.8300038351224, 975.7299994363208]|1180.7072059363456447|      0.12500000|[455, 0, 7, 14]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
       8|[119.99875450444424, 0.0106208829635444, 0.8747978459985535, 109.99936942773682, 0.1475406553159894, 0.8107267338715426, 99.999782803206, 0.275154548606324, 0.7156070344333149, 88.00061622259345, 0.3363675383650121, 0.7055419469594171, 86.00010403353718, 0.360892330868362, 0.6436576714497133, 83.99999152732086, 0.4673118454322875, 0.5315427992028214, 79.99987227843407, 0.6533950453901627, 0.3406874309210911, 76.00000345780575, 0.8766230596240876, 0.124022130447165, 886.3699550639975, 910.0099798117358, 922.5200035920797, 926.4600132213579, 935.560006250467, 952.8300038351224, 975.7299994363208]|1180.7072059363456447|      0.06250000|[520, 0, 8, 16]                                                            |  | used linear model with 65 points | iterate failure | actual_k=0
       9|[119.99828483726891, -0.0307224535886313, 0.8573146518532354, 109.99903641051087, 0.1260509431524625, 0.8059708795746888, 99.99935041979575, 0.2525401221179549, 0.7093306811124936, 88.00114662735291, 0.3625818408614968, 0.7148237749721271, 86.00027928857367, 0.3683999683432999, 0.6451442303900665, 83.99998192977768, 0.4665640239284167, 0.5309502361703071, 79.9997437110377, 0.6488996480346959, 0.3392726443261309, 76.00000975890303, 0.87694533243066, 0.1243335093636672, 886.3699436704168, 910.0099676655668, 922.5199878637284, 926.4600241055988, 935.5600078374241, 952.8300058521182, 975.7299973419636]|675.6728527424774029|      0.12500000|[585, 0, 9, 18]                                                            |  | used linear model with 65 points | iterate success | actual_k=0
      10|[119.99828483726891, -0.0307224535886313, 0.8573146518532354, 109.99903641051087, 0.1260509431524625, 0.8059708795746888, 99.99935041979575, 0.2525401221179549, 0.7093306811124936, 88.00114662735291, 0.3625818408614968, 0.7148237749721271, 86.00027928857367, 0.3683999683432999, 0.6451442303900665, 83.99998192977768, 0.4665640239284167, 0.5309502361703071, 79.9997437110377, 0.6488996480346959, 0.3392726443261309, 76.00000975890303, 0.87694533243066, 0.1243335093636672, 886.3699436704168, 910.0099676655668, 922.5199878637284, 926.4600241055988, 935.5600078374241, 952.8300058521182, 975.7299973419636]|675.6728527424774029|      0.06250000|[650, 0, 10, 20]                                                           |  | used linear model with 65 points | iterate failure | actual_k=0
      11|[119.99828483726891, -0.0307224535886313, 0.8573146518532354, 109.99903641051087, 0.1260509431524625, 0.8059708795746888, 99.99935041979575, 0.2525401221179549, 0.7093306811124936, 88.00114662735291, 0.3625818408614968, 0.7148237749721271, 86.00027928857367, 0.3683999683432999, 0.6451442303900665, 83.99998192977768, 0.4665640239284167, 0.5309502361703071, 79.9997437110377, 0.6488996480346959, 0.3392726443261309, 76.00000975890303, 0.87694533243066, 0.1243335093636672, 886.3699436704168, 910.0099676655668, 922.5199878637284, 926.4600241055988, 935.5600078374241, 952.8300058521182, 975.7299973419636]|675.6728527424774029|      0.03125000|[715, 0, 11, 22]                                                           |  | used linear model with 65 points | iterate failure | actual_k=0
      12|[119.99842517232996, -0.014591914929586, 0.8628725870199614, 109.99873089544221, 0.1028298129061197, 0.7972044568913329, 99.99928573286316, 0.2501210659690919, 0.7098263946397461, 88.00126967282264, 0.3683110796458676, 0.7168637126557265, 86.00037824189077, 0.3729516949085523, 0.6463967249423533, 83.99998299602872, 0.4664485498579941, 0.530725310632717, 79.99969228255219, 0.6470449162350844, 0.3386778810647028, 76.00001150300143, 0.8770770814747499, 0.1244620241879695, 886.3699477823243, 910.0099596282803, 922.5199853132377, 926.460027129326, 935.5600105266161, 952.8300058816769, 975.7299960050841]|443.1996262864873302|      0.06250000|[780, 0, 12, 24]                                                           |  | used linear model with 65 points | iterate success | actual_k=0
