k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.50000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       2|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.25000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[0.1, 0.1, 0.1]                                                                 |  0.0779631030810730|      0.12500000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[-0.017165255543085, 0.0568727034637444, 0.0938894200768285]                    |  0.0018614949840559|      0.25000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[-0.017165255543085, 0.0568727034637444, 0.0938894200768285]                    |  0.0018614949840559|      0.12500000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[-0.017165255543085, 0.0568727034637444, 0.0938894200768285]                    |  0.0018614949840559|      0.06250000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[-0.017165255543085, 0.0568727034637444, 0.0938894200768285]                    |  0.0018614949840559|      0.03125000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       8|[-0.017165255543085, 0.0568727034637444, 0.0938894200768285]                    |  0.0018614949840559|      0.01562500|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[-0.017165255543085, 0.0568727034637444, 0.0938894200768285]                    |  0.0018614949840559|      0.00781250|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[-0.017165255543085, 0.0568727034637444, 0.0938894200768285]                    |  0.0018614949840559|      0.00390625|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[-0.0146494572294206, 0.0593544609047943, 0.0955538803230515]                   |  0.0015460403282216|      0.00781250|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[-0.0115893126489502, 0.0665155093816865, 0.0961784250438026]                   |  0.0015248865680464|      0.01562500|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[-0.0115893126489502, 0.0665155093816865, 0.0961784250438026]                   |  0.0015248865680464|      0.00781250|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[-0.0122290220160945, 0.0612976101488048, 0.1019576512697848]                   |  0.0013912254180942|      0.01562500|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      15|[-0.0122290220160945, 0.0612976101488048, 0.1019576512697848]                   |  0.0013912254180942|      0.00781250|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
