k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 25.2430323198307036|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.8121833237665, -0.7813209853763794, -0.5408675782100854]                     |  5.5390397364356714|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.8121833237665, -0.7813209853763794, -0.5408675782100854]                     |  5.5390397364356714|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[2.6508590298558055, -0.974483054757609, -1.05009392765399]                     |  0.4136964892142136|      2.00000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       4|[2.6508590298558055, -0.974483054757609, -1.05009392765399]                     |  0.4136964892142136|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       5|[2.6508590298558055, -0.974483054757609, -1.05009392765399]                     |  0.4136964892142136|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[2.6508590298558055, -0.974483054757609, -1.05009392765399]                     |  0.4136964892142136|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[2.707468799368181, -0.7487463882037194, -0.9587796824953414]                   |  0.2047837105071208|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[2.707468799368181, -0.7487463882037194, -0.9587796824953414]                   |  0.2047837105071208|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[2.707468799368181, -0.7487463882037194, -0.9587796824953414]                   |  0.2047837105071208|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[2.707468799368181, -0.7487463882037194, -0.9587796824953414]                   |  0.2047837105071208|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[2.705788377290821, -0.8102348556411041, -0.9477074400014469]                   |  0.1602383860517974|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[2.705788377290821, -0.8102348556411041, -0.9477074400014469]                   |  0.1602383860517974|      0.06250000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      13|[2.705788377290821, -0.8102348556411041, -0.9477074400014469]                   |  0.1602383860517974|      0.03125000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      14|[2.705788377290821, -0.8102348556411041, -0.9477074400014469]                   |  0.1602383860517974|      0.01562500|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[2.7211593198309343, -0.8087763265353474, -0.9453100574128321]                  |  0.1513616514729084|      0.03125000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
