k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      0.50000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       2|[20.062733639929355, 1.905876056858995, 2.065951465122645, 1.994692165088961, 0.6825219216631888]|4890.1096408111470737|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       3|[20.062733639929355, 1.905876056858995, 2.065951465122645, 1.994692165088961, 0.6825219216631888]|4890.1096408111470737|      0.50000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       4|[20.062733639929355, 1.905876056858995, 2.065951465122645, 1.994692165088961, 0.6825219216631888]|4890.1096408111470737|      0.25000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[20.062733639929355, 1.905876056858995, 2.065951465122645, 1.994692165088961, 0.6825219216631888]|4890.1096408111470737|      0.12500000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[20.078052626146206, 1.9296046079492462, 2.068917018587847, 1.9952659365232797, 0.5607920534983402]|4310.4244457588056321|      0.25000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[20.078052626146206, 1.9296046079492462, 2.068917018587847, 1.9952659365232797, 0.5607920534983402]|4310.4244457588056321|      0.12500000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[20.020227196446523, 2.008950407977052, 2.0082001480717584, 1.9474571835928793, 0.5571522079017578]|4128.4694336070378995|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
       9|[19.922293823234703, 2.1366113965259648, 2.100739864575951, 2.1148396800224196, 0.5515640800929836]|3724.2262271195681933|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[19.922293823234703, 2.1366113965259648, 2.100739864575951, 2.1148396800224196, 0.5515640800929836]|3724.2262271195681933|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[19.922293823234703, 2.1366113965259648, 2.100739864575951, 2.1148396800224196, 0.5515640800929836]|3724.2262271195681933|      0.12500000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      12|[19.922293823234703, 2.1366113965259648, 2.100739864575951, 2.1148396800224196, 0.5515640800929836]|3724.2262271195681933|      0.06250000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[19.921514154462418, 2.195384163422924, 2.098176825647454, 2.1355075766120843, 0.547360168831887]|3584.5304397068198341|      0.12500000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[19.921514154462418, 2.195384163422924, 2.098176825647454, 2.1355075766120843, 0.547360168831887]|3584.5304397068198341|      0.06250000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[19.923552120971294, 2.253303230626387, 2.1165919857048445, 2.126679210215201, 0.5587803340501517]|3491.6079511878560879|      0.12500000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
