k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[20.0, 2.0, 2.0, 2.0, 0.2]                                                      |10940.0863686848952057|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[19.922413660401478, 2.551299862024953, 2.129829480123582, 2.6950501217484137, 0.6360028169488433]|4336.5288085937500000|      2.00000000|[9, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[19.922413660401478, 2.551299862024953, 2.129829480123582, 2.6950501217484137, 0.6360028169488433]|4336.5288085937500000|      1.00000000|[17, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[19.922413660401478, 2.551299862024953, 2.129829480123582, 2.6950501217484137, 0.6360028169488433]|4336.5288085937500000|      0.50000000|[25, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[19.922413660401478, 2.551299862024953, 2.129829480123582, 2.6950501217484137, 0.6360028169488433]|4336.5288085937500000|      0.25000000|[33, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       5|[19.869178135587777, 2.635917139431125, 2.1037652514205663, 2.676186100491559, 0.4091312675066213]|3386.4145507812500000|      0.50000000|[41, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       6|[19.869178135587777, 2.635917139431125, 2.1037652514205663, 2.676186100491559, 0.4091312675066213]|3386.4145507812500000|      0.25000000|[49, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       7|[19.869178135587777, 2.635917139431125, 2.1037652514205663, 2.676186100491559, 0.4091312675066213]|3386.4145507812500000|      0.12500000|[57, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[19.841505754300655, 2.65375946851943, 2.1074258145860583, 2.723594716072496, 0.5199460411273581]|2857.6728515625000000|      0.25000000|[65, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       9|[19.841505754300655, 2.65375946851943, 2.1074258145860583, 2.723594716072496, 0.5199460411273581]|2857.6728515625000000|      0.12500000|[73, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[19.826377729646183, 2.731908037921784, 2.189229494797335, 2.740181293594796, 0.4717590374810753]|2677.9733886718750000|      0.25000000|[81, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
