k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 10.0, 1.0]                                                                |  1.8845685008804969|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.2937992967606971, 10.322159911678678, 1.8999416450693376]                    |  0.8693166971206665|      2.00000000|[7, 0, 0, 2]                                                               |  | trying linear partial model with 5 points | iterate success | actual_k=0
       2|[0.2937992967606971, 10.322159911678678, 1.8999416450693376]                    |  0.8693166971206665|      1.00000000|[13, 0, 0, 4]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       3|[0.2937992967606971, 10.322159911678678, 1.8999416450693376]                    |  0.8693166971206665|      0.50000000|[19, 0, 0, 6]                                                              |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       4|[-0.0205171558582693, 10.15480694047879, 1.5489457040050587]                    |  0.6346091628074646|      1.00000000|[25, 0, 0, 8]                                                              |  | trying linear partial model with 5 points | iterate success | actual_k=0
       5|[-0.0205171558582693, 10.15480694047879, 1.5489457040050587]                    |  0.6346091628074646|      0.50000000|[31, 0, 0, 10]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[0.4669004391433997, 10.08770881110698, 1.4599404843963604]                     |  0.1642838120460510|      1.00000000|[37, 0, 0, 12]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
       7|[0.4669004391433997, 10.08770881110698, 1.4599404843963604]                     |  0.1642838120460510|      0.50000000|[43, 0, 0, 14]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       8|[0.4669004391433997, 10.08770881110698, 1.4599404843963604]                     |  0.1642838120460510|      0.25000000|[49, 0, 0, 16]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       9|[0.4669004391433997, 10.08770881110698, 1.4599404843963604]                     |  0.1642838120460510|      0.12500000|[55, 0, 0, 18]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      10|[0.4414094916355942, 10.073451483391214, 1.3384006135655933]                    |  0.1014184281229973|      0.25000000|[61, 0, 0, 20]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      11|[0.6751314722430747, 10.029288143205214, 1.261435458043551]                     |  0.0503290295600891|      0.50000000|[67, 0, 0, 22]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      12|[0.6751314722430747, 10.029288143205214, 1.261435458043551]                     |  0.0503290295600891|      0.25000000|[73, 0, 0, 24]                                                             |  | trying linear partial model with 5 points | exploitation failed, decreasing delta | actual_k=0
      13|[0.6751314722430747, 10.029288143205214, 1.261435458043551]                     |  0.0503290295600891|      0.12500000|[79, 0, 0, 26]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
      14|[0.6784090056770669, 10.069818896556614, 1.1432342913515208]                    |  0.0273547098040581|      0.25000000|[85, 0, 0, 28]                                                             |  | trying linear partial model with 5 points | iterate success | actual_k=0
      15|[0.6784090056770669, 10.069818896556614, 1.1432342913515208]                    |  0.0273547098040581|      0.12500000|[91, 0, 0, 30]                                                             |  | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
