k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[10.0, -1.0, 0.05, -1e-05, -0.05, 0.001, -1e-06]                                |3097556.5274337721057236|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.138336430578931, -1.0295722106230087, 0.1263715184390397, -0.3493833404382246, -0.5914262303111241, -0.4309928663785678, 0.6101907543076237]|59435.3216987899722881|      2.00000000|[37, 3, 1, 4]                                                              |  | used quadratic model with 40 points | iterate success | actual_k=1
       2|[9.992212822336572, -0.8923070402954905, 1.0803657444175727, 1.0840482020964348, -1.4670488929403898, -0.3651759630958501, 1.0834013646364982]|49001.5930532088241307|      4.00000000|[74, 6, 2, 8]                                                              |  | used quadratic model with 40 points | iterate success | actual_k=1
       3|[9.992212822336572, -0.8923070402954905, 1.0803657444175727, 1.0840482020964348, -1.4670488929403898, -0.3651759630958501, 1.0834013646364982]|49001.5930532088241307|      2.00000000|[111, 9, 3, 12]                                                            |  | used quadratic model with 40 points | iterate failure | actual_k=1
       4|[9.992212822336572, -0.8923070402954905, 1.0803657444175727, 1.0840482020964348, -1.4670488929403898, -0.3651759630958501, 1.0834013646364982]|49001.5930532088241307|      1.00000000|[149, 11, 4, 16]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=1
       5|[10.143422770360429, -0.8421326809046725, 1.1049209140347669, 1.7556470068312031, -1.4131806482869282, -0.4037923328547925, 0.3632783455579234]|28529.6189510933327256|      2.00000000|[186, 14, 5, 20]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=1
       6|[10.143422770360429, -0.8421326809046725, 1.1049209140347669, 1.7556470068312031, -1.4131806482869282, -0.4037923328547925, 0.3632783455579234]|28529.6189510933327256|      1.00000000|[224, 16, 6, 24]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=1
       7|[10.143422770360429, -0.8421326809046725, 1.1049209140347669, 1.7556470068312031, -1.4131806482869282, -0.4037923328547925, 0.3632783455579234]|28529.6189510933327256|      0.50000000|[262, 18, 7, 28]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=1
       8|[10.143422770360429, -0.8421326809046725, 1.1049209140347669, 1.7556470068312031, -1.4131806482869282, -0.4037923328547925, 0.3632783455579234]|28529.6189510933327256|      0.25000000|[300, 20, 8, 32]                                                           |  | used quadratic model with 40 points | iterate failure | actual_k=1
       9|[10.130298443747405, -0.8463463154443424, 1.102618630328202, 1.8090872366469894, -1.4314401148332596, -0.3896035502717686, 0.1205560577635261]|10316.8915512647181458|      0.50000000|[338, 22, 9, 36]                                                           |  | used quadratic model with 40 points | iterate success | actual_k=1
      10|[10.130298443747405, -0.8463463154443424, 1.102618630328202, 1.8090872366469894, -1.4314401148332596, -0.3896035502717686, 0.1205560577635261]|10316.8915512647181458|      0.25000000|[376, 24, 10, 40]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      11|[10.130298443747405, -0.8463463154443424, 1.102618630328202, 1.8090872366469894, -1.4314401148332596, -0.3896035502717686, 0.1205560577635261]|10316.8915512647181458|      0.12500000|[413, 27, 11, 44]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      12|[10.130298443747405, -0.8463463154443424, 1.102618630328202, 1.8090872366469894, -1.4314401148332596, -0.3896035502717686, 0.1205560577635261]|10316.8915512647181458|      0.06250000|[451, 29, 12, 48]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      13|[10.130298443747405, -0.8463463154443424, 1.102618630328202, 1.8090872366469894, -1.4314401148332596, -0.3896035502717686, 0.1205560577635261]|10316.8915512647181458|      0.03125000|[489, 31, 13, 52]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      14|[10.130298443747405, -0.8463463154443424, 1.102618630328202, 1.8090872366469894, -1.4314401148332596, -0.3896035502717686, 0.1205560577635261]|10316.8915512647181458|      0.01562500|[527, 33, 14, 56]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      15|[10.131305001118196, -0.8469278478158682, 1.1034701855660878, 1.808844708612531, -1.4320401065014112, -0.3880939773726872, 0.136027532187446]|9479.8536287225269916|      0.03125000|[565, 35, 15, 60]                                                          |  | used quadratic model with 40 points | iterate success | actual_k=1
      16|[10.131305001118196, -0.8469278478158682, 1.1034701855660878, 1.808844708612531, -1.4320401065014112, -0.3880939773726872, 0.136027532187446]|9479.8536287225269916|      0.01562500|[603, 37, 16, 64]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      17|[10.131305001118196, -0.8469278478158682, 1.1034701855660878, 1.808844708612531, -1.4320401065014112, -0.3880939773726872, 0.136027532187446]|9479.8536287225269916|      0.00781250|[641, 39, 17, 68]                                                          |  | used quadratic model with 40 points | iterate failure | actual_k=1
      18|[10.130297728148829, -0.8467868813583974, 1.1023692057420482, 1.8106817662781673, -1.4323769531293684, -0.3807313876130908, 0.1370727856563975]|9453.8585148366892099|      0.01562500|[678, 42, 18, 72]                                                          |  | used quadratic model with 40 points | iterate success | actual_k=1
