k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.50000000|[121, 8, 1, 3]                                                             |  | used linear model with 129 points | iterate failure | actual_k=4
       2|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.25000000|[242, 16, 2, 6]                                                            |  | used linear model with 129 points | iterate failure | actual_k=4
       3|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.12500000|[363, 24, 3, 9]                                                            |  | used linear model with 129 points | iterate failure | actual_k=4
       4|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.06250000|[484, 32, 4, 12]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       5|[4.1365481575, 0.02, 0.17712896, 0.02, 1.6563998369, 0.02, 1.1912670842, 0.02, 0.29540308, 0.02, 0.33044829, 0.02, 0.081689693, 0.02, 0.25366977, 0.02, 1.3979474874, 0.02, 1.1726179747, 0.02, 0.09020114, 0.02, 0.12924843, 0.02, 0.30391686, 0.02, 0.1048141, 0.02, 0.1179912, 0.02, 0.54496913, 0.02, 0.007783709, 0.02, 0.089054003, 0.02, 0.11016803, 0.02, 0.039888624, 0.02, 0.098350298, 0.02, 0.28456638, 0.02, 0.4217993, 0.02, 0.16224077, 0.02, 0.071969874, 0.02, 0.31414176, 0.02, 0.14023746, 0.02, 0.28639923, 0.02, 0.062871838, 0.02, 0.15213167, 0.02, 0.19259894, 0.02, 0.15142465, 0.02, 0.39070068, 0.02]|263050.2304652961902320|      0.03125000|[605, 40, 5, 15]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       6|[4.135556757320684, 0.0499950666535231, 0.1782400992687654, 0.0204655912431049, 1.6562412448624313, 0.0248233535099059, 1.192074458162857, 0.0200210494850853, 0.2952155075130442, 0.0183268483774517, 0.3292719870207338, 0.0206544938597463, 0.0826268269017147, 0.0203827499560325, 0.2550309347312257, 0.0199481355578735, 1.398044839473315, 0.0215737390882878, 1.1719339879953383, 0.0232617374018549, 0.089452815683595, 0.0207281046214357, 0.130922606248768, 0.0214347848148103, 0.3031495158417532, 0.0199115316014289, 0.1059493728116573, 0.0187939748580992, 0.1180827740528498, 0.0211037902313628, 0.5453204686286186, 0.0185897149383601, 0.0076251071401135, 0.0200619582520786, 0.0904802592743996, 0.0207948750138345, 0.1103263055331875, 0.0202137395739723, 0.0394698269312295, 0.0192889311738234, 0.0989301212602338, 0.0198006894710215, 0.2839848534118661, 0.0194528268102364, 0.4220110229064409, 0.0205271287902928, 0.1625368739374893, 0.0189088648149834, 0.0724236353826865, 0.0194017797034521, 0.3134139549822872, 0.0191391307267007, 0.1389360059620759, 0.020727775545433, 0.2867530049738514, 0.0186386195192722, 0.063569698648204, 0.0191639853245825, 0.1531061476876114, 0.0205340491174589, 0.1933314948149399, 0.0206688444821391, 0.1524212839429124, 0.0203214590544581, 0.3910490953148645, 0.0201054913550104]|170939.7447871348995250|      0.06250000|[726, 48, 6, 18]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       7|[4.135556757320684, 0.0499950666535231, 0.1782400992687654, 0.0204655912431049, 1.6562412448624313, 0.0248233535099059, 1.192074458162857, 0.0200210494850853, 0.2952155075130442, 0.0183268483774517, 0.3292719870207338, 0.0206544938597463, 0.0826268269017147, 0.0203827499560325, 0.2550309347312257, 0.0199481355578735, 1.398044839473315, 0.0215737390882878, 1.1719339879953383, 0.0232617374018549, 0.089452815683595, 0.0207281046214357, 0.130922606248768, 0.0214347848148103, 0.3031495158417532, 0.0199115316014289, 0.1059493728116573, 0.0187939748580992, 0.1180827740528498, 0.0211037902313628, 0.5453204686286186, 0.0185897149383601, 0.0076251071401135, 0.0200619582520786, 0.0904802592743996, 0.0207948750138345, 0.1103263055331875, 0.0202137395739723, 0.0394698269312295, 0.0192889311738234, 0.0989301212602338, 0.0198006894710215, 0.2839848534118661, 0.0194528268102364, 0.4220110229064409, 0.0205271287902928, 0.1625368739374893, 0.0189088648149834, 0.0724236353826865, 0.0194017797034521, 0.3134139549822872, 0.0191391307267007, 0.1389360059620759, 0.020727775545433, 0.2867530049738514, 0.0186386195192722, 0.063569698648204, 0.0191639853245825, 0.1531061476876114, 0.0205340491174589, 0.1933314948149399, 0.0206688444821391, 0.1524212839429124, 0.0203214590544581, 0.3910490953148645, 0.0201054913550104]|170939.7447871348995250|      0.03125000|[847, 56, 7, 21]                                                           |  | used linear model with 129 points | iterate failure | actual_k=4
       8|[4.136857841133742, 0.0684746160669411, 0.1783589849630235, 0.0198521294421519, 1.6545872797647039, 0.03889407865659, 1.1917973297684845, 0.0291800335926805, 0.2949491237262768, 0.0173881704645718, 0.3284271396594055, 0.0200224112507172, 0.0824023345295524, 0.018332625335052, 0.2552716976054957, 0.0189891906363883, 1.3994904817985614, 0.0363343795324008, 1.173529072877681, 0.0303369276556188, 0.0891243419255363, 0.021346070780756, 0.1307005775767108, 0.0208939082115507, 0.3037796323591416, 0.0211376879437354, 0.1049779494734767, 0.0177054187062418, 0.1193030366894007, 0.0198783647714324, 0.5473174648769281, 0.0222280613903099, 0.0089962335216112, 0.0201720128652462, 0.0896457549102678, 0.018781271042991, 0.1122624547902554, 0.0196525180073237, 0.0389359934502398, 0.0181773606829723, 0.0991669990341253, 0.0206475639534127, 0.28471400188914, 0.0211183075220815, 0.4215084221283162, 0.02081874545806, 0.1608391972441429, 0.0175703675961112, 0.0741746609622928, 0.0206342748628792, 0.3138409600484576, 0.0202081878128579, 0.1384940276442537, 0.0205113963345985, 0.2846345428067714, 0.0188911715516307, 0.0633708715899415, 0.0179913988169734, 0.150788834100617, 0.0215096146368182, 0.1930452420834099, 0.0208668934347154, 0.1512202925054933, 0.0206634641467872, 0.392270671323162, 0.0207596336423376]|139602.3858546834962908|      0.06250000|[968, 64, 8, 24]                                                           |  | used linear model with 129 points | iterate success | actual_k=4
       9|[4.136857841133742, 0.0684746160669411, 0.1783589849630235, 0.0198521294421519, 1.6545872797647039, 0.03889407865659, 1.1917973297684845, 0.0291800335926805, 0.2949491237262768, 0.0173881704645718, 0.3284271396594055, 0.0200224112507172, 0.0824023345295524, 0.018332625335052, 0.2552716976054957, 0.0189891906363883, 1.3994904817985614, 0.0363343795324008, 1.173529072877681, 0.0303369276556188, 0.0891243419255363, 0.021346070780756, 0.1307005775767108, 0.0208939082115507, 0.3037796323591416, 0.0211376879437354, 0.1049779494734767, 0.0177054187062418, 0.1193030366894007, 0.0198783647714324, 0.5473174648769281, 0.0222280613903099, 0.0089962335216112, 0.0201720128652462, 0.0896457549102678, 0.018781271042991, 0.1122624547902554, 0.0196525180073237, 0.0389359934502398, 0.0181773606829723, 0.0991669990341253, 0.0206475639534127, 0.28471400188914, 0.0211183075220815, 0.4215084221283162, 0.02081874545806, 0.1608391972441429, 0.0175703675961112, 0.0741746609622928, 0.0206342748628792, 0.3138409600484576, 0.0202081878128579, 0.1384940276442537, 0.0205113963345985, 0.2846345428067714, 0.0188911715516307, 0.0633708715899415, 0.0179913988169734, 0.150788834100617, 0.0215096146368182, 0.1930452420834099, 0.0208668934347154, 0.1512202925054933, 0.0206634641467872, 0.392270671323162, 0.0207596336423376]|139602.3858546834962908|      0.03125000|[1089, 72, 9, 27]                                                          |  | used linear model with 129 points | iterate failure | actual_k=4
      10|[4.136753963062374, 0.0891550375223656, 0.1776137713196918, 0.0195268450272439, 1.6525685014487808, 0.0504784143701701, 1.1921575327034393, 0.0435987976813269, 0.2944329612551487, 0.0190229712684124, 0.328539332829243, 0.0186063820473155, 0.0827748268795656, 0.0197452985610737, 0.2538557455739844, 0.0195184538929719, 1.3971580587042516, 0.0415693878826361, 1.174028100000404, 0.036301623672962, 0.0902191375462386, 0.0227715506316882, 0.1320500015500312, 0.0219275643613888, 0.3037758473860241, 0.0229284326268828, 0.1040211699385043, 0.0197581135949815, 0.1203600890829072, 0.0196686391479617, 0.5467131721141171, 0.026775184861351, 0.0078621336824562, 0.0184004744563015, 0.0896920269325355, 0.0180695659741295, 0.110058802116972, 0.018944504891501, 0.0388213702153766, 0.0175900760352687, 0.0960714591851111, 0.0201592007151744, 0.2852937000440785, 0.0234209038262216, 0.4203241559351024, 0.0256939413620495, 0.1584788080334937, 0.0173685114849493, 0.0739966431375062, 0.02118284087528, 0.3126374210319862, 0.0228079626776131, 0.1385051917018283, 0.0211558771617172, 0.286649439388386, 0.0202893021425775, 0.0630964162080571, 0.0182700782836273, 0.1498946557339207, 0.0227955154049712, 0.1948480580243673, 0.0217818290564673, 0.1508259900793563, 0.020185663805405, 0.3903386309706975, 0.0228883625580017]|122041.3265709355182480|      0.06250000|[1210, 80, 10, 30]                                                         |  | used linear model with 129 points | iterate success | actual_k=4
      11|[4.136753963062374, 0.0891550375223656, 0.1776137713196918, 0.0195268450272439, 1.6525685014487808, 0.0504784143701701, 1.1921575327034393, 0.0435987976813269, 0.2944329612551487, 0.0190229712684124, 0.328539332829243, 0.0186063820473155, 0.0827748268795656, 0.0197452985610737, 0.2538557455739844, 0.0195184538929719, 1.3971580587042516, 0.0415693878826361, 1.174028100000404, 0.036301623672962, 0.0902191375462386, 0.0227715506316882, 0.1320500015500312, 0.0219275643613888, 0.3037758473860241, 0.0229284326268828, 0.1040211699385043, 0.0197581135949815, 0.1203600890829072, 0.0196686391479617, 0.5467131721141171, 0.026775184861351, 0.0078621336824562, 0.0184004744563015, 0.0896920269325355, 0.0180695659741295, 0.110058802116972, 0.018944504891501, 0.0388213702153766, 0.0175900760352687, 0.0960714591851111, 0.0201592007151744, 0.2852937000440785, 0.0234209038262216, 0.4203241559351024, 0.0256939413620495, 0.1584788080334937, 0.0173685114849493, 0.0739966431375062, 0.02118284087528, 0.3126374210319862, 0.0228079626776131, 0.1385051917018283, 0.0211558771617172, 0.286649439388386, 0.0202893021425775, 0.0630964162080571, 0.0182700782836273, 0.1498946557339207, 0.0227955154049712, 0.1948480580243673, 0.0217818290564673, 0.1508259900793563, 0.020185663805405, 0.3903386309706975, 0.0228883625580017]|122041.3265709355182480|      0.03125000|[1331, 88, 11, 33]                                                         |  | used linear model with 129 points | iterate failure | actual_k=4
