k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[0.6097251833969555, 0.0558315056027614, 0.1382545042180122, 0.7776698349430159, 0.012966158885366, 0.0078876023519517, 0.0028127720669654, 0.0024764077706043, 0.0019470420526074, -0.002269206053214, -0.0034454049802391, -0.0060089385611868, -0.0082663993340286, 0.0067811108705918, -0.0014128861224247, -0.0114808864346093, -0.0123760465450052, 0.0080899859897018, 0.0100749911699939, 0.0091429697797514, 0.0163793513349716, -0.0034560993122014]| 13.1520748138427734|      2.00000000|[126, 0, 0, 2]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       2|[1.8916176669998572, 0.1288182272096311, 0.4417820482331412, 2.2619530096408225, 0.0070912056789217, 0.055102593810748, -0.0497464284396763, -0.0148572155940993, -0.0006457909791236, -0.1347246642703998, -0.0697070011511323, 0.0340382950501439, -0.0185461037431815, -0.0505627214609761, -0.0459353961036361, -0.004001287871216, -0.0725418809115385, -0.0269255766879847, -0.1094029774633399, 0.03707779471694, 0.0501409509309234, -0.0326700083040065]| 12.2727212905883789|      4.00000000|[251, 0, 0, 4]                                                             |  | trying linear partial model with 65 points | iterate success | actual_k=0
       3|[1.8916176669998572, 0.1288182272096311, 0.4417820482331412, 2.2619530096408225, 0.0070912056789217, 0.055102593810748, -0.0497464284396763, -0.0148572155940993, -0.0006457909791236, -0.1347246642703998, -0.0697070011511323, 0.0340382950501439, -0.0185461037431815, -0.0505627214609761, -0.0459353961036361, -0.004001287871216, -0.0725418809115385, -0.0269255766879847, -0.1094029774633399, 0.03707779471694, 0.0501409509309234, -0.0326700083040065]| 12.2727212905883789|      2.00000000|[376, 0, 0, 6]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       4|[1.8916176669998572, 0.1288182272096311, 0.4417820482331412, 2.2619530096408225, 0.0070912056789217, 0.055102593810748, -0.0497464284396763, -0.0148572155940993, -0.0006457909791236, -0.1347246642703998, -0.0697070011511323, 0.0340382950501439, -0.0185461037431815, -0.0505627214609761, -0.0459353961036361, -0.004001287871216, -0.0725418809115385, -0.0269255766879847, -0.1094029774633399, 0.03707779471694, 0.0501409509309234, -0.0326700083040065]| 12.2727212905883789|      1.00000000|[501, 0, 0, 8]                                                             |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       5|[1.8916176669998572, 0.1288182272096311, 0.4417820482331412, 2.2619530096408225, 0.0070912056789217, 0.055102593810748, -0.0497464284396763, -0.0148572155940993, -0.0006457909791236, -0.1347246642703998, -0.0697070011511323, 0.0340382950501439, -0.0185461037431815, -0.0505627214609761, -0.0459353961036361, -0.004001287871216, -0.0725418809115385, -0.0269255766879847, -0.1094029774633399, 0.03707779471694, 0.0501409509309234, -0.0326700083040065]| 12.2727212905883789|      0.50000000|[626, 0, 0, 10]                                                            |  | trying linear partial model with 65 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=0
       6|[1.5658049052976044, 0.1038068983618203, 0.3703036819665665, 1.8916348957125564, 0.007378990604213, 0.0515446104378432, -0.04626490513789, -0.013586563369655, 0.006667592928498, -0.1337287274706842, -0.0792122015917852, 0.0398646693808802, -0.0102275587112028, -0.0431918530755658, -0.0417919469108144, -0.0132214106732549, -0.0789599294947933, -0.0237964915993232, -0.0979882974780316, 0.0476221154007997, 0.0632358629901559, -0.041665631129571]| 12.1449623107910156|      1.00000000|[751, 0, 0, 12]                                                            |  | trying linear partial model with 65 points | iterate success | actual_k=0
       7|[1.5658049052976044, 0.1038068983618203, 0.3703036819665665, 1.8916348957125564, 0.007378990604213, 0.0515446104378432, -0.04626490513789, -0.013586563369655, 0.006667592928498, -0.1337287274706842, -0.0792122015917852, 0.0398646693808802, -0.0102275587112028, -0.0431918530755658, -0.0417919469108144, -0.0132214106732549, -0.0789599294947933, -0.0237964915993232, -0.0979882974780316, 0.0476221154007997, 0.0632358629901559, -0.041665631129571]| 12.1449623107910156|      0.50000000|[876, 0, 0, 14]                                                            |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       8|[1.5658049052976044, 0.1038068983618203, 0.3703036819665665, 1.8916348957125564, 0.007378990604213, 0.0515446104378432, -0.04626490513789, -0.013586563369655, 0.006667592928498, -0.1337287274706842, -0.0792122015917852, 0.0398646693808802, -0.0102275587112028, -0.0431918530755658, -0.0417919469108144, -0.0132214106732549, -0.0789599294947933, -0.0237964915993232, -0.0979882974780316, 0.0476221154007997, 0.0632358629901559, -0.041665631129571]| 12.1449623107910156|      0.25000000|[1001, 0, 0, 16]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
       9|[1.5658049052976044, 0.1038068983618203, 0.3703036819665665, 1.8916348957125564, 0.007378990604213, 0.0515446104378432, -0.04626490513789, -0.013586563369655, 0.006667592928498, -0.1337287274706842, -0.0792122015917852, 0.0398646693808802, -0.0102275587112028, -0.0431918530755658, -0.0417919469108144, -0.0132214106732549, -0.0789599294947933, -0.0237964915993232, -0.0979882974780316, 0.0476221154007997, 0.0632358629901559, -0.041665631129571]| 12.1449623107910156|      0.12500000|[1126, 0, 0, 18]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      10|[1.5658049052976044, 0.1038068983618203, 0.3703036819665665, 1.8916348957125564, 0.007378990604213, 0.0515446104378432, -0.04626490513789, -0.013586563369655, 0.006667592928498, -0.1337287274706842, -0.0792122015917852, 0.0398646693808802, -0.0102275587112028, -0.0431918530755658, -0.0417919469108144, -0.0132214106732549, -0.0789599294947933, -0.0237964915993232, -0.0979882974780316, 0.0476221154007997, 0.0632358629901559, -0.041665631129571]| 12.1449623107910156|      0.06250000|[1251, 0, 0, 20]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
      11|[1.5658049052976044, 0.1038068983618203, 0.3703036819665665, 1.8916348957125564, 0.007378990604213, 0.0515446104378432, -0.04626490513789, -0.013586563369655, 0.006667592928498, -0.1337287274706842, -0.0792122015917852, 0.0398646693808802, -0.0102275587112028, -0.0431918530755658, -0.0417919469108144, -0.0132214106732549, -0.0789599294947933, -0.0237964915993232, -0.0979882974780316, 0.0476221154007997, 0.0632358629901559, -0.041665631129571]| 12.1449623107910156|      0.03125000|[1376, 0, 0, 22]                                                           |  | trying linear partial model with 65 points | exploitation failed, decreasing delta | actual_k=0
