k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[11.0, 3.0, 0.5, 40.0, -0.7, -1.3, 25.0, -0.3, 1.4]                             |1153.9439484858455671|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[10.476923104996223, 3.1362967499767826, 0.3248707542979017, 40.0420358583431, -0.7294059287926575, -1.3136590217684236, 25.57050359946223, -0.590430731752485, 0.8857035414251113]|922.1568709775586967|      2.00000000|[16, 1, 1, 2]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       2|[10.476923104996223, 3.1362967499767826, 0.3248707542979017, 40.0420358583431, -0.7294059287926575, -1.3136590217684236, 25.57050359946223, -0.590430731752485, 0.8857035414251113]|922.1568709775586967|      1.00000000|[32, 2, 2, 4]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       3|[10.859214187254874, 3.107371097978714, 0.4573533740917286, 40.59213315295585, -0.6838809042148296, -1.2869881261388356, 26.156455426909865, -1.0225572884203762, 0.8868814170200691]|873.4604689004690954|      2.00000000|[48, 3, 3, 6]                                                              |  | used linear model with 17 points | iterate success | actual_k=1
       4|[10.859214187254874, 3.107371097978714, 0.4573533740917286, 40.59213315295585, -0.6838809042148296, -1.2869881261388356, 26.156455426909865, -1.0225572884203762, 0.8868814170200691]|873.4604689004690954|      1.00000000|[64, 4, 4, 8]                                                              |  | used linear model with 17 points | iterate failure | actual_k=1
       5|[10.859214187254874, 3.107371097978714, 0.4573533740917286, 40.59213315295585, -0.6838809042148296, -1.2869881261388356, 26.156455426909865, -1.0225572884203762, 0.8868814170200691]|873.4604689004690954|      0.50000000|[80, 5, 5, 10]                                                             |  | used linear model with 17 points | iterate failure | actual_k=1
       6|[10.622775400784619, 3.0999550058497323, 0.394718677910086, 40.67652017651044, -0.666513584566294, -1.3406456995172493, 25.97834764099488, -0.7895879690547368, 1.1931812387274572]|853.7587582436428875|      1.00000000|[96, 6, 6, 12]                                                             |  | used linear model with 17 points | iterate success | actual_k=1
       7|[10.622775400784619, 3.0999550058497323, 0.394718677910086, 40.67652017651044, -0.666513584566294, -1.3406456995172493, 25.97834764099488, -0.7895879690547368, 1.1931812387274572]|853.7587582436428875|      0.50000000|[112, 7, 7, 14]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       8|[10.622775400784619, 3.0999550058497323, 0.394718677910086, 40.67652017651044, -0.666513584566294, -1.3406456995172493, 25.97834764099488, -0.7895879690547368, 1.1931812387274572]|853.7587582436428875|      0.25000000|[128, 8, 8, 16]                                                            |  | used linear model with 17 points | iterate failure | actual_k=1
       9|[10.627448843039549, 3.0315476131261825, 0.3795853064123278, 40.80020950069259, -0.6924403906410016, -1.3093953281063206, 26.15630428105464, -0.7806097234177967, 1.0989869709289504]|846.6020960167718385|      0.50000000|[144, 9, 9, 18]                                                            |  | used linear model with 17 points | iterate success | actual_k=1
      10|[10.627448843039549, 3.0315476131261825, 0.3795853064123278, 40.80020950069259, -0.6924403906410016, -1.3093953281063206, 26.15630428105464, -0.7806097234177967, 1.0989869709289504]|846.6020960167718385|      0.25000000|[160, 10, 10, 20]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      11|[10.638149757338477, 3.0717665729672494, 0.4426901772894582, 40.80170699958534, -0.8152519740411304, -1.2789840114713429, 26.203619964344856, -0.6044810168747476, 1.1856808583758143]|839.3371309273982206|      0.50000000|[176, 11, 11, 22]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      12|[10.638149757338477, 3.0717665729672494, 0.4426901772894582, 40.80170699958534, -0.8152519740411304, -1.2789840114713429, 26.203619964344856, -0.6044810168747476, 1.1856808583758143]|839.3371309273982206|      0.25000000|[192, 12, 12, 24]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      13|[10.597255626442225, 3.081530274574832, 0.5027944002967452, 40.86413196575223, -0.9378472726358392, -1.2022624758580172, 26.333432543728723, -0.6022473915202199, 1.3099823066859662]|835.8502537806690498|      0.50000000|[208, 13, 13, 26]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      14|[10.597255626442225, 3.081530274574832, 0.5027944002967452, 40.86413196575223, -0.9378472726358392, -1.2022624758580172, 26.333432543728723, -0.6022473915202199, 1.3099823066859662]|835.8502537806690498|      0.25000000|[224, 14, 14, 28]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      15|[10.50323664236587, 3.034276244954698, 0.5182731077609181, 40.951972588623825, -0.840639206126046, -1.1961361158413888, 26.432498766571335, -0.4467987434998274, 1.312547992828604]|834.2743802368239585|      0.50000000|[240, 15, 15, 30]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      16|[10.50323664236587, 3.034276244954698, 0.5182731077609181, 40.951972588623825, -0.840639206126046, -1.1961361158413888, 26.432498766571335, -0.4467987434998274, 1.312547992828604]|834.2743802368239585|      0.25000000|[256, 16, 16, 32]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      17|[10.666183816914712, 3.0672306302454015, 0.4898933683026842, 41.0207338065922, -0.9625582856830017, -1.1679434140791964, 26.376027574895893, -0.3690989817883013, 1.3792066249516082]|830.5192108599513858|      0.50000000|[272, 17, 17, 34]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      18|[10.666183816914712, 3.0672306302454015, 0.4898933683026842, 41.0207338065922, -0.9625582856830017, -1.1679434140791964, 26.376027574895893, -0.3690989817883013, 1.3792066249516082]|830.5192108599513858|      0.25000000|[288, 18, 18, 36]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      19|[10.666183816914712, 3.0672306302454015, 0.4898933683026842, 41.0207338065922, -0.9625582856830017, -1.1679434140791964, 26.376027574895893, -0.3690989817883013, 1.3792066249516082]|830.5192108599513858|      0.12500000|[304, 19, 19, 38]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      20|[10.614566930567738, 3.0669679104236187, 0.5076820861183082, 41.08593040491004, -0.9645759279137254, -1.1717028525276327, 26.46090319996892, -0.4020748986078599, 1.3700356910214933]|827.9489040585018529|      0.25000000|[320, 20, 20, 40]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      21|[10.642062815461598, 3.14891412445378, 0.5416789737357854, 41.26963879181097, -1.0173299279534398, -1.1250223659477239, 26.429026033547796, -0.3265741694032858, 1.4619360084182234]|826.4031009821135285|      0.50000000|[336, 21, 21, 42]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      22|[10.642062815461598, 3.14891412445378, 0.5416789737357854, 41.26963879181097, -1.0173299279534398, -1.1250223659477239, 26.429026033547796, -0.3265741694032858, 1.4619360084182234]|826.4031009821135285|      0.25000000|[352, 22, 22, 44]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      23|[10.561788219194115, 3.10642248422901, 0.5349096651426875, 41.39069660979697, -1.1344063169496037, -1.1226996127141973, 26.54857344570189, -0.3692570920119739, 1.36332597245526]|824.2704400637843491|      0.50000000|[368, 23, 23, 46]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      24|[10.561788219194115, 3.10642248422901, 0.5349096651426875, 41.39069660979697, -1.1344063169496037, -1.1226996127141973, 26.54857344570189, -0.3692570920119739, 1.36332597245526]|824.2704400637843491|      0.25000000|[384, 24, 24, 48]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      25|[10.620581827664799, 3.0274068993190735, 0.5381414786783938, 41.47788143872278, -1.1163519283734338, -0.992335188835263, 26.466562659647384, -0.2298319453462112, 1.40458400704963]|821.7560421960668009|      0.50000000|[400, 25, 25, 50]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      26|[10.620581827664799, 3.0274068993190735, 0.5381414786783938, 41.47788143872278, -1.1163519283734338, -0.992335188835263, 26.466562659647384, -0.2298319453462112, 1.40458400704963]|821.7560421960668009|      0.25000000|[416, 26, 26, 52]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      27|[10.620581827664799, 3.0274068993190735, 0.5381414786783938, 41.47788143872278, -1.1163519283734338, -0.992335188835263, 26.466562659647384, -0.2298319453462112, 1.40458400704963]|821.7560421960668009|      0.12500000|[432, 27, 27, 54]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      28|[10.628430907535845, 3.0356486226326704, 0.5034582124582332, 41.5349846988271, -1.1570367030300792, -1.018617163041473, 26.542620548119988, -0.2831413500697307, 1.3968985282854598]|819.3693415857882201|      0.25000000|[448, 28, 28, 56]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      29|[10.628430907535845, 3.0356486226326704, 0.5034582124582332, 41.5349846988271, -1.1570367030300792, -1.018617163041473, 26.542620548119988, -0.2831413500697307, 1.3968985282854598]|819.3693415857882201|      0.12500000|[464, 29, 29, 58]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      30|[10.592174610046042, 3.0972642848988747, 0.5583721487156571, 41.54024366120347, -1.1834887438594761, -0.9601201173363644, 26.569497188935095, -0.2689458895711257, 1.4461460077613697]|818.9474994513453794|      0.25000000|[480, 30, 30, 60]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      31|[10.592174610046042, 3.0972642848988747, 0.5583721487156571, 41.54024366120347, -1.1834887438594761, -0.9601201173363644, 26.569497188935095, -0.2689458895711257, 1.4461460077613697]|818.9474994513453794|      0.12500000|[496, 31, 31, 62]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
      32|[10.604476756805516, 3.093294223617095, 0.5016043018413544, 41.615377263944374, -1.254648232831532, -0.9879715128907313, 26.57204391250898, -0.2502106919611131, 1.4659798819017478]|817.2479744788051903|      0.25000000|[512, 32, 32, 64]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      33|[10.58544219411858, 3.058858288743011, 0.5166256223190568, 41.82322647199885, -1.2126994615333029, -0.9475513901617453, 26.603774452478696, -0.1621296487434609, 1.5392351573360852]|815.8222970082241545|      0.50000000|[528, 33, 33, 66]                                                          |  | used linear model with 17 points | iterate success | actual_k=1
      34|[10.58544219411858, 3.058858288743011, 0.5166256223190568, 41.82322647199885, -1.2126994615333029, -0.9475513901617453, 26.603774452478696, -0.1621296487434609, 1.5392351573360852]|815.8222970082241545|      0.25000000|[544, 34, 34, 68]                                                          |  | used linear model with 17 points | iterate failure | actual_k=1
