k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[25.0, 5.0, -5.0, -1.0]                                                         |7926693.3369958801195025|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[24.544469810619724, 4.547329847152769, -5.5248090381774775, -1.5587105267772077]|6929747.0000000000000000|      2.00000000|[6, 2, 0, 2]                                                               |  | trying linear partial model with 4 points | iterate success | actual_k=1
       2|[22.975507240044145, 3.9825785781712146, -6.581457974351983, -1.2379216834583064]|5047058.5000000000000000|      4.00000000|[10, 4, 0, 4]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       3|[22.153275116668866, 0.6362056043293758, -7.602606742109648, -2.9937626356341327]|3605941.0000000000000000|      8.00000000|[14, 6, 0, 6]                                                              |  | trying linear partial model with 4 points | iterate success | actual_k=1
       4|[22.153275116668866, 0.6362056043293758, -7.602606742109648, -2.9937626356341327]|3605941.0000000000000000|      4.00000000|[23, 11, 0, 11]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       5|[19.158607724428457, 2.8056777572079863, -7.758101003995031, -1.4767987856175933]|2662451.5000000000000000|      8.00000000|[31, 15, 0, 15]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | iterate success | actual_k=1
       6|[16.732045362195485, 5.758405014832752, -2.0205505660897742, 2.581983275144881] |2125988.0000000000000000|     16.00000000|[38, 18, 0, 18]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | iterate success | actual_k=1
       7|[16.732045362195485, 5.758405014832752, -2.0205505660897742, 2.581983275144881] |2125988.0000000000000000|      8.00000000|[47, 22, 0, 22]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       8|[16.732045362195485, 5.758405014832752, -2.0205505660897742, 2.581983275144881] |2125988.0000000000000000|      4.00000000|[55, 26, 0, 26]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
       9|[13.89112789508244, 3.0565414387484413, -2.811739904491262, 2.6380242608670166] |1258522.0000000000000000|      8.00000000|[60, 28, 0, 28]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      10|[6.5960011935955665, 6.263142720484522, -2.1252305669616605, 2.8039747315094306]|500330.7187500000000000|     16.00000000|[69, 33, 0, 33]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 5 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | iterate success | actual_k=1
      11|[6.5960011935955665, 6.263142720484522, -2.1252305669616605, 2.8039747315094306]|500330.7187500000000000|      8.00000000|[77, 37, 0, 37]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      12|[-0.0786172117119168, 8.760903160956078, -5.736825339744428, 2.395263191723596] |318732.6562500000000000|     16.00000000|[82, 39, 0, 39]                                                            |  | trying linear partial model with 4 points | iterate success | actual_k=1
      13|[-0.0786172117119168, 8.760903160956078, -5.736825339744428, 2.395263191723596] |318732.6562500000000000|      8.00000000|[90, 43, 0, 43]                                                            |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 6 points | (iterate failure) trying more points before decreasing delta | trying linear partial model with 8 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
