k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[3.0, 0.1]                                                                      | 87.6860481455954357|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[2.0565269863137625, 0.4314493512526592]                                        | 29.7262068761217648|      2.00000000|[2, 1, 1, 2]                                                               |  | used linear model with 3 points | iterate success | actual_k=1
       2|[0.7090803047086054, -1.0465179827000406]                                       |  1.4071821574451771|      4.00000000|[4, 2, 2, 4]                                                               |  | used linear model with 3 points | iterate success | actual_k=1
       3|[0.7090803047086054, -1.0465179827000406]                                       |  1.4071821574451771|      2.00000000|[6, 3, 3, 6]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       4|[0.7090803047086054, -1.0465179827000406]                                       |  1.4071821574451771|      1.00000000|[9, 3, 4, 8]                                                               |  | used linear model with 3 points | iterate failure | actual_k=1
       5|[0.7090803047086054, -1.0465179827000406]                                       |  1.4071821574451771|      0.50000000|[11, 4, 5, 10]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       6|[0.2536176652421975, -0.8402322971804366]                                       |  0.8187182832626094|      1.00000000|[14, 4, 6, 12]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
       7|[0.2536176652421975, -0.8402322971804366]                                       |  0.8187182832626094|      0.50000000|[16, 5, 6, 13]                                                             |  | used linear model with 3 points | actual_k=1
       8|[0.2536176652421975, -0.8402322971804366]                                       |  0.8187182832626094|      0.25000000|[17, 6, 7, 15]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
       9|[0.2536176652421975, -0.8402322971804366]                                       |  0.8187182832626094|      0.12500000|[19, 7, 7, 16]                                                             |  | used linear model with 3 points | actual_k=1
      10|[0.1344919485591478, -0.8023632646505479]                                       |  0.8078929935102888|      0.25000000|[20, 8, 8, 18]                                                             |  | used linear model with 3 points | iterate success | actual_k=1
      11|[0.1344919485591478, -0.8023632646505479]                                       |  0.8078929935102888|      0.12500000|[23, 8, 9, 20]                                                             |  | used linear model with 3 points | iterate failure | actual_k=1
