k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[1.0, -1.0, 0.0]                                                                | 45.2064958913885775|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[1.4228888179551398, -0.4329682731779072, -0.7068522253099725]                  |  7.1947112228420549|      2.00000000|[4, 1, 1, 2]                                                               |  | used linear model with 5 points | iterate success | actual_k=1
       2|[1.4228888179551398, -0.4329682731779072, -0.7068522253099725]                  |  7.1947112228420549|      1.00000000|[8, 2, 2, 4]                                                               |  | used linear model with 5 points | iterate failure | actual_k=1
       3|[1.4228888179551398, -0.4329682731779072, -0.7068522253099725]                  |  7.1947112228420549|      0.50000000|[12, 3, 3, 6]                                                              |  | used linear model with 5 points | iterate failure | actual_k=1
       4|[1.7410580984252964, -0.0997951481388027, -0.9011817848648176]                  |  4.2688444075033090|      1.00000000|[16, 4, 4, 8]                                                              |  | used linear model with 5 points | iterate success | actual_k=1
       5|[1.7410580984252964, -0.0997951481388027, -0.9011817848648176]                  |  4.2688444075033090|      0.50000000|[20, 5, 5, 10]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       6|[1.7410580984252964, -0.0997951481388027, -0.9011817848648176]                  |  4.2688444075033090|      0.25000000|[24, 6, 6, 12]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       7|[1.8732210116816155, -0.31113431519829, -0.8819796801310968]                    |  2.2270798457078111|      0.50000000|[28, 7, 7, 14]                                                             |  | used linear model with 5 points | iterate success | actual_k=1
       8|[1.8732210116816155, -0.31113431519829, -0.8819796801310968]                    |  2.2270798457078111|      0.25000000|[32, 8, 8, 16]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
       9|[1.8732210116816155, -0.31113431519829, -0.8819796801310968]                    |  2.2270798457078111|      0.12500000|[36, 9, 9, 18]                                                             |  | used linear model with 5 points | iterate failure | actual_k=1
      10|[1.8732210116816155, -0.31113431519829, -0.8819796801310968]                    |  2.2270798457078111|      0.06250000|[40, 10, 10, 20]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      11|[1.864424415880072, -0.3728660596132135, -0.8777297820388078]                   |  2.0010320799443710|      0.12500000|[44, 11, 11, 22]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      12|[1.982909855855473, -0.4126581812386307, -0.8760601801749877]                   |  1.6813783960633575|      0.25000000|[48, 12, 12, 24]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      13|[2.217992083348151, -0.4975312083958434, -0.8703229702039431]                   |  1.2535531435020801|      0.50000000|[52, 13, 13, 26]                                                           |  | used linear model with 5 points | iterate success | actual_k=1
      14|[2.217992083348151, -0.4975312083958434, -0.8703229702039431]                   |  1.2535531435020801|      0.25000000|[56, 14, 14, 28]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
      15|[2.217992083348151, -0.4975312083958434, -0.8703229702039431]                   |  1.2535531435020801|      0.12500000|[60, 15, 15, 30]                                                           |  | used linear model with 5 points | iterate failure | actual_k=1
