k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.50000000|[33, 0, 1, 3]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       2|[120.0, 0.09203, 0.908, 110.0, 0.1819, 0.8181, 100.0, 0.284, 0.716, 88.0, 0.3051, 0.6949, 86.0, 0.3566, 0.6434, 84.0, 0.468, 0.532, 80.0, 0.6579, 0.3421, 76.0, 0.8763, 0.1237, 886.37, 910.01, 922.52, 926.46, 935.56, 952.83, 975.73]|4345.0997658534724906|      0.25000000|[66, 0, 2, 6]                                                              |  | used linear model with 33 points | iterate failure | actual_k=0
       3|[119.97307445427093, -0.0390908286372075, 0.8604683274369459, 109.98652046655228, 0.1736975669238445, 0.811685213273881, 99.98959481808195, 0.2963662270632162, 0.7257799494446922, 88.10446422099699, 0.4003497448257386, 0.7291140421351543, 85.98396034581535, 0.3572843892705031, 0.635552997613593, 84.05749938330712, 0.4353419723258882, 0.5513518502432637, 79.98819928059778, 0.6497959702367798, 0.3703724547159938, 76.04391262783871, 0.8943238101505461, 0.1597078368153178, 886.4030043875994, 910.0466740325979, 922.4976877845704, 926.4552548132002, 935.6294409562729, 952.8856950670486, 975.7254090075818]|1708.0067784296302307|      0.50000000|[99, 0, 3, 9]                                                              |  | used linear model with 33 points | iterate success | actual_k=0
       4|[119.97307445427093, -0.0390908286372075, 0.8604683274369459, 109.98652046655228, 0.1736975669238445, 0.811685213273881, 99.98959481808195, 0.2963662270632162, 0.7257799494446922, 88.10446422099699, 0.4003497448257386, 0.7291140421351543, 85.98396034581535, 0.3572843892705031, 0.635552997613593, 84.05749938330712, 0.4353419723258882, 0.5513518502432637, 79.98819928059778, 0.6497959702367798, 0.3703724547159938, 76.04391262783871, 0.8943238101505461, 0.1597078368153178, 886.4030043875994, 910.0466740325979, 922.4976877845704, 926.4552548132002, 935.6294409562729, 952.8856950670486, 975.7254090075818]|1708.0067784296302307|      0.25000000|[132, 0, 4, 12]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       5|[119.97307445427093, -0.0390908286372075, 0.8604683274369459, 109.98652046655228, 0.1736975669238445, 0.811685213273881, 99.98959481808195, 0.2963662270632162, 0.7257799494446922, 88.10446422099699, 0.4003497448257386, 0.7291140421351543, 85.98396034581535, 0.3572843892705031, 0.635552997613593, 84.05749938330712, 0.4353419723258882, 0.5513518502432637, 79.98819928059778, 0.6497959702367798, 0.3703724547159938, 76.04391262783871, 0.8943238101505461, 0.1597078368153178, 886.4030043875994, 910.0466740325979, 922.4976877845704, 926.4552548132002, 935.6294409562729, 952.8856950670486, 975.7254090075818]|1708.0067784296302307|      0.12500000|[165, 0, 5, 15]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       6|[119.97307445427093, -0.0390908286372075, 0.8604683274369459, 109.98652046655228, 0.1736975669238445, 0.811685213273881, 99.98959481808195, 0.2963662270632162, 0.7257799494446922, 88.10446422099699, 0.4003497448257386, 0.7291140421351543, 85.98396034581535, 0.3572843892705031, 0.635552997613593, 84.05749938330712, 0.4353419723258882, 0.5513518502432637, 79.98819928059778, 0.6497959702367798, 0.3703724547159938, 76.04391262783871, 0.8943238101505461, 0.1597078368153178, 886.4030043875994, 910.0466740325979, 922.4976877845704, 926.4552548132002, 935.6294409562729, 952.8856950670486, 975.7254090075818]|1708.0067784296302307|      0.06250000|[198, 0, 6, 18]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       7|[119.96248267619316, -0.0179660311203964, 0.8849322821139074, 109.99282717724263, 0.1401659175444646, 0.7967860670664704, 99.99060853383774, 0.3133198951634122, 0.7302524019235944, 88.10698057066597, 0.4068390535688895, 0.7375735245331135, 85.96985611602935, 0.3679170184558339, 0.6415682613130629, 84.06387222729242, 0.4367598522616156, 0.562325589938983, 79.98787101241695, 0.6435802141748193, 0.3645362652485434, 76.04609495893638, 0.8938305828937034, 0.1632471035373353, 886.3990637484703, 910.0483751048811, 922.5092068672593, 926.4650565503526, 935.6380944509256, 952.8866400105796, 975.7222124616674]|908.1853260798486644|      0.12500000|[231, 0, 7, 21]                                                            |  | used linear model with 33 points | iterate success | actual_k=0
       8|[119.96248267619316, -0.0179660311203964, 0.8849322821139074, 109.99282717724263, 0.1401659175444646, 0.7967860670664704, 99.99060853383774, 0.3133198951634122, 0.7302524019235944, 88.10698057066597, 0.4068390535688895, 0.7375735245331135, 85.96985611602935, 0.3679170184558339, 0.6415682613130629, 84.06387222729242, 0.4367598522616156, 0.562325589938983, 79.98787101241695, 0.6435802141748193, 0.3645362652485434, 76.04609495893638, 0.8938305828937034, 0.1632471035373353, 886.3990637484703, 910.0483751048811, 922.5092068672593, 926.4650565503526, 935.6380944509256, 952.8866400105796, 975.7222124616674]|908.1853260798486644|      0.06250000|[264, 0, 8, 24]                                                            |  | used linear model with 33 points | iterate failure | actual_k=0
       9|[119.96765297439563, -0.0309261318429934, 0.8729574475989453, 109.99754995429714, 0.1397415159020411, 0.7936695860759508, 99.98237041724543, 0.2791366291753869, 0.7244396652952008, 88.10207849883619, 0.4222165020983901, 0.7339687924038191, 85.9732668199188, 0.3917129057015526, 0.6539720277775259, 84.06716627971196, 0.4577501044045522, 0.5632958384694401, 79.998168470429, 0.6450674961798248, 0.3663686751225269, 76.04878380223707, 0.8813187864782593, 0.171379273537171, 886.4014432590683, 910.0557562249122, 922.5057951857747, 926.4701659233035, 935.6494642844226, 952.8993907058356, 975.7134403492481]|579.0706118406378664|      0.12500000|[297, 0, 9, 27]                                                            |  | used linear model with 33 points | iterate success | actual_k=0
      10|[119.96765297439563, -0.0309261318429934, 0.8729574475989453, 109.99754995429714, 0.1397415159020411, 0.7936695860759508, 99.98237041724543, 0.2791366291753869, 0.7244396652952008, 88.10207849883619, 0.4222165020983901, 0.7339687924038191, 85.9732668199188, 0.3917129057015526, 0.6539720277775259, 84.06716627971196, 0.4577501044045522, 0.5632958384694401, 79.998168470429, 0.6450674961798248, 0.3663686751225269, 76.04878380223707, 0.8813187864782593, 0.171379273537171, 886.4014432590683, 910.0557562249122, 922.5057951857747, 926.4701659233035, 935.6494642844226, 952.8993907058356, 975.7134403492481]|579.0706118406378664|      0.06250000|[330, 0, 10, 30]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
      11|[119.96765297439563, -0.0309261318429934, 0.8729574475989453, 109.99754995429714, 0.1397415159020411, 0.7936695860759508, 99.98237041724543, 0.2791366291753869, 0.7244396652952008, 88.10207849883619, 0.4222165020983901, 0.7339687924038191, 85.9732668199188, 0.3917129057015526, 0.6539720277775259, 84.06716627971196, 0.4577501044045522, 0.5632958384694401, 79.998168470429, 0.6450674961798248, 0.3663686751225269, 76.04878380223707, 0.8813187864782593, 0.171379273537171, 886.4014432590683, 910.0557562249122, 922.5057951857747, 926.4701659233035, 935.6494642844226, 952.8993907058356, 975.7134403492481]|579.0706118406378664|      0.03125000|[363, 0, 11, 33]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
      12|[119.97218356483712, -0.0179454015356299, 0.8744032086943199, 110.00180480993596, 0.1236637952409578, 0.7828179343443551, 99.97929014312395, 0.2797534677697318, 0.7270470509309229, 88.10970726041738, 0.4238025427981302, 0.7351874711982614, 85.97191646023619, 0.4000999592649852, 0.6538767935605616, 84.07753166376213, 0.4623312258738407, 0.5606734530210121, 79.9969329370918, 0.6448996676895931, 0.3649628880919245, 76.04922053069427, 0.8758605999096852, 0.1750755563429138, 886.404773643194, 910.0561511074313, 922.5080840567429, 926.4760616628766, 935.6512364406618, 952.8986566049211, 975.7118142464424]|437.7619564883711405|      0.06250000|[396, 0, 12, 36]                                                           |  | used linear model with 33 points | iterate success | actual_k=0
      13|[119.97218356483712, -0.0179454015356299, 0.8744032086943199, 110.00180480993596, 0.1236637952409578, 0.7828179343443551, 99.97929014312395, 0.2797534677697318, 0.7270470509309229, 88.10970726041738, 0.4238025427981302, 0.7351874711982614, 85.97191646023619, 0.4000999592649852, 0.6538767935605616, 84.07753166376213, 0.4623312258738407, 0.5606734530210121, 79.9969329370918, 0.6448996676895931, 0.3649628880919245, 76.04922053069427, 0.8758605999096852, 0.1750755563429138, 886.404773643194, 910.0561511074313, 922.5080840567429, 926.4760616628766, 935.6512364406618, 952.8986566049211, 975.7118142464424]|437.7619564883711405|      0.03125000|[429, 0, 13, 39]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
      14|[119.973584404598, -0.0308008377638182, 0.8696087046267883, 110.00160827705908, 0.1259814601112276, 0.7774909020275912, 99.9719193097759, 0.2699238731163598, 0.7185158940083456, 88.1130755622204, 0.4283552746279963, 0.735681071196873, 85.97128048120501, 0.4128287308850903, 0.656561621774353, 84.07591398701929, 0.4549772877022015, 0.5676495562881136, 79.99444108984534, 0.6454163340835698, 0.3589203674187949, 76.04965992340325, 0.877405137965954, 0.1711751912338009, 886.4062634734066, 910.0623359886541, 922.5123152333623, 926.4723665878151, 935.6481135078751, 952.8939903049561, 975.7042523296425]|340.6138159794535909|      0.06250000|[462, 0, 14, 42]                                                           |  | used linear model with 33 points | iterate success | actual_k=0
      15|[119.973584404598, -0.0308008377638182, 0.8696087046267883, 110.00160827705908, 0.1259814601112276, 0.7774909020275912, 99.9719193097759, 0.2699238731163598, 0.7185158940083456, 88.1130755622204, 0.4283552746279963, 0.735681071196873, 85.97128048120501, 0.4128287308850903, 0.656561621774353, 84.07591398701929, 0.4549772877022015, 0.5676495562881136, 79.99444108984534, 0.6454163340835698, 0.3589203674187949, 76.04965992340325, 0.877405137965954, 0.1711751912338009, 886.4062634734066, 910.0623359886541, 922.5123152333623, 926.4723665878151, 935.6481135078751, 952.8939903049561, 975.7042523296425]|340.6138159794535909|      0.03125000|[495, 0, 15, 45]                                                           |  | used linear model with 33 points | iterate failure | actual_k=0
