k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 1.0, 1.0, 1.0, 1.0]                                                  |564.8131740000001173|      1.00000000|[0, 0, 0, 0]                                                               | 
       1|[-0.805385747544546, 0.4135381319022822, 1.2056885274117763, 1.014715244157378, 0.7902551654464478, 0.6936949122630347]|535.8146567097552406|      2.00000000|[9, 0, 1, 3]                                                               |  | used linear model with 9 points | iterate success | actual_k=0
       2|[-0.805385747544546, 0.4135381319022822, 1.2056885274117763, 1.014715244157378, 0.7902551654464478, 0.6936949122630347]|535.8146567097552406|      1.00000000|[18, 0, 2, 6]                                                              |  | used linear model with 9 points | iterate failure | actual_k=0
       3|[-0.5080083690455341, 0.1816752190243994, 1.346617690425102, 1.1170720541918773, -0.0966120227763237, 0.8960187351178797]|453.8856144569073194|      2.00000000|[27, 0, 3, 9]                                                              |  | used linear model with 9 points | iterate success | actual_k=0
       4|[-0.5080083690455341, 0.1816752190243994, 1.346617690425102, 1.1170720541918773, -0.0966120227763237, 0.8960187351178797]|453.8856144569073194|      1.00000000|[36, 0, 4, 12]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       5|[-0.9891659331160081, 0.0295182492587794, 1.8210294798224254, 0.506702946937688, 0.267403853003359, 0.7726854295576375]|395.8767973807648559|      2.00000000|[45, 0, 5, 15]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       6|[-0.9891659331160081, 0.0295182492587794, 1.8210294798224254, 0.506702946937688, 0.267403853003359, 0.7726854295576375]|395.8767973807648559|      1.00000000|[54, 0, 6, 18]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       7|[-0.9891659331160081, 0.0295182492587794, 1.8210294798224254, 0.506702946937688, 0.267403853003359, 0.7726854295576375]|395.8767973807648559|      0.50000000|[63, 0, 7, 21]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
       8|[-1.1233488758034214, 0.3294322353012187, 1.8718565706674384, 0.6414108406289621, -0.0450302970565952, 0.926639419300317]|221.1221289556436318|      1.00000000|[72, 0, 8, 24]                                                             |  | used linear model with 9 points | iterate success | actual_k=0
       9|[-1.1233488758034214, 0.3294322353012187, 1.8718565706674384, 0.6414108406289621, -0.0450302970565952, 0.926639419300317]|221.1221289556436318|      0.50000000|[81, 0, 9, 27]                                                             |  | used linear model with 9 points | iterate failure | actual_k=0
      10|[-1.2832048036562036, 0.6862193926027952, 2.0589314652661104, 0.4981486165673366, -0.211016191268563, 1.045284303747359]|121.2651294916366851|      1.00000000|[90, 0, 10, 30]                                                            |  | used linear model with 9 points | iterate success | actual_k=0
      11|[-1.2832048036562036, 0.6862193926027952, 2.0589314652661104, 0.4981486165673366, -0.211016191268563, 1.045284303747359]|121.2651294916366851|      0.50000000|[99, 0, 11, 33]                                                            |  | used linear model with 9 points | iterate failure | actual_k=0
      12|[-1.2832048036562036, 0.6862193926027952, 2.0589314652661104, 0.4981486165673366, -0.211016191268563, 1.045284303747359]|121.2651294916366851|      0.25000000|[108, 0, 12, 36]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      13|[-1.3512416605163446, 0.6654581948627086, 2.290126109390567, 0.4677843005492634, -0.1556399324651893, 1.0445961330912832]|102.1942001631026358|      0.50000000|[117, 0, 13, 39]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      14|[-1.3512416605163446, 0.6654581948627086, 2.290126109390567, 0.4677843005492634, -0.1556399324651893, 1.0445961330912832]|102.1942001631026358|      0.25000000|[126, 0, 14, 42]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      15|[-1.3512416605163446, 0.6654581948627086, 2.290126109390567, 0.4677843005492634, -0.1556399324651893, 1.0445961330912832]|102.1942001631026358|      0.12500000|[135, 0, 15, 45]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      16|[-1.2605389505841134, 0.6813978015762546, 2.249724182007179, 0.4369778518967977, -0.2149084811797845, 1.012194999358602]| 98.1673839720625523|      0.25000000|[144, 0, 16, 48]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      17|[-1.2605389505841134, 0.6813978015762546, 2.249724182007179, 0.4369778518967977, -0.2149084811797845, 1.012194999358602]| 98.1673839720625523|      0.12500000|[153, 0, 17, 51]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      18|[-1.1736520498120537, 0.6387750567025815, 2.3111234018153533, 0.458112774269243, -0.1739261211888636, 1.0312440184013987]| 93.1245784481791929|      0.25000000|[162, 0, 18, 54]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
      19|[-1.1736520498120537, 0.6387750567025815, 2.3111234018153533, 0.458112774269243, -0.1739261211888636, 1.0312440184013987]| 93.1245784481791929|      0.12500000|[171, 0, 19, 57]                                                           |  | used linear model with 9 points | iterate failure | actual_k=0
      20|[-1.1989435255601706, 0.5781796123749204, 2.379852217039775, 0.5279487332381895, -0.1928253441615389, 0.9944249805951257]| 88.2029464459056953|      0.25000000|[180, 0, 20, 60]                                                           |  | used linear model with 9 points | iterate success | actual_k=0
